Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        2.06721217e+01
         200  $\mathcal{L}_{res}$        3.61099223e+00
         400  $\mathcal{L}_{res}$        1.38988543e+00
         600  $\mathcal{L}_{res}$        9.27219393e-01
         800  $\mathcal{L}_{res}$        5.76161036e-01
        1000  $\mathcal{L}_{res}$        3.95964997e-01
        1200  $\mathcal{L}_{res}$        3.05757539e-01
        1400  $\mathcal{L}_{res}$        2.26139696e-01
        1600  $\mathcal{L}_{res}$        1.81384584e-01
        1800  $\mathcal{L}_{res}$        1.66927451e-01
        2000  $\mathcal{L}_{res}$        1.36322600e-01
        2200  $\mathcal{L}_{res}$        1.22195272e-01
        2400  $\mathcal{L}_{res}$        1.17734074e-01
        2600  $\mathcal{L}_{res}$        1.12162487e-01
        2800  $\mathcal{L}_{res}$        9.74053348e-02
        3000  $\mathcal{L}_{res}$        9.20164683e-02
        3000  $\mathcal{L}_{res}$        2.24461393e-01
        4000  $\mathcal{L}_{res}$        1.18151755e-02
        5000  $\mathcal{L}_{res}$        5.68036973e-03
        6000  $\mathcal{L}_{res}$        3.97898567e-03
        7000  $\mathcal{L}_{res}$        2.97966015e-03
        8000  $\mathcal{L}_{res}$        2.38851703e-03
        9000  $\mathcal{L}_{res}$        1.98063517e-03
       10000  $\mathcal{L}_{res}$        1.67779469e-03
       11000  $\mathcal{L}_{res}$        1.47192935e-03
       12000  $\mathcal{L}_{res}$        1.27842873e-03
       12466  $\mathcal{L}_{res}$        1.20555623e-03
       12595  $\mathcal{L}_{res}$        1.19536132e-03
       13069  $\mathcal{L}_{res}$        1.13617984e-03
       13324  $\mathcal{L}_{res}$        1.11008774e-03
       13327  $\mathcal{L}_{res}$        1.11015154e-03
       13346  $\mathcal{L}_{res}$        1.10881224e-03
       13563  $\mathcal{L}_{res}$        1.08232253e-03
       13697  $\mathcal{L}_{res}$        1.06141161e-03
       14119  $\mathcal{L}_{res}$        1.01450180e-03
       14143  $\mathcal{L}_{res}$        1.01144432e-03
       14604  $\mathcal{L}_{res}$        9.57222698e-04
       14659  $\mathcal{L}_{res}$        9.52821682e-04
       14933  $\mathcal{L}_{res}$        9.05121319e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        4.04481791e+01
         200  $\mathcal{L}_{bc0}$        1.11935002e+01
         400  $\mathcal{L}_{bc0}$        8.92741552e+00
         600  $\mathcal{L}_{bc0}$        7.40321495e+00
         800  $\mathcal{L}_{bc0}$        6.77598383e+00
        1000  $\mathcal{L}_{bc0}$        6.45048971e+00
        1200  $\mathcal{L}_{bc0}$        6.30225181e+00
        1400  $\mathcal{L}_{bc0}$        6.22535315e+00
        1600  $\mathcal{L}_{bc0}$        6.17292905e+00
        1800  $\mathcal{L}_{bc0}$        6.14401668e+00
        2000  $\mathcal{L}_{bc0}$        6.11367308e+00
        2200  $\mathcal{L}_{bc0}$        6.08325561e+00
        2400  $\mathcal{L}_{bc0}$        6.06005088e+00
        2600  $\mathcal{L}_{bc0}$        6.03654899e+00
