Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        2.48476297e+01
         200  $\mathcal{L}_{res}$        3.90170778e+00
         400  $\mathcal{L}_{res}$        1.31880282e+00
         600  $\mathcal{L}_{res}$        1.06035363e+00
         800  $\mathcal{L}_{res}$        8.42420063e-01
        1000  $\mathcal{L}_{res}$        6.04660296e-01
        1200  $\mathcal{L}_{res}$        4.49461106e-01
        1400  $\mathcal{L}_{res}$        3.67833658e-01
        1600  $\mathcal{L}_{res}$        3.04178884e-01
        1800  $\mathcal{L}_{res}$        2.61619858e-01
        2000  $\mathcal{L}_{res}$        2.30780624e-01
        2200  $\mathcal{L}_{res}$        4.56326795e-01
        2400  $\mathcal{L}_{res}$        1.87351329e-01
        2600  $\mathcal{L}_{res}$        1.79770511e-01
        2800  $\mathcal{L}_{res}$        1.63509898e-01
        3000  $\mathcal{L}_{res}$        1.61454576e-01
        3000  $\mathcal{L}_{res}$        1.80856924e-01
        4000  $\mathcal{L}_{res}$        9.72431242e-03
        5000  $\mathcal{L}_{res}$        5.05130792e-03
        6000  $\mathcal{L}_{res}$        3.25123271e-03
        7000  $\mathcal{L}_{res}$        2.47697679e-03
        8000  $\mathcal{L}_{res}$        1.83411509e-03
        9000  $\mathcal{L}_{res}$        1.09544121e-03
       10000  $\mathcal{L}_{res}$        6.95709002e-04
       11000  $\mathcal{L}_{res}$        4.78091547e-04
       11461  $\mathcal{L}_{res}$        4.22917804e-04
       12037  $\mathcal{L}_{res}$        3.75489070e-04
       12326  $\mathcal{L}_{res}$        3.49712885e-04
       12468  $\mathcal{L}_{res}$        3.39321358e-04
       12672  $\mathcal{L}_{res}$        3.20866902e-04
       12695  $\mathcal{L}_{res}$        3.19799382e-04
       12811  $\mathcal{L}_{res}$        3.07150891e-04
       12888  $\mathcal{L}_{res}$        3.00076133e-04
       13038  $\mathcal{L}_{res}$        2.91334253e-04
       13080  $\mathcal{L}_{res}$        2.89701003e-04
       13093  $\mathcal{L}_{res}$        2.89486186e-04
       13115  $\mathcal{L}_{res}$        2.88688835e-04
       13147  $\mathcal{L}_{res}$        2.86634361e-04
       13292  $\mathcal{L}_{res}$        2.77277109e-04
       13439  $\mathcal{L}_{res}$        2.70291878e-04
       13465  $\mathcal{L}_{res}$        2.68255356e-04
       13532  $\mathcal{L}_{res}$        2.63898077e-04
       13577  $\mathcal{L}_{res}$        2.61555371e-04
       13926  $\mathcal{L}_{res}$        2.39808825e-04
       13947  $\mathcal{L}_{res}$        2.39167572e-04
       14118  $\mathcal{L}_{res}$        2.31179383e-04
       14151  $\mathcal{L}_{res}$        2.29100319e-04
       14157  $\mathcal{L}_{res}$        2.28988322e-04
       14200  $\mathcal{L}_{res}$        2.27375951e-04
       14247  $\mathcal{L}_{res}$        2.26093481e-04
       14282  $\mathcal{L}_{res}$        2.24694055e-04
       14284  $\mathcal{L}_{res}$        2.24627541e-04
       14302  $\mathcal{L}_{res}$        2.24171875e-04
       14304  $\mathcal{L}_{res}$        2.24160620e-04
       14525  $\mathcal{L}_{res}$        2.12257013e-04
       14547  $\mathcal{L}_{res}$        2.11405633e-04
       14550  $\mathcal{L}_{res}$        2.11338503e-04
       14556  $\mathcal{L}_{res}$        2.11240037e-04
       14574  $\mathcal{L}_{res}$        2.10799622e-04
       14657  $\mathcal{L}_{res}$        2.08058200e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        3.55247097e+01
         200  $\mathcal{L}_{bc0}$        1.11995386e+01
         400  $\mathcal{L}_{bc0}$        8.35862425e+00
         600  $\mathcal{L}_{bc0}$        7.16134781e+00
         800  $\mathcal{L}_{bc0}$        6.65705905e+00
        1000  $\mathcal{L}_{bc0}$        6.29918426e+00
        1200  $\mathcal{L}_{bc0}$        6.04475833e+00
        1400  $\mathcal{L}_{bc0}$        5.88203364e+00
        1600  $\mathcal{L}_{bc0}$        5.79649160e+00
        1800  $\mathcal{L}_{bc0}$        5.72222263e+00
        2000  $\mathcal{L}_{bc0}$        5.64749436e+00
        2200  $\mathcal{L}_{bc0}$        5.67324168e+00
        2400  $\mathcal{L}_{bc0}$        5.52874209e+00
        2600  $\mathcal{L}_{bc0}$        5.49077263e+00
        2800  $\mathcal{L}_{bc0}$        5.42707789e+00
        3000  $\mathcal{L}_{bc0}$        5.38586685e+00
        3000  $\mathcal{L}_{bc0}$        5.38586685e+00
        4000  $\mathcal{L}_{bc0}$        4.83751037e+00
        5000  $\mathcal{L}_{bc0}$        4.83713900e+00
        6000  $\mathcal{L}_{bc0}$        4.83707126e+00
        7000  $\mathcal{L}_{bc0}$        4.83704547e+00
        8000  $\mathcal{L}_{bc0}$        4.83703760e+00
        9000  $\mathcal{L}_{bc0}$        4.83704025e+00
       10000  $\mathcal{L}_{bc0}$        4.83703062e+00
       11000  $\mathcal{L}_{bc0}$        4.83701740e+00
       11461  $\mathcal{L}_{bc0}$        4.83701547e+00
       12037  $\mathcal{L}_{bc0}$        4.83701302e+00
       12326  $\mathcal{L}_{bc0}$        4.83701221e+00
       12468  $\mathcal{L}_{bc0}$        4.83701178e+00
       12672  $\mathcal{L}_{bc0}$        4.83700952e+00
       12695  $\mathcal{L}_{bc0}$        4.83700934e+00
       12811  $\mathcal{L}_{bc0}$        4.83700972e+00
       12888  $\mathcal{L}_{bc0}$        4.83700867e+00
       13038  $\mathcal{L}_{bc0}$        4.83700831e+00
       13080  $\mathcal{L}_{bc0}$        4.83700834e+00
       13093  $\mathcal{L}_{bc0}$        4.83700827e+00
       13115  $\mathcal{L}_{bc0}$        4.83700791e+00
       13147  $\mathcal{L}_{bc0}$        4.83700812e+00
       13292  $\mathcal{L}_{bc0}$        4.83700834e+00
       13439  $\mathcal{L}_{bc0}$        4.83700715e+00
       13465  $\mathcal{L}_{bc0}$        4.83700736e+00
       13532  $\mathcal{L}_{bc0}$        4.83700765e+00
       13577  $\mathcal{L}_{bc0}$        4.83700756e+00
       13926  $\mathcal{L}_{bc0}$        4.83700857e+00
       13947  $\mathcal{L}_{bc0}$        4.83700835e+00
       14118  $\mathcal{L}_{bc0}$        4.83700852e+00
       14151  $\mathcal{L}_{bc0}$        4.83700853e+00
       14157  $\mathcal{L}_{bc0}$        4.83700852e+00
       14200  $\mathcal{L}_{bc0}$        4.83700822e+00
       14247  $\mathcal{L}_{bc0}$        4.83700811e+00
       14282  $\mathcal{L}_{bc0}$        4.83700843e+00
       14284  $\mathcal{L}_{bc0}$        4.83700846e+00
       14302  $\mathcal{L}_{bc0}$        4.83700837e+00
       14304  $\mathcal{L}_{bc0}$        4.83700836e+00
       14525  $\mathcal{L}_{bc0}$        4.83700808e+00
       14547  $\mathcal{L}_{bc0}$        4.83700826e+00
       14550  $\mathcal{L}_{bc0}$        4.83700824e+00
       14556  $\mathcal{L}_{bc0}$        4.83700819e+00
       14574  $\mathcal{L}_{bc0}$        4.83700815e+00
       14657  $\mathcal{L}_{bc0}$        4.83700840e+00
--------------------------------------------------
           0     test loss        5.91665801e+01
         200     test loss        1.21721931e+01
         400     test loss        8.49617312e+00
         600     test loss        7.27607919e+00
         800     test loss        6.75809012e+00
        1000     test loss        6.35654674e+00
        1200     test loss        6.10541746e+00
        1400     test loss        5.93690904e+00
        1600     test loss        5.84178557e+00
        1800     test loss        5.76765643e+00
        2000     test loss        5.69174110e+00
        2200     test loss        5.79724762e+00
        2400     test loss        5.56563405e+00
        2600     test loss        5.52658283e+00
        2800     test loss        5.46104158e+00
        3000     test loss        5.42100416e+00
        3000     test loss        5.42100416e+00
        4000     test loss        4.84143311e+00
        5000     test loss        4.83891478e+00
        6000     test loss        4.83795811e+00
        7000     test loss        4.83774817e+00
        8000     test loss        4.83763090e+00
        9000     test loss        4.83771661e+00
       10000     test loss        4.83747879e+00
       11000     test loss        4.83732058e+00
       11461     test loss        4.83730142e+00
       12037     test loss        4.83726567e+00
       12326     test loss        4.83725264e+00
       12468     test loss        4.83724392e+00
       12672     test loss        4.83723359e+00
       12695     test loss        4.83722989e+00
       12811     test loss        4.83721519e+00
       12888     test loss        4.83721157e+00
       13038     test loss        4.83720208e+00
       13080     test loss        4.83720462e+00
       13093     test loss        4.83720473e+00
       13115     test loss        4.83720100e+00
       13147     test loss        4.83719984e+00
       13292     test loss        4.83719652e+00
       13439     test loss        4.83719167e+00
       13465     test loss        4.83719038e+00
       13532     test loss        4.83719207e+00
       13577     test loss        4.83719034e+00
       13926     test loss        4.83716678e+00
