Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        1.62034374e+01
         200  $\mathcal{L}_{res}$        3.20235321e+00
         400  $\mathcal{L}_{res}$        1.70505893e+00
         600  $\mathcal{L}_{res}$        1.23028121e+00
         800  $\mathcal{L}_{res}$        7.50479293e-01
        1000  $\mathcal{L}_{res}$        4.06007196e-01
        1200  $\mathcal{L}_{res}$        2.76451254e-01
        1400  $\mathcal{L}_{res}$        2.87183635e-01
        1600  $\mathcal{L}_{res}$        1.76531969e-01
        1800  $\mathcal{L}_{res}$        1.53934298e-01
        2000  $\mathcal{L}_{res}$        1.30862337e-01
        2200  $\mathcal{L}_{res}$        1.22256853e-01
        2400  $\mathcal{L}_{res}$        1.06024486e-01
        2600  $\mathcal{L}_{res}$        1.05859819e-01
        2800  $\mathcal{L}_{res}$        9.55064763e-02
        3000  $\mathcal{L}_{res}$        8.38688651e-02
        3000  $\mathcal{L}_{res}$        1.04938213e-01
        4000  $\mathcal{L}_{res}$        3.06266268e-02
        5000  $\mathcal{L}_{res}$        9.73265538e-03
        6000  $\mathcal{L}_{res}$        6.46698132e-03
        7000  $\mathcal{L}_{res}$        4.44888735e-03
        8000  $\mathcal{L}_{res}$        3.16037285e-03
        9000  $\mathcal{L}_{res}$        2.46613874e-03
       10000  $\mathcal{L}_{res}$        1.93314273e-03
       10548  $\mathcal{L}_{res}$        1.62498459e-03
       11548  $\mathcal{L}_{res}$        1.24939078e-03
       12299  $\mathcal{L}_{res}$        1.03809498e-03
       12393  $\mathcal{L}_{res}$        1.01259251e-03
       13393  $\mathcal{L}_{res}$        8.51667872e-04
       13444  $\mathcal{L}_{res}$        8.46005116e-04
       13450  $\mathcal{L}_{res}$        8.45865045e-04
       13740  $\mathcal{L}_{res}$        8.15293165e-04
       13745  $\mathcal{L}_{res}$        8.15304454e-04
       13853  $\mathcal{L}_{res}$        7.99409338e-04
       14256  $\mathcal{L}_{res}$        7.41318443e-04
       14353  $\mathcal{L}_{res}$        7.32582008e-04
       14362  $\mathcal{L}_{res}$        7.32299369e-04
       14438  $\mathcal{L}_{res}$        7.23650733e-04
       14642  $\mathcal{L}_{res}$        7.05387611e-04
       14651  $\mathcal{L}_{res}$        7.05267086e-04
       14983  $\mathcal{L}_{res}$        6.82079418e-04
       15032  $\mathcal{L}_{res}$        6.77547849e-04
       15053  $\mathcal{L}_{res}$        6.76459978e-04
       15526  $\mathcal{L}_{res}$        6.35864217e-04
       15668  $\mathcal{L}_{res}$        6.18014710e-04
       15742  $\mathcal{L}_{res}$        6.11574132e-04
       16027  $\mathcal{L}_{res}$        5.92288193e-04
       16124  $\mathcal{L}_{res}$        5.81971199e-04
       16323  $\mathcal{L}_{res}$        5.66039876e-04
       16385  $\mathcal{L}_{res}$        5.62117789e-04
       16391  $\mathcal{L}_{res}$        5.61913273e-04
       16396  $\mathcal{L}_{res}$        5.61680277e-04
       16516  $\mathcal{L}_{res}$        5.54537594e-04
       16567  $\mathcal{L}_{res}$        5.53070275e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        4.92167227e+01
         200  $\mathcal{L}_{bc0}$        1.20709585e+01
         400  $\mathcal{L}_{bc0}$        1.00235895e+01
         600  $\mathcal{L}_{bc0}$        9.09182973e+00
         800  $\mathcal{L}_{bc0}$        7.92296863e+00
        1000  $\mathcal{L}_{bc0}$        7.37898312e+00
        1200  $\mathcal{L}_{bc0}$        7.13181866e+00
        1400  $\mathcal{L}_{bc0}$        7.03993965e+00
        1600  $\mathcal{L}_{bc0}$        6.90096206e+00
        1800  $\mathcal{L}_{bc0}$        6.81708594e+00
        2000  $\mathcal{L}_{bc0}$        6.76202955e+00
        2200  $\mathcal{L}_{bc0}$        6.69217981e+00
        2400  $\mathcal{L}_{bc0}$        6.64569781e+00
        2600  $\mathcal{L}_{bc0}$        6.61871130e+00
        2800  $\mathcal{L}_{bc0}$        6.58764727e+00
        3000  $\mathcal{L}_{bc0}$        6.55595785e+00
        3000  $\mathcal{L}_{bc0}$        6.55595785e+00
        4000  $\mathcal{L}_{bc0}$        5.88061191e+00
        5000  $\mathcal{L}_{bc0}$        5.84485087e+00
        6000  $\mathcal{L}_{bc0}$        5.84439336e+00
        7000  $\mathcal{L}_{bc0}$        5.84430529e+00
        8000  $\mathcal{L}_{bc0}$        5.84433786e+00
        9000  $\mathcal{L}_{bc0}$        5.84428137e+00
       10000  $\mathcal{L}_{bc0}$        5.84422559e+00
       10548  $\mathcal{L}_{bc0}$        5.84422748e+00
       11548  $\mathcal{L}_{bc0}$        5.84419650e+00
       12299  $\mathcal{L}_{bc0}$        5.84418906e+00
       12393  $\mathcal{L}_{bc0}$        5.84419217e+00
       13393  $\mathcal{L}_{bc0}$        5.84419504e+00
       13444  $\mathcal{L}_{bc0}$        5.84419365e+00
       13450  $\mathcal{L}_{bc0}$        5.84419319e+00
       13740  $\mathcal{L}_{bc0}$        5.84418544e+00
       13745  $\mathcal{L}_{bc0}$        5.84418524e+00
       13853  $\mathcal{L}_{bc0}$        5.84418489e+00
       14256  $\mathcal{L}_{bc0}$        5.84418113e+00
       14353  $\mathcal{L}_{bc0}$        5.84418133e+00
       14362  $\mathcal{L}_{bc0}$        5.84418125e+00
       14438  $\mathcal{L}_{bc0}$        5.84418172e+00
       14642  $\mathcal{L}_{bc0}$        5.84418054e+00
       14651  $\mathcal{L}_{bc0}$        5.84418033e+00
       14983  $\mathcal{L}_{bc0}$        5.84417601e+00
       15032  $\mathcal{L}_{bc0}$        5.84417654e+00
       15053  $\mathcal{L}_{bc0}$        5.84417658e+00
       15526  $\mathcal{L}_{bc0}$        5.84417455e+00
       15668  $\mathcal{L}_{bc0}$        5.84417420e+00
       15742  $\mathcal{L}_{bc0}$        5.84417428e+00
       16027  $\mathcal{L}_{bc0}$        5.84417256e+00
       16124  $\mathcal{L}_{bc0}$        5.84417414e+00
       16323  $\mathcal{L}_{bc0}$        5.84417141e+00
       16385  $\mathcal{L}_{bc0}$        5.84417029e+00
       16391  $\mathcal{L}_{bc0}$        5.84417031e+00
       16396  $\mathcal{L}_{bc0}$        5.84417042e+00
