Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        2.68602934e+03
         200  $\mathcal{L}_{res}$        4.24600008e+01
         400  $\mathcal{L}_{res}$        2.22931636e+01
         600  $\mathcal{L}_{res}$        2.23267113e+01
         800  $\mathcal{L}_{res}$        1.42300457e+01
        1000  $\mathcal{L}_{res}$        9.85697247e+00
        1200  $\mathcal{L}_{res}$        8.05972172e+00
        1400  $\mathcal{L}_{res}$        6.75013237e+00
        1600  $\mathcal{L}_{res}$        6.28350758e+00
        1800  $\mathcal{L}_{res}$        5.42925843e+00
        2000  $\mathcal{L}_{res}$        4.91629995e+00
        2200  $\mathcal{L}_{res}$        4.04430529e+00
        2400  $\mathcal{L}_{res}$        3.81214609e+00
        2600  $\mathcal{L}_{res}$        3.84589895e+00
        2800  $\mathcal{L}_{res}$        3.00989778e+00
        3000  $\mathcal{L}_{res}$        2.56168456e+00
        3000  $\mathcal{L}_{res}$        2.66949602e+00
        4000  $\mathcal{L}_{res}$        1.29256125e-01
        5000  $\mathcal{L}_{res}$        6.19997330e-02
        6000  $\mathcal{L}_{res}$        4.28790345e-02
        7000  $\mathcal{L}_{res}$        2.45432685e-02
        8000  $\mathcal{L}_{res}$        1.95344644e-02
        9000  $\mathcal{L}_{res}$        1.71839489e-02
       10000  $\mathcal{L}_{res}$        9.45919593e-03
       11000  $\mathcal{L}_{res}$        5.66850544e-03
       12000  $\mathcal{L}_{res}$        4.17286110e-03
       13000  $\mathcal{L}_{res}$        3.20609231e-03
       14000  $\mathcal{L}_{res}$        2.55918649e-03
       15000  $\mathcal{L}_{res}$        2.12560050e-03
       16000  $\mathcal{L}_{res}$        1.76348086e-03
       16301  $\mathcal{L}_{res}$        1.67039511e-03
       17301  $\mathcal{L}_{res}$        1.45632306e-03
       18162  $\mathcal{L}_{res}$        1.27633480e-03
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        5.97318601e+01
         200  $\mathcal{L}_{bc0}$        3.59695341e+01
         400  $\mathcal{L}_{bc0}$        3.22119928e+01
         600  $\mathcal{L}_{bc0}$        2.56528765e+01
         800  $\mathcal{L}_{bc0}$        1.04061970e+01
        1000  $\mathcal{L}_{bc0}$        8.80523608e+00
        1200  $\mathcal{L}_{bc0}$        8.44842737e+00
        1400  $\mathcal{L}_{bc0}$        8.09487722e+00
        1600  $\mathcal{L}_{bc0}$        7.83155353e+00
        1800  $\mathcal{L}_{bc0}$        7.87313501e+00
        2000  $\mathcal{L}_{bc0}$        7.88903046e+00
        2200  $\mathcal{L}_{bc0}$        7.72305063e+00
        2400  $\mathcal{L}_{bc0}$        7.71849944e+00
        2600  $\mathcal{L}_{bc0}$        7.62662483e+00
        2800  $\mathcal{L}_{bc0}$        7.62762544e+00
        3000  $\mathcal{L}_{bc0}$        7.59148624e+00
        3000  $\mathcal{L}_{bc0}$        7.59148624e+00
        4000  $\mathcal{L}_{bc0}$        6.01668687e+00
        5000  $\mathcal{L}_{bc0}$        5.93507546e+00
        6000  $\mathcal{L}_{bc0}$        5.86733192e+00
        7000  $\mathcal{L}_{bc0}$        5.84530704e+00
