Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        1.54455198e+02
         200  $\mathcal{L}_{res}$        9.16959030e+00
         400  $\mathcal{L}_{res}$        4.43634463e+00
         600  $\mathcal{L}_{res}$        3.92281048e+00
         800  $\mathcal{L}_{res}$        3.15743691e+00
        1000  $\mathcal{L}_{res}$        2.08736081e+00
        1200  $\mathcal{L}_{res}$        1.22219154e+00
        1400  $\mathcal{L}_{res}$        8.01563165e-01
        1600  $\mathcal{L}_{res}$        5.88272972e-01
        1800  $\mathcal{L}_{res}$        5.61187717e-01
        2000  $\mathcal{L}_{res}$        4.99697665e-01
        2200  $\mathcal{L}_{res}$        4.56375561e-01
        2400  $\mathcal{L}_{res}$        4.45732790e-01
        2600  $\mathcal{L}_{res}$        3.86265572e-01
        2800  $\mathcal{L}_{res}$        3.82392662e-01
        3000  $\mathcal{L}_{res}$        3.48937048e-01
        3000  $\mathcal{L}_{res}$        4.26142779e-01
        4000  $\mathcal{L}_{res}$        2.25483027e-02
        5000  $\mathcal{L}_{res}$        8.95157862e-03
        6000  $\mathcal{L}_{res}$        3.51288129e-03
        7000  $\mathcal{L}_{res}$        1.85636269e-03
        8000  $\mathcal{L}_{res}$        1.14893164e-03
        9000  $\mathcal{L}_{res}$        7.50140795e-04
       10000  $\mathcal{L}_{res}$        5.11053921e-04
       11000  $\mathcal{L}_{res}$        3.65188825e-04
       11174  $\mathcal{L}_{res}$        3.48457037e-04
       11487  $\mathcal{L}_{res}$        3.20176321e-04
       11655  $\mathcal{L}_{res}$        3.06728539e-04
       12401  $\mathcal{L}_{res}$        2.47403207e-04
       12552  $\mathcal{L}_{res}$        2.37565310e-04
       12793  $\mathcal{L}_{res}$        2.22827168e-04
       12934  $\mathcal{L}_{res}$        2.15656234e-04
       12945  $\mathcal{L}_{res}$        2.15302185e-04
       12966  $\mathcal{L}_{res}$        2.14422363e-04
       13027  $\mathcal{L}_{res}$        2.11615348e-04
       13036  $\mathcal{L}_{res}$        2.11252403e-04
       13076  $\mathcal{L}_{res}$        2.08797422e-04
       13143  $\mathcal{L}_{res}$        2.06056813e-04
       13186  $\mathcal{L}_{res}$        2.03522113e-04
       13248  $\mathcal{L}_{res}$        2.01529944e-04
       13265  $\mathcal{L}_{res}$        2.00918136e-04
       13286  $\mathcal{L}_{res}$        2.00180040e-04
       13435  $\mathcal{L}_{res}$        1.93719432e-04
