Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        1.17307508e+01
         200  $\mathcal{L}_{res}$        2.49802001e+00
         400  $\mathcal{L}_{res}$        9.55784922e-01
         600  $\mathcal{L}_{res}$        4.44820296e-01
         800  $\mathcal{L}_{res}$        3.35664861e-01
        1000  $\mathcal{L}_{res}$        2.16741551e-01
        1200  $\mathcal{L}_{res}$        1.88989066e-01
        1400  $\mathcal{L}_{res}$        1.49590551e-01
        1600  $\mathcal{L}_{res}$        1.28154232e-01
        1800  $\mathcal{L}_{res}$        1.06960648e-01
        2000  $\mathcal{L}_{res}$        9.89430915e-02
        2200  $\mathcal{L}_{res}$        3.56132384e-01
        2400  $\mathcal{L}_{res}$        1.10885289e-01
        2600  $\mathcal{L}_{res}$        9.26427046e-02
        2800  $\mathcal{L}_{res}$        1.07225902e-01
        3000  $\mathcal{L}_{res}$        9.49540561e-02
        3000  $\mathcal{L}_{res}$        9.35975914e-02
        4000  $\mathcal{L}_{res}$        4.46787887e-03
        5000  $\mathcal{L}_{res}$        2.17051348e-03
        6000  $\mathcal{L}_{res}$        1.54626771e-03
        7000  $\mathcal{L}_{res}$        1.21252533e-03
        8000  $\mathcal{L}_{res}$        1.01186651e-03
        8621  $\mathcal{L}_{res}$        9.43025732e-04
        9491  $\mathcal{L}_{res}$        8.64010514e-04
        9580  $\mathcal{L}_{res}$        8.58165548e-04
        9871  $\mathcal{L}_{res}$        8.33242225e-04
       10019  $\mathcal{L}_{res}$        8.21941057e-04
       10807  $\mathcal{L}_{res}$        7.53362076e-04
       10871  $\mathcal{L}_{res}$        7.47651996e-04
       10894  $\mathcal{L}_{res}$        7.46767993e-04
       11008  $\mathcal{L}_{res}$        7.37916316e-04
       11733  $\mathcal{L}_{res}$        6.66598487e-04
       11746  $\mathcal{L}_{res}$        6.66200869e-04
       12418  $\mathcal{L}_{res}$        5.92812684e-04
       12559  $\mathcal{L}_{res}$        5.76917080e-04
       12882  $\mathcal{L}_{res}$        5.39312169e-04
       13882  $\mathcal{L}_{res}$        3.76995661e-04
       14136  $\mathcal{L}_{res}$        3.31678247e-04
       14943  $\mathcal{L}_{res}$        2.25663541e-04
       14951  $\mathcal{L}_{res}$        2.25608266e-04
       15688  $\mathcal{L}_{res}$        1.56430153e-04
       15846  $\mathcal{L}_{res}$        1.48761556e-04
       15900  $\mathcal{L}_{res}$        1.45554850e-04
       15932  $\mathcal{L}_{res}$        1.43448205e-04
       15944  $\mathcal{L}_{res}$        1.42976555e-04
       16050  $\mathcal{L}_{res}$        1.37880454e-04
       16096  $\mathcal{L}_{res}$        1.35149998e-04
       16185  $\mathcal{L}_{res}$        1.31241733e-04
       16251  $\mathcal{L}_{res}$        1.28420583e-04
       16258  $\mathcal{L}_{res}$        1.28308772e-04
       16318  $\mathcal{L}_{res}$        1.25469162e-04
       16399  $\mathcal{L}_{res}$        1.21260874e-04
       16459  $\mathcal{L}_{res}$        1.19363711e-04
       16464  $\mathcal{L}_{res}$        1.19303858e-04
