Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        9.48628006e+01
         200  $\mathcal{L}_{res}$        8.54837663e+00
         400  $\mathcal{L}_{res}$        4.21615927e+00
         600  $\mathcal{L}_{res}$        3.46574185e+00
         800  $\mathcal{L}_{res}$        2.18968920e+00
        1000  $\mathcal{L}_{res}$        1.42487246e+00
        1200  $\mathcal{L}_{res}$        9.40980593e-01
        1400  $\mathcal{L}_{res}$        6.90655117e-01
        1600  $\mathcal{L}_{res}$        5.61484809e-01
        1800  $\mathcal{L}_{res}$        4.84839743e-01
        2000  $\mathcal{L}_{res}$        4.52844862e-01
        2200  $\mathcal{L}_{res}$        3.63161638e-01
        2400  $\mathcal{L}_{res}$        3.34115886e-01
        2600  $\mathcal{L}_{res}$        3.01319653e-01
        2800  $\mathcal{L}_{res}$        3.18797552e-01
        3000  $\mathcal{L}_{res}$        4.99648283e-01
        3000  $\mathcal{L}_{res}$        8.45915289e-01
        4000  $\mathcal{L}_{res}$        1.10689102e-02
        5000  $\mathcal{L}_{res}$        4.08902963e-02
        6000  $\mathcal{L}_{res}$        1.49748775e-02
        7000  $\mathcal{L}_{res}$        8.25201486e-03
        8000  $\mathcal{L}_{res}$        5.46760563e-03
        9000  $\mathcal{L}_{res}$        4.05847570e-03
       10000  $\mathcal{L}_{res}$        3.40458873e-03
       11000  $\mathcal{L}_{res}$        2.85041368e-03
       12000  $\mathcal{L}_{res}$        2.54804310e-03
       13000  $\mathcal{L}_{res}$        2.31967865e-03
       13378  $\mathcal{L}_{res}$        2.23573794e-03
       13616  $\mathcal{L}_{res}$        2.19700709e-03
       13693  $\mathcal{L}_{res}$        2.18446219e-03
       14693  $\mathcal{L}_{res}$        1.98852667e-03
       15536  $\mathcal{L}_{res}$        1.83935732e-03
       15628  $\mathcal{L}_{res}$        1.82735323e-03
       16030  $\mathcal{L}_{res}$        1.78310982e-03
       16096  $\mathcal{L}_{res}$        1.77900012e-03
       16173  $\mathcal{L}_{res}$        1.77384420e-03
       16193  $\mathcal{L}_{res}$        1.77125721e-03
       16443  $\mathcal{L}_{res}$        1.74491294e-03
       16708  $\mathcal{L}_{res}$        1.69569294e-03
       16811  $\mathcal{L}_{res}$        1.68188278e-03
       16815  $\mathcal{L}_{res}$        1.68164303e-03
       16865  $\mathcal{L}_{res}$        1.67488328e-03
       17041  $\mathcal{L}_{res}$        1.66050612e-03
       17080  $\mathcal{L}_{res}$        1.65752057e-03
       17169  $\mathcal{L}_{res}$        1.64672270e-03
       17320  $\mathcal{L}_{res}$        1.62171278e-03
       17662  $\mathcal{L}_{res}$        1.57726960e-03
       17747  $\mathcal{L}_{res}$        1.56375954e-03
       18339  $\mathcal{L}_{res}$        1.48327371e-03
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.56661335e+02
         200  $\mathcal{L}_{bc0}$        2.87585235e+01
         400  $\mathcal{L}_{bc0}$        2.19888068e+01
         600  $\mathcal{L}_{bc0}$        2.09039316e+01
         800  $\mathcal{L}_{bc0}$        1.91475325e+01
        1000  $\mathcal{L}_{bc0}$        1.76526587e+01
        1200  $\mathcal{L}_{bc0}$        1.70091417e+01
        1400  $\mathcal{L}_{bc0}$        1.67518963e+01
        1600  $\mathcal{L}_{bc0}$        1.66534762e+01
        1800  $\mathcal{L}_{bc0}$        1.65921332e+01
        2000  $\mathcal{L}_{bc0}$        1.65438122e+01
        2200  $\mathcal{L}_{bc0}$        1.64841303e+01
        2400  $\mathcal{L}_{bc0}$        1.64470084e+01
        2600  $\mathcal{L}_{bc0}$        1.64129583e+01
        2800  $\mathcal{L}_{bc0}$        1.63667865e+01
        3000  $\mathcal{L}_{bc0}$        1.65352078e+01
        3000  $\mathcal{L}_{bc0}$        1.65352078e+01
        4000  $\mathcal{L}_{bc0}$        1.58258327e+01
        5000  $\mathcal{L}_{bc0}$        1.56643849e+01
        6000  $\mathcal{L}_{bc0}$        1.56363420e+01
        7000  $\mathcal{L}_{bc0}$        1.56353879e+01
        8000  $\mathcal{L}_{bc0}$        1.56352171e+01
        9000  $\mathcal{L}_{bc0}$        1.56351430e+01
       10000  $\mathcal{L}_{bc0}$        1.56351297e+01
       11000  $\mathcal{L}_{bc0}$        1.56351216e+01
       12000  $\mathcal{L}_{bc0}$        1.56351078e+01
       13000  $\mathcal{L}_{bc0}$        1.56350917e+01
       13378  $\mathcal{L}_{bc0}$        1.56350941e+01
       13616  $\mathcal{L}_{bc0}$        1.56350923e+01
       13693  $\mathcal{L}_{bc0}$        1.56350920e+01
       14693  $\mathcal{L}_{bc0}$        1.56350958e+01
       15536  $\mathcal{L}_{bc0}$        1.56350829e+01
       15628  $\mathcal{L}_{bc0}$        1.56350826e+01
       16030  $\mathcal{L}_{bc0}$        1.56350793e+01
       16096  $\mathcal{L}_{bc0}$        1.56350789e+01
       16173  $\mathcal{L}_{bc0}$        1.56350784e+01
       16193  $\mathcal{L}_{bc0}$        1.56350789e+01
       16443  $\mathcal{L}_{bc0}$        1.56350815e+01
       16708  $\mathcal{L}_{bc0}$        1.56350818e+01
       16811  $\mathcal{L}_{bc0}$        1.56350830e+01
       16815  $\mathcal{L}_{bc0}$        1.56350831e+01
       16865  $\mathcal{L}_{bc0}$        1.56350829e+01
       17041  $\mathcal{L}_{bc0}$        1.56350825e+01
       17080  $\mathcal{L}_{bc0}$        1.56350834e+01
       17169  $\mathcal{L}_{bc0}$        1.56350823e+01
       17320  $\mathcal{L}_{bc0}$        1.56350805e+01
       17662  $\mathcal{L}_{bc0}$        1.56350838e+01
       17747  $\mathcal{L}_{bc0}$        1.56350858e+01
