Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        6.99822699e+00
         200  $\mathcal{L}_{res}$        2.90959897e+00
         400  $\mathcal{L}_{res}$        1.38351604e+00
         600  $\mathcal{L}_{res}$        6.52749270e-01
         800  $\mathcal{L}_{res}$        3.83213699e-01
        1000  $\mathcal{L}_{res}$        2.09193935e-01
        1200  $\mathcal{L}_{res}$        1.55817274e-01
        1400  $\mathcal{L}_{res}$        9.48457986e-01
        1600  $\mathcal{L}_{res}$        1.21691460e-01
        1800  $\mathcal{L}_{res}$        1.11354077e-01
        2000  $\mathcal{L}_{res}$        1.05805886e-01
        2200  $\mathcal{L}_{res}$        8.79275996e-02
        2400  $\mathcal{L}_{res}$        8.01541362e-02
        2600  $\mathcal{L}_{res}$        8.40237824e-02
        2800  $\mathcal{L}_{res}$        7.42805255e-02
        3000  $\mathcal{L}_{res}$        8.37099881e-02
        3000  $\mathcal{L}_{res}$        9.67684495e-02
        4000  $\mathcal{L}_{res}$        1.56979732e-02
        5000  $\mathcal{L}_{res}$        5.42082215e-03
        6000  $\mathcal{L}_{res}$        3.43413737e-03
        7000  $\mathcal{L}_{res}$        2.53070307e-03
        8000  $\mathcal{L}_{res}$        2.04047477e-03
        9000  $\mathcal{L}_{res}$        1.75457742e-03
       10000  $\mathcal{L}_{res}$        1.57423825e-03
       11000  $\mathcal{L}_{res}$        1.42619559e-03
       12000  $\mathcal{L}_{res}$        1.33273231e-03
       12618  $\mathcal{L}_{res}$        1.28029289e-03
       12682  $\mathcal{L}_{res}$        1.27575671e-03
       13418  $\mathcal{L}_{res}$        1.21492980e-03
       13449  $\mathcal{L}_{res}$        1.21309494e-03
       13937  $\mathcal{L}_{res}$        1.17677161e-03
       14054  $\mathcal{L}_{res}$        1.17038200e-03
       14104  $\mathcal{L}_{res}$        1.16804105e-03
       14248  $\mathcal{L}_{res}$        1.15950608e-03
       14384  $\mathcal{L}_{res}$        1.15385884e-03
       14588  $\mathcal{L}_{res}$        1.14494435e-03
       14644  $\mathcal{L}_{res}$        1.14246855e-03
       14646  $\mathcal{L}_{res}$        1.14238826e-03
       14671  $\mathcal{L}_{res}$        1.14114308e-03
       14691  $\mathcal{L}_{res}$        1.14082854e-03
       14778  $\mathcal{L}_{res}$        1.13637913e-03
       14783  $\mathcal{L}_{res}$        1.13622714e-03
       14930  $\mathcal{L}_{res}$        1.12725303e-03
       15486  $\mathcal{L}_{res}$        1.08344593e-03
       15505  $\mathcal{L}_{res}$        1.08224119e-03
       15649  $\mathcal{L}_{res}$        1.07204144e-03
       15737  $\mathcal{L}_{res}$        1.06532365e-03
       15750  $\mathcal{L}_{res}$        1.06510403e-03
       16124  $\mathcal{L}_{res}$        1.03805247e-03
       16746  $\mathcal{L}_{res}$        9.83595299e-04
       16988  $\mathcal{L}_{res}$        9.64508161e-04
       16991  $\mathcal{L}_{res}$        9.64471234e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        4.09776957e+01
         200  $\mathcal{L}_{bc0}$        1.12764742e+01
         400  $\mathcal{L}_{bc0}$        9.01442437e+00
         600  $\mathcal{L}_{bc0}$        7.58848300e+00
         800  $\mathcal{L}_{bc0}$        7.14759914e+00
        1000  $\mathcal{L}_{bc0}$        6.93483510e+00
        1200  $\mathcal{L}_{bc0}$        6.87318638e+00
        1400  $\mathcal{L}_{bc0}$        7.12783871e+00
        1600  $\mathcal{L}_{bc0}$        6.79842913e+00
        1800  $\mathcal{L}_{bc0}$        6.77630762e+00
        2000  $\mathcal{L}_{bc0}$        6.76615006e+00
        2200  $\mathcal{L}_{bc0}$        6.72064527e+00
        2400  $\mathcal{L}_{bc0}$        6.70206195e+00
        2600  $\mathcal{L}_{bc0}$        6.67675202e+00
        2800  $\mathcal{L}_{bc0}$        6.64817621e+00
        3000  $\mathcal{L}_{bc0}$        6.60412605e+00
        3000  $\mathcal{L}_{bc0}$        6.60412605e+00
        4000  $\mathcal{L}_{bc0}$        5.78524798e+00
