Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        6.05891867e+01
         200  $\mathcal{L}_{res}$        8.38472992e+00
         400  $\mathcal{L}_{res}$        4.11027542e+00
         600  $\mathcal{L}_{res}$        3.07919968e+00
         800  $\mathcal{L}_{res}$        1.76134740e+00
        1000  $\mathcal{L}_{res}$        1.10624960e+00
        1200  $\mathcal{L}_{res}$        7.10740244e-01
        1400  $\mathcal{L}_{res}$        5.17184994e-01
        1600  $\mathcal{L}_{res}$        4.81187314e-01
        1800  $\mathcal{L}_{res}$        4.49522460e-01
        2000  $\mathcal{L}_{res}$        3.75844759e-01
        2200  $\mathcal{L}_{res}$        3.78512502e-01
        2400  $\mathcal{L}_{res}$        3.01623173e-01
        2600  $\mathcal{L}_{res}$        2.71345118e-01
        2800  $\mathcal{L}_{res}$        2.42813488e-01
        3000  $\mathcal{L}_{res}$        2.18444515e-01
        3000  $\mathcal{L}_{res}$        9.60991867e-01
        4000  $\mathcal{L}_{res}$        6.03925349e-02
        5000  $\mathcal{L}_{res}$        2.12135410e-02
        6000  $\mathcal{L}_{res}$        1.40154046e-02
        7000  $\mathcal{L}_{res}$        1.12800562e-02
        8000  $\mathcal{L}_{res}$        9.56951046e-03
        9000  $\mathcal{L}_{res}$        8.38397642e-03
       10000  $\mathcal{L}_{res}$        7.60959080e-03
       11000  $\mathcal{L}_{res}$        6.79279112e-03
       12000  $\mathcal{L}_{res}$        6.10348899e-03
       13000  $\mathcal{L}_{res}$        5.55244011e-03
       13871  $\mathcal{L}_{res}$        5.15837294e-03
       14871  $\mathcal{L}_{res}$        4.70797508e-03
       15285  $\mathcal{L}_{res}$        4.53032158e-03
       16178  $\mathcal{L}_{res}$        4.26643673e-03
       17178  $\mathcal{L}_{res}$        3.98727071e-03
       17360  $\mathcal{L}_{res}$        3.93647062e-03
       18098  $\mathcal{L}_{res}$        3.75807488e-03
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.08985782e+02
         200  $\mathcal{L}_{bc0}$        2.49038420e+01
         400  $\mathcal{L}_{bc0}$        2.17384411e+01
         600  $\mathcal{L}_{bc0}$        2.04113614e+01
         800  $\mathcal{L}_{bc0}$        1.84778579e+01
        1000  $\mathcal{L}_{bc0}$        1.74617387e+01
        1200  $\mathcal{L}_{bc0}$        1.69312676e+01
        1400  $\mathcal{L}_{bc0}$        1.67354403e+01
        1600  $\mathcal{L}_{bc0}$        1.66343156e+01
        1800  $\mathcal{L}_{bc0}$        1.65259397e+01
        2000  $\mathcal{L}_{bc0}$        1.64490861e+01
        2200  $\mathcal{L}_{bc0}$        1.64220691e+01
        2400  $\mathcal{L}_{bc0}$        1.62962373e+01
        2600  $\mathcal{L}_{bc0}$        1.62252924e+01
        2800  $\mathcal{L}_{bc0}$        1.62026884e+01
