Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        1.26715598e+03
         200  $\mathcal{L}_{res}$        1.96662786e+01
         400  $\mathcal{L}_{res}$        1.72154249e+01
         600  $\mathcal{L}_{res}$        7.61459470e+00
         800  $\mathcal{L}_{res}$        5.65478319e+00
        1000  $\mathcal{L}_{res}$        4.75422113e+00
        1200  $\mathcal{L}_{res}$        4.07987010e+00
        1400  $\mathcal{L}_{res}$        3.55204747e+00
        1600  $\mathcal{L}_{res}$        3.25210775e+00
        1800  $\mathcal{L}_{res}$        2.74230998e+00
        2000  $\mathcal{L}_{res}$        2.64708092e+00
        2200  $\mathcal{L}_{res}$        2.35399298e+00
        2400  $\mathcal{L}_{res}$        2.14057074e+00
        2600  $\mathcal{L}_{res}$        1.87735392e+00
        2800  $\mathcal{L}_{res}$        1.77377027e+00
        3000  $\mathcal{L}_{res}$        1.88346646e+00
        3000  $\mathcal{L}_{res}$        1.71563653e+00
        4000  $\mathcal{L}_{res}$        5.80387012e-02
        5000  $\mathcal{L}_{res}$        2.19875879e-02
        6000  $\mathcal{L}_{res}$        1.26963199e-02
        7000  $\mathcal{L}_{res}$        8.50580047e-03
        8000  $\mathcal{L}_{res}$        6.24842475e-03
        9000  $\mathcal{L}_{res}$        4.89241148e-03
       10000  $\mathcal{L}_{res}$        3.77338768e-03
       11000  $\mathcal{L}_{res}$        2.84531781e-03
       12000  $\mathcal{L}_{res}$        2.24130338e-03
       13000  $\mathcal{L}_{res}$        1.78788896e-03
       14000  $\mathcal{L}_{res}$        1.36989390e-03
       14956  $\mathcal{L}_{res}$        1.06526587e-03
       15956  $\mathcal{L}_{res}$        8.59313857e-04
       16044  $\mathcal{L}_{res}$        8.45382981e-04
       16081  $\mathcal{L}_{res}$        8.42071722e-04
       16144  $\mathcal{L}_{res}$        8.36583535e-04
       16334  $\mathcal{L}_{res}$        8.12701299e-04
       16479  $\mathcal{L}_{res}$        7.89125952e-04
       16496  $\mathcal{L}_{res}$        7.87454699e-04
       16697  $\mathcal{L}_{res}$        7.62136277e-04
       16750  $\mathcal{L}_{res}$        7.54357509e-04
       16833  $\mathcal{L}_{res}$        7.42357366e-04
       16898  $\mathcal{L}_{res}$        7.33969103e-04
       17015  $\mathcal{L}_{res}$        7.19272432e-04
       17070  $\mathcal{L}_{res}$        7.12517547e-04
       17291  $\mathcal{L}_{res}$        6.89693205e-04
       17310  $\mathcal{L}_{res}$        6.88242456e-04
       17324  $\mathcal{L}_{res}$        6.87553623e-04
       17400  $\mathcal{L}_{res}$        6.78633705e-04
       17463  $\mathcal{L}_{res}$        6.70680262e-04
       17652  $\mathcal{L}_{res}$        6.53001863e-04
       17668  $\mathcal{L}_{res}$        6.51509809e-04
       17748  $\mathcal{L}_{res}$        6.43740042e-04
       18003  $\mathcal{L}_{res}$        6.17708707e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        2.80788432e+01
         200  $\mathcal{L}_{bc0}$        2.98311861e+01
         400  $\mathcal{L}_{bc0}$        1.52670278e+01
         600  $\mathcal{L}_{bc0}$        8.78356296e+00
         800  $\mathcal{L}_{bc0}$        8.30831611e+00
        1000  $\mathcal{L}_{bc0}$        8.09665889e+00
        1200  $\mathcal{L}_{bc0}$        7.92107226e+00
        1400  $\mathcal{L}_{bc0}$        7.77320912e+00
