Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        9.31109648e+00
         200  $\mathcal{L}_{res}$        2.90898112e+00
         400  $\mathcal{L}_{res}$        1.16604153e+00
         600  $\mathcal{L}_{res}$        6.11121114e-01
         800  $\mathcal{L}_{res}$        3.24259616e-01
        1000  $\mathcal{L}_{res}$        2.17571084e-01
        1200  $\mathcal{L}_{res}$        1.74812965e-01
        1400  $\mathcal{L}_{res}$        1.56652437e-01
        1600  $\mathcal{L}_{res}$        1.27396469e-01
        1800  $\mathcal{L}_{res}$        1.16384189e-01
        2000  $\mathcal{L}_{res}$        1.13111510e-01
        2200  $\mathcal{L}_{res}$        1.10784095e-01
        2400  $\mathcal{L}_{res}$        9.32141815e-02
        2600  $\mathcal{L}_{res}$        8.10022070e-02
        2800  $\mathcal{L}_{res}$        9.62101066e-02
        3000  $\mathcal{L}_{res}$        1.12239883e-01
        3000  $\mathcal{L}_{res}$        1.86959034e-01
        4000  $\mathcal{L}_{res}$        6.49377009e-03
        5000  $\mathcal{L}_{res}$        3.35842118e-03
        6000  $\mathcal{L}_{res}$        2.11973565e-03
        7000  $\mathcal{L}_{res}$        1.57311106e-03
        8000  $\mathcal{L}_{res}$        1.15887946e-03
        9000  $\mathcal{L}_{res}$        7.89180851e-04
        9525  $\mathcal{L}_{res}$        6.14232396e-04
        9619  $\mathcal{L}_{res}$        5.90846865e-04
        9630  $\mathcal{L}_{res}$        5.88663001e-04
       10630  $\mathcal{L}_{res}$        3.88330069e-04
       10742  $\mathcal{L}_{res}$        3.67713869e-04
       10774  $\mathcal{L}_{res}$        3.61684856e-04
       10857  $\mathcal{L}_{res}$        3.50671424e-04
       10921  $\mathcal{L}_{res}$        3.40942224e-04
       10940  $\mathcal{L}_{res}$        3.39833032e-04
       11074  $\mathcal{L}_{res}$        3.25461241e-04
       11099  $\mathcal{L}_{res}$        3.23338957e-04
       11110  $\mathcal{L}_{res}$        3.21997899e-04
       11162  $\mathcal{L}_{res}$        3.14594222e-04
       11279  $\mathcal{L}_{res}$        3.02137472e-04
       11422  $\mathcal{L}_{res}$        2.88214554e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        4.02150167e+01
         200  $\mathcal{L}_{bc0}$        1.06702469e+01
         400  $\mathcal{L}_{bc0}$        8.44648637e+00
         600  $\mathcal{L}_{bc0}$        7.09971388e+00
         800  $\mathcal{L}_{bc0}$        6.53225344e+00
        1000  $\mathcal{L}_{bc0}$        6.33704421e+00
        1200  $\mathcal{L}_{bc0}$        6.24441494e+00
        1400  $\mathcal{L}_{bc0}$        6.19972744e+00
        1600  $\mathcal{L}_{bc0}$        6.12837462e+00
        1800  $\mathcal{L}_{bc0}$        6.08355898e+00
        2000  $\mathcal{L}_{bc0}$        6.03591753e+00
        2200  $\mathcal{L}_{bc0}$        6.00365780e+00
        2400  $\mathcal{L}_{bc0}$        5.95091953e+00
        2600  $\mathcal{L}_{bc0}$        5.92016625e+00
        2800  $\mathcal{L}_{bc0}$        5.90195654e+00
        3000  $\mathcal{L}_{bc0}$        5.91091377e+00
        3000  $\mathcal{L}_{bc0}$        5.91091377e+00
        4000  $\mathcal{L}_{bc0}$        5.78498622e+00
        5000  $\mathcal{L}_{bc0}$        5.78487510e+00
        6000  $\mathcal{L}_{bc0}$        5.78486758e+00
        7000  $\mathcal{L}_{bc0}$        5.78484216e+00
        8000  $\mathcal{L}_{bc0}$        5.78484459e+00
        9000  $\mathcal{L}_{bc0}$        5.78484302e+00
        9525  $\mathcal{L}_{bc0}$        5.78483769e+00
        9619  $\mathcal{L}_{bc0}$        5.78483756e+00
        9630  $\mathcal{L}_{bc0}$        5.78483824e+00
       10630  $\mathcal{L}_{bc0}$        5.78483783e+00
       10742  $\mathcal{L}_{bc0}$        5.78483709e+00
       10774  $\mathcal{L}_{bc0}$        5.78483764e+00
       10857  $\mathcal{L}_{bc0}$        5.78483488e+00
       10921  $\mathcal{L}_{bc0}$        5.78483562e+00
       10940  $\mathcal{L}_{bc0}$        5.78483527e+00
       11074  $\mathcal{L}_{bc0}$        5.78483569e+00
       11099  $\mathcal{L}_{bc0}$        5.78483587e+00
       11110  $\mathcal{L}_{bc0}$        5.78483637e+00
       11162  $\mathcal{L}_{bc0}$        5.78483698e+00
       11279  $\mathcal{L}_{bc0}$        5.78483649e+00
       11422  $\mathcal{L}_{bc0}$        5.78483616e+00
--------------------------------------------------
           0     test loss        4.86337173e+01
         200     test loss        1.11328106e+01
         400     test loss        8.56007834e+00
