Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        5.38049651e+02
         200  $\mathcal{L}_{res}$        4.70167456e+00
         400  $\mathcal{L}_{res}$        3.30398141e+00
         600  $\mathcal{L}_{res}$        2.60930471e+00
         800  $\mathcal{L}_{res}$        2.04647278e+00
        1000  $\mathcal{L}_{res}$        1.65486318e+00
        1200  $\mathcal{L}_{res}$        1.28905919e+00
        1400  $\mathcal{L}_{res}$        9.46305172e-01
        1600  $\mathcal{L}_{res}$        7.36719514e-01
        1800  $\mathcal{L}_{res}$        6.09387959e-01
        2000  $\mathcal{L}_{res}$        5.45876076e-01
        2200  $\mathcal{L}_{res}$        4.59715136e-01
        2400  $\mathcal{L}_{res}$        4.17500683e-01
        2600  $\mathcal{L}_{res}$        3.62734174e-01
        2800  $\mathcal{L}_{res}$        3.52553904e-01
        3000  $\mathcal{L}_{res}$        4.14364685e-01
        3000  $\mathcal{L}_{res}$        3.54423290e-01
        4000  $\mathcal{L}_{res}$        1.19936104e-02
        5000  $\mathcal{L}_{res}$        5.63803790e-03
        6000  $\mathcal{L}_{res}$        2.39488983e-03
        7000  $\mathcal{L}_{res}$        1.28915103e-03
        8000  $\mathcal{L}_{res}$        8.61715566e-04
        8484  $\mathcal{L}_{res}$        7.20402754e-04
        9448  $\mathcal{L}_{res}$        5.34056599e-04
        9466  $\mathcal{L}_{res}$        5.31278813e-04
        9985  $\mathcal{L}_{res}$        4.18262585e-04
       10408  $\mathcal{L}_{res}$        3.71287069e-04
       10957  $\mathcal{L}_{res}$        3.22352125e-04
       11010  $\mathcal{L}_{res}$        3.20882462e-04
       11041  $\mathcal{L}_{res}$        3.16062934e-04
       11144  $\mathcal{L}_{res}$        3.08075060e-04
       11170  $\mathcal{L}_{res}$        3.06757551e-04
       11291  $\mathcal{L}_{res}$        3.00582356e-04
       11337  $\mathcal{L}_{res}$        2.97415700e-04
       11354  $\mathcal{L}_{res}$        2.97239740e-04
       11378  $\mathcal{L}_{res}$        2.96751989e-04
       11419  $\mathcal{L}_{res}$        2.94652925e-04
       11425  $\mathcal{L}_{res}$        2.94182698e-04
       11485  $\mathcal{L}_{res}$        2.89096698e-04
       11566  $\mathcal{L}_{res}$        2.84379144e-04
       11571  $\mathcal{L}_{res}$        2.84177399e-04
       11762  $\mathcal{L}_{res}$        2.65388359e-04
       11916  $\mathcal{L}_{res}$        2.53813477e-04
       11966  $\mathcal{L}_{res}$        2.47021857e-04
       12020  $\mathcal{L}_{res}$        2.42164708e-04
       12081  $\mathcal{L}_{res}$        2.39656935e-04
       12208  $\mathcal{L}_{res}$        2.35502876e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        7.77761812e-01
         200  $\mathcal{L}_{bc0}$        8.64881328e-01
         400  $\mathcal{L}_{bc0}$        8.18443192e-01
         600  $\mathcal{L}_{bc0}$        8.07611084e-01
         800  $\mathcal{L}_{bc0}$        7.36711867e-01
        1000  $\mathcal{L}_{bc0}$        4.42284821e-01
