Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        6.71443215e+01
         200  $\mathcal{L}_{res}$        4.39449918e+00
         400  $\mathcal{L}_{res}$        2.89063611e+00
         600  $\mathcal{L}_{res}$        1.95833360e+00
         800  $\mathcal{L}_{res}$        1.34731547e+00
        1000  $\mathcal{L}_{res}$        1.11264871e+00
        1200  $\mathcal{L}_{res}$        1.15513795e+00
        1400  $\mathcal{L}_{res}$        9.04152362e-01
        1600  $\mathcal{L}_{res}$        8.14450222e-01
        1800  $\mathcal{L}_{res}$        6.80192545e-01
        2000  $\mathcal{L}_{res}$        5.03626556e-01
        2200  $\mathcal{L}_{res}$        4.51177192e-01
        2400  $\mathcal{L}_{res}$        4.54668780e-01
        2600  $\mathcal{L}_{res}$        3.81952001e-01
        2800  $\mathcal{L}_{res}$        5.00487096e-01
        3000  $\mathcal{L}_{res}$        4.07954410e-01
        3000  $\mathcal{L}_{res}$        4.70683053e-01
        4000  $\mathcal{L}_{res}$        6.48587224e-03
        5000  $\mathcal{L}_{res}$        1.75592996e-03
        6000  $\mathcal{L}_{res}$        8.18149978e-04
        7000  $\mathcal{L}_{res}$        4.95334122e-04
        7139  $\mathcal{L}_{res}$        4.69992555e-04
        7683  $\mathcal{L}_{res}$        3.72410339e-04
        8683  $\mathcal{L}_{res}$        2.56583316e-04
        8845  $\mathcal{L}_{res}$        2.44752929e-04
        9066  $\mathcal{L}_{res}$        2.26119673e-04
        9197  $\mathcal{L}_{res}$        2.16979533e-04
        9202  $\mathcal{L}_{res}$        2.16684852e-04
        9215  $\mathcal{L}_{res}$        2.15945202e-04
        9278  $\mathcal{L}_{res}$        2.12066985e-04
        9468  $\mathcal{L}_{res}$        2.01852362e-04
        9476  $\mathcal{L}_{res}$        2.01628060e-04
        9486  $\mathcal{L}_{res}$        2.01191624e-04
        9499  $\mathcal{L}_{res}$        2.00754313e-04
        9506  $\mathcal{L}_{res}$        2.00522712e-04
        9509  $\mathcal{L}_{res}$        2.00393495e-04
        9554  $\mathcal{L}_{res}$        1.98431974e-04
        9588  $\mathcal{L}_{res}$        1.95690391e-04
        9649  $\mathcal{L}_{res}$        1.92836155e-04
        9753  $\mathcal{L}_{res}$        1.86812748e-04
        9772  $\mathcal{L}_{res}$        1.86249651e-04
        9793  $\mathcal{L}_{res}$        1.84586399e-04
        9813  $\mathcal{L}_{res}$        1.83791916e-04
        9845  $\mathcal{L}_{res}$        1.82557917e-04
        9870  $\mathcal{L}_{res}$        1.81446831e-04
        9876  $\mathcal{L}_{res}$        1.81457852e-04
        9887  $\mathcal{L}_{res}$        1.81250652e-04
        9895  $\mathcal{L}_{res}$        1.80975060e-04
        9943  $\mathcal{L}_{res}$        1.78668615e-04
        9972  $\mathcal{L}_{res}$        1.77574822e-04
        9993  $\mathcal{L}_{res}$        1.76630852e-04
       10017  $\mathcal{L}_{res}$        1.75075626e-04
       10028  $\mathcal{L}_{res}$        1.74534895e-04
       10235  $\mathcal{L}_{res}$        1.64480900e-04
       10252  $\mathcal{L}_{res}$        1.63661299e-04
       10317  $\mathcal{L}_{res}$        1.60203218e-04
       10327  $\mathcal{L}_{res}$        1.59981695e-04
       10482  $\mathcal{L}_{res}$        1.50480085e-04
       10509  $\mathcal{L}_{res}$        1.48862453e-04
       10542  $\mathcal{L}_{res}$        1.47813906e-04
       10661  $\mathcal{L}_{res}$        1.42427911e-04
       10687  $\mathcal{L}_{res}$        1.41277935e-04
       10700  $\mathcal{L}_{res}$        1.40968189e-04
       10702  $\mathcal{L}_{res}$        1.40964747e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        2.43812535e+01
         200  $\mathcal{L}_{bc0}$        6.55222942e+00
         400  $\mathcal{L}_{bc0}$        4.24141772e+00
         600  $\mathcal{L}_{bc0}$        3.76250268e+00
