Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        5.01397411e+01
         200  $\mathcal{L}_{res}$        5.65706250e-01
         400  $\mathcal{L}_{res}$        4.91552930e-01
         600  $\mathcal{L}_{res}$        2.88461500e-01
         800  $\mathcal{L}_{res}$        2.43378344e-01
        1000  $\mathcal{L}_{res}$        2.06613812e-01
        1200  $\mathcal{L}_{res}$        3.16065887e-01
        1400  $\mathcal{L}_{res}$        1.60259598e-01
        1600  $\mathcal{L}_{res}$        1.34330395e-01
        1800  $\mathcal{L}_{res}$        1.19153400e-01
        2000  $\mathcal{L}_{res}$        1.13236315e-01
        2200  $\mathcal{L}_{res}$        1.13945666e-01
        2400  $\mathcal{L}_{res}$        1.17096019e-01
        2600  $\mathcal{L}_{res}$        9.69524123e-02
        2800  $\mathcal{L}_{res}$        1.97156902e-01
        3000  $\mathcal{L}_{res}$        9.41257424e-02
        3000  $\mathcal{L}_{res}$        8.74496566e-02
        4000  $\mathcal{L}_{res}$        1.15955859e-02
        5000  $\mathcal{L}_{res}$        1.56514894e-03
        6000  $\mathcal{L}_{res}$        3.82045113e-04
        7000  $\mathcal{L}_{res}$        1.74829758e-04
        7137  $\mathcal{L}_{res}$        1.61418355e-04
        7145  $\mathcal{L}_{res}$        1.61336921e-04
        7149  $\mathcal{L}_{res}$        1.61228452e-04
        7285  $\mathcal{L}_{res}$        1.47479234e-04
        7375  $\mathcal{L}_{res}$        1.37581560e-04
        7438  $\mathcal{L}_{res}$        1.29798486e-04
        7450  $\mathcal{L}_{res}$        1.29314387e-04
        7452  $\mathcal{L}_{res}$        1.29259977e-04
        7454  $\mathcal{L}_{res}$        1.29227384e-04
        7497  $\mathcal{L}_{res}$        1.26072363e-04
        7500  $\mathcal{L}_{res}$        1.26010682e-04
        7830  $\mathcal{L}_{res}$        1.01583771e-04
        7870  $\mathcal{L}_{res}$        9.95492658e-05
        7911  $\mathcal{L}_{res}$        9.74519043e-05
        8010  $\mathcal{L}_{res}$        9.03358156e-05
        8022  $\mathcal{L}_{res}$        9.00178544e-05
        8039  $\mathcal{L}_{res}$        8.96703044e-05
        8080  $\mathcal{L}_{res}$        8.81045115e-05
        8093  $\mathcal{L}_{res}$        8.78334709e-05
        8109  $\mathcal{L}_{res}$        8.71387246e-05
        8181  $\mathcal{L}_{res}$        8.39329843e-05
        8185  $\mathcal{L}_{res}$        8.38393237e-05
        8207  $\mathcal{L}_{res}$        8.33592750e-05
        8239  $\mathcal{L}_{res}$        8.18342595e-05
        8308  $\mathcal{L}_{res}$        7.92726031e-05
        8366  $\mathcal{L}_{res}$        7.72470894e-05
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.56589167e+00
         200  $\mathcal{L}_{bc0}$        4.39970076e-01
         400  $\mathcal{L}_{bc0}$        4.15865020e-01
         600  $\mathcal{L}_{bc0}$        2.93563978e-01
         800  $\mathcal{L}_{bc0}$        2.45884883e-01
        1000  $\mathcal{L}_{bc0}$        1.98478903e-01
        1200  $\mathcal{L}_{bc0}$        1.69641342e-01
        1400  $\mathcal{L}_{bc0}$        1.37899121e-01
        1600  $\mathcal{L}_{bc0}$        1.25559263e-01
        1800  $\mathcal{L}_{bc0}$        1.15784599e-01
        2000  $\mathcal{L}_{bc0}$        1.14897277e-01
        2200  $\mathcal{L}_{bc0}$        1.14291359e-01
        2400  $\mathcal{L}_{bc0}$        1.11687447e-01
        2600  $\mathcal{L}_{bc0}$        1.08397903e-01
        2800  $\mathcal{L}_{bc0}$        1.08981286e-01
        3000  $\mathcal{L}_{bc0}$        9.90074031e-02
        3000  $\mathcal{L}_{bc0}$        9.90074031e-02
        4000  $\mathcal{L}_{bc0}$        6.59596501e-03
        5000  $\mathcal{L}_{bc0}$        4.94944466e-04
        6000  $\mathcal{L}_{bc0}$        1.02436716e-04
        7000  $\mathcal{L}_{bc0}$        2.03160373e-05
        7137  $\mathcal{L}_{bc0}$        1.69131817e-05
