Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        3.58910864e+01
         200  $\mathcal{L}_{res}$        4.47243776e-01
         400  $\mathcal{L}_{res}$        4.01473203e-01
         600  $\mathcal{L}_{res}$        3.02346978e-01
         800  $\mathcal{L}_{res}$        2.35271657e-01
        1000  $\mathcal{L}_{res}$        2.05765777e-01
        1200  $\mathcal{L}_{res}$        1.82986516e-01
        1400  $\mathcal{L}_{res}$        1.70155506e-01
        1600  $\mathcal{L}_{res}$        1.53983410e-01
        1800  $\mathcal{L}_{res}$        2.89361530e-01
        2000  $\mathcal{L}_{res}$        1.44110297e-01
        2200  $\mathcal{L}_{res}$        1.32249591e-01
        2400  $\mathcal{L}_{res}$        1.23352327e-01
        2600  $\mathcal{L}_{res}$        1.05603219e-01
        2800  $\mathcal{L}_{res}$        9.60406050e-02
        3000  $\mathcal{L}_{res}$        9.58635811e-02
        3000  $\mathcal{L}_{res}$        8.96973340e-02
        4000  $\mathcal{L}_{res}$        2.26700421e-03
        5000  $\mathcal{L}_{res}$        9.64717107e-04
        6000  $\mathcal{L}_{res}$        4.98242843e-04
        7000  $\mathcal{L}_{res}$        2.80736237e-04
        7475  $\mathcal{L}_{res}$        2.32485596e-04
        7811  $\mathcal{L}_{res}$        2.17859566e-04
        7993  $\mathcal{L}_{res}$        2.14387698e-04
        8033  $\mathcal{L}_{res}$        2.15784786e-04
        8072  $\mathcal{L}_{res}$        2.10476715e-04
        8196  $\mathcal{L}_{res}$        2.05511628e-04
        8203  $\mathcal{L}_{res}$        2.04759920e-04
        8386  $\mathcal{L}_{res}$        2.07697373e-04
        8725  $\mathcal{L}_{res}$        1.91900180e-04
        8947  $\mathcal{L}_{res}$        1.76873520e-04
        9299  $\mathcal{L}_{res}$        1.53617645e-04
        9373  $\mathcal{L}_{res}$        1.44888391e-04
        9427  $\mathcal{L}_{res}$        1.43294241e-04
        9679  $\mathcal{L}_{res}$        1.29889240e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        6.25964323e-01
         200  $\mathcal{L}_{bc0}$        4.87011059e-01
         400  $\mathcal{L}_{bc0}$        4.61582677e-01
         600  $\mathcal{L}_{bc0}$        4.05783226e-01
         800  $\mathcal{L}_{bc0}$        3.04858014e-01
        1000  $\mathcal{L}_{bc0}$        2.86916541e-01
