Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        2.07742928e+02
         200  $\mathcal{L}_{res}$        6.72720092e+00
         400  $\mathcal{L}_{res}$        3.68222397e+00
         600  $\mathcal{L}_{res}$        2.57037561e+00
         800  $\mathcal{L}_{res}$        1.73498647e+00
        1000  $\mathcal{L}_{res}$        1.53096749e+00
        1200  $\mathcal{L}_{res}$        1.40673746e+00
        1400  $\mathcal{L}_{res}$        1.11713429e+00
        1600  $\mathcal{L}_{res}$        8.70679790e-01
        1800  $\mathcal{L}_{res}$        9.52855122e-01
        2000  $\mathcal{L}_{res}$        8.94018963e-01
        2200  $\mathcal{L}_{res}$        6.63595391e-01
        2400  $\mathcal{L}_{res}$        6.65110715e-01
        2600  $\mathcal{L}_{res}$        6.59490532e-01
        2800  $\mathcal{L}_{res}$        4.72968536e-01
        3000  $\mathcal{L}_{res}$        6.45593506e-01
        3000  $\mathcal{L}_{res}$        2.13553902e+00
        4000  $\mathcal{L}_{res}$        2.81076432e-02
        5000  $\mathcal{L}_{res}$        1.34318242e-02
        6000  $\mathcal{L}_{res}$        7.51158673e-03
        7000  $\mathcal{L}_{res}$        3.88023455e-03
        8000  $\mathcal{L}_{res}$        2.62192370e-03
        9000  $\mathcal{L}_{res}$        1.88728114e-03
       10000  $\mathcal{L}_{res}$        1.41702729e-03
       10487  $\mathcal{L}_{res}$        1.28413508e-03
       10971  $\mathcal{L}_{res}$        1.14630482e-03
       11400  $\mathcal{L}_{res}$        1.05590891e-03
       11461  $\mathcal{L}_{res}$        1.04636074e-03
       12298  $\mathcal{L}_{res}$        8.86860291e-04
       12864  $\mathcal{L}_{res}$        7.91165525e-04
       13047  $\mathcal{L}_{res}$        7.66122821e-04
       13174  $\mathcal{L}_{res}$        7.39317643e-04
       13235  $\mathcal{L}_{res}$        7.32598785e-04
       13237  $\mathcal{L}_{res}$        7.32498052e-04
       13344  $\mathcal{L}_{res}$        7.24227551e-04
       13350  $\mathcal{L}_{res}$        7.23843251e-04
       13398  $\mathcal{L}_{res}$        7.20414337e-04
       13404  $\mathcal{L}_{res}$        7.20372396e-04
       13419  $\mathcal{L}_{res}$        7.19668836e-04
       13446  $\mathcal{L}_{res}$        7.18395470e-04
       13503  $\mathcal{L}_{res}$        7.10851204e-04
       13512  $\mathcal{L}_{res}$        7.10222226e-04
       13549  $\mathcal{L}_{res}$        7.07954190e-04
       13568  $\mathcal{L}_{res}$        7.06702926e-04
       13578  $\mathcal{L}_{res}$        7.05803432e-04
       13621  $\mathcal{L}_{res}$        7.03261223e-04
       13638  $\mathcal{L}_{res}$        7.01256668e-04
       13667  $\mathcal{L}_{res}$        6.98842477e-04
       13731  $\mathcal{L}_{res}$        6.95042493e-04
       13757  $\mathcal{L}_{res}$        6.93333669e-04
       13759  $\mathcal{L}_{res}$        6.93176418e-04
       13813  $\mathcal{L}_{res}$        6.87326800e-04
       13839  $\mathcal{L}_{res}$        6.85676984e-04
       13886  $\mathcal{L}_{res}$        6.82407084e-04
       13908  $\mathcal{L}_{res}$        6.80523691e-04
       13919  $\mathcal{L}_{res}$        6.79601954e-04
       13966  $\mathcal{L}_{res}$        6.75578831e-04
       14051  $\mathcal{L}_{res}$        6.66030174e-04
       14146  $\mathcal{L}_{res}$        6.56291297e-04
       14152  $\mathcal{L}_{res}$        6.55529371e-04
       14244  $\mathcal{L}_{res}$        6.48973678e-04
       14295  $\mathcal{L}_{res}$        6.45216394e-04
       14299  $\mathcal{L}_{res}$        6.44897518e-04
       14412  $\mathcal{L}_{res}$        6.31958019e-04
       14542  $\mathcal{L}_{res}$        6.14797738e-04
       14582  $\mathcal{L}_{res}$        6.11137986e-04
       14623  $\mathcal{L}_{res}$        6.09138227e-04
       14652  $\mathcal{L}_{res}$        6.06568072e-04
       14702  $\mathcal{L}_{res}$        6.04110761e-04
       14722  $\mathcal{L}_{res}$        6.03476133e-04
       14760  $\mathcal{L}_{res}$        5.99653124e-04
       14837  $\mathcal{L}_{res}$        5.87518930e-04
       14858  $\mathcal{L}_{res}$        5.85529229e-04
       14889  $\mathcal{L}_{res}$        5.81410651e-04
       14901  $\mathcal{L}_{res}$        5.80959730e-04
       14975  $\mathcal{L}_{res}$        5.74188398e-04
       15045  $\mathcal{L}_{res}$        5.70646493e-04
       15088  $\mathcal{L}_{res}$        5.68961278e-04
       15120  $\mathcal{L}_{res}$        5.67690755e-04
       15123  $\mathcal{L}_{res}$        5.67688165e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.89991513e+01
         200  $\mathcal{L}_{bc0}$        5.38166241e+00
         400  $\mathcal{L}_{bc0}$        3.82124146e+00
         600  $\mathcal{L}_{bc0}$        3.42166725e+00
         800  $\mathcal{L}_{bc0}$        2.62186633e+00
        1000  $\mathcal{L}_{bc0}$        2.07569348e+00
        1200  $\mathcal{L}_{bc0}$        1.60055493e+00
        1400  $\mathcal{L}_{bc0}$        1.25028109e+00
        1600  $\mathcal{L}_{bc0}$        9.95596479e-01
        1800  $\mathcal{L}_{bc0}$        1.00050417e+00
        2000  $\mathcal{L}_{bc0}$        9.81970286e-01
        2200  $\mathcal{L}_{bc0}$        6.54527186e-01
        2400  $\mathcal{L}_{bc0}$        7.64729015e-01
        2600  $\mathcal{L}_{bc0}$        5.71540147e-01
        2800  $\mathcal{L}_{bc0}$        4.35935190e-01
        3000  $\mathcal{L}_{bc0}$        5.94680397e-01
        3000  $\mathcal{L}_{bc0}$        5.94680397e-01
        4000  $\mathcal{L}_{bc0}$        1.95531234e-03
        5000  $\mathcal{L}_{bc0}$        2.69598994e-04
        6000  $\mathcal{L}_{bc0}$        1.86190748e-04
        7000  $\mathcal{L}_{bc0}$        2.17378071e-04
        8000  $\mathcal{L}_{bc0}$        1.16902964e-04
        9000  $\mathcal{L}_{bc0}$        1.14258674e-04
       10000  $\mathcal{L}_{bc0}$        7.38876928e-05
       10487  $\mathcal{L}_{bc0}$        5.04716037e-05
       10971  $\mathcal{L}_{bc0}$        4.93589099e-05
       11400  $\mathcal{L}_{bc0}$        3.87958778e-05
       11461  $\mathcal{L}_{bc0}$        3.78402769e-05
       12298  $\mathcal{L}_{bc0}$        2.86644474e-05
       12864  $\mathcal{L}_{bc0}$        2.69875050e-05
       13047  $\mathcal{L}_{bc0}$        2.70811089e-05
       13174  $\mathcal{L}_{bc0}$        2.72225653e-05
       13235  $\mathcal{L}_{bc0}$        2.63065082e-05
       13237  $\mathcal{L}_{bc0}$        2.63501825e-05
       13344  $\mathcal{L}_{bc0}$        2.55144497e-05
       13350  $\mathcal{L}_{bc0}$        2.55556854e-05
       13398  $\mathcal{L}_{bc0}$        2.53335924e-05
       13404  $\mathcal{L}_{bc0}$        2.52744701e-05
       13419  $\mathcal{L}_{bc0}$        2.53719736e-05
       13446  $\mathcal{L}_{bc0}$        2.51619108e-05
       13503  $\mathcal{L}_{bc0}$        2.48015201e-05
       13512  $\mathcal{L}_{bc0}$        2.48716668e-05
       13549  $\mathcal{L}_{bc0}$        2.46342059e-05
       13568  $\mathcal{L}_{bc0}$        2.46309070e-05
       13578  $\mathcal{L}_{bc0}$        2.50054068e-05
       13621  $\mathcal{L}_{bc0}$        2.54121623e-05
       13638  $\mathcal{L}_{bc0}$        2.53962695e-05
       13667  $\mathcal{L}_{bc0}$        2.57172023e-05
       13731  $\mathcal{L}_{bc0}$        2.57447820e-05
