Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        1.60268041e+01
         200  $\mathcal{L}_{res}$        4.76569056e-01
         400  $\mathcal{L}_{res}$        3.34570396e-01
         600  $\mathcal{L}_{res}$        1.83786146e-01
         800  $\mathcal{L}_{res}$        1.33843217e-01
        1000  $\mathcal{L}_{res}$        1.20989928e-01
        1200  $\mathcal{L}_{res}$        1.00576826e-01
        1400  $\mathcal{L}_{res}$        8.26022122e-02
        1600  $\mathcal{L}_{res}$        8.14898726e-02
        1800  $\mathcal{L}_{res}$        6.81372703e-02
        2000  $\mathcal{L}_{res}$        6.64180134e-02
        2200  $\mathcal{L}_{res}$        5.48209764e-02
        2400  $\mathcal{L}_{res}$        5.13539565e-02
        2600  $\mathcal{L}_{res}$        4.10706822e-02
        2800  $\mathcal{L}_{res}$        3.57207444e-02
        3000  $\mathcal{L}_{res}$        3.68592148e-02
        3000  $\mathcal{L}_{res}$        4.10019363e-02
        4000  $\mathcal{L}_{res}$        8.19907941e-04
        4742  $\mathcal{L}_{res}$        3.08637221e-04
        4908  $\mathcal{L}_{res}$        2.63012076e-04
        5121  $\mathcal{L}_{res}$        2.16956603e-04
        5156  $\mathcal{L}_{res}$        2.13508648e-04
        5417  $\mathcal{L}_{res}$        1.83897909e-04
        5438  $\mathcal{L}_{res}$        1.82128943e-04
        5499  $\mathcal{L}_{res}$        1.75192087e-04
        5557  $\mathcal{L}_{res}$        1.71035785e-04
        5573  $\mathcal{L}_{res}$        1.70573156e-04
        5588  $\mathcal{L}_{res}$        1.70144315e-04
        5708  $\mathcal{L}_{res}$        1.60742305e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        2.88548941e-01
         200  $\mathcal{L}_{bc0}$        4.19187599e-01
         400  $\mathcal{L}_{bc0}$        3.14294285e-01
         600  $\mathcal{L}_{bc0}$        1.82738073e-01
         800  $\mathcal{L}_{bc0}$        1.59692073e-01
        1000  $\mathcal{L}_{bc0}$        1.43125834e-01
        1200  $\mathcal{L}_{bc0}$        1.31535221e-01
        1400  $\mathcal{L}_{bc0}$        1.29962033e-01
        1600  $\mathcal{L}_{bc0}$        1.22035916e-01
        1800  $\mathcal{L}_{bc0}$        1.16765513e-01
        2000  $\mathcal{L}_{bc0}$        1.14633922e-01
        2200  $\mathcal{L}_{bc0}$        1.08385629e-01
        2400  $\mathcal{L}_{bc0}$        1.03413581e-01
        2600  $\mathcal{L}_{bc0}$        9.61807252e-02
        2800  $\mathcal{L}_{bc0}$        9.17435547e-02
        3000  $\mathcal{L}_{bc0}$        7.92317202e-02
        3000  $\mathcal{L}_{bc0}$        7.92317202e-02
        4000  $\mathcal{L}_{bc0}$        9.98283585e-05
        4742  $\mathcal{L}_{bc0}$        3.39254501e-05
        4908  $\mathcal{L}_{bc0}$        2.64032068e-05
        5121  $\mathcal{L}_{bc0}$        2.53623505e-05
        5156  $\mathcal{L}_{bc0}$        2.56284271e-05
        5417  $\mathcal{L}_{bc0}$        2.13451692e-05
        5438  $\mathcal{L}_{bc0}$        2.12583452e-05
        5499  $\mathcal{L}_{bc0}$        2.09138284e-05
        5557  $\mathcal{L}_{bc0}$        2.03033081e-05
        5573  $\mathcal{L}_{bc0}$        2.00929915e-05
        5588  $\mathcal{L}_{bc0}$        1.98040203e-05
        5708  $\mathcal{L}_{bc0}$        1.83374487e-05
--------------------------------------------------
           0     test loss        1.50281776e+01
         200     test loss        5.73407377e-01
         400     test loss        3.95945619e-01
         600     test loss        2.20570897e-01
         800     test loss        1.94023145e-01
        1000     test loss        1.69791914e-01
        1200     test loss        1.54541689e-01
        1400     test loss        1.52039506e-01
        1600     test loss        1.50472385e-01
        1800     test loss        1.33639028e-01
        2000     test loss        1.28839025e-01
        2200     test loss        1.20148384e-01
        2400     test loss        1.14662692e-01
        2600     test loss        1.06139581e-01
        2800     test loss        9.88424666e-02
        3000     test loss        8.50512984e-02
        3000     test loss        8.50512984e-02
        4000     test loss        3.33228831e-04
        4742     test loss        1.46943058e-04
        4908     test loss        1.28916410e-04
        5121     test loss        9.88247098e-05
        5156     test loss        9.60150942e-05
        5417     test loss        8.10570066e-05
        5438     test loss        8.33344782e-05
        5499     test loss        7.87618649e-05
        5557     test loss        8.13611578e-05
        5573     test loss        7.97412912e-05
        5588     test loss        7.69115376e-05
        5708     test loss        7.13208852e-05
--------------------------------------------------
           0    train loss        1.63153531e+01
         200    train loss        8.95756654e-01
         400    train loss        6.48864681e-01
         600    train loss        3.66524219e-01
         800    train loss        2.93535289e-01
        1000    train loss        2.64115762e-01
        1200    train loss        2.32112047e-01
        1400    train loss        2.12564245e-01
        1600    train loss        2.03525788e-01
        1800    train loss        1.84902784e-01
        2000    train loss        1.81051935e-01
        2200    train loss        1.63206605e-01
        2400    train loss        1.54767538e-01
        2600    train loss        1.37251407e-01
        2800    train loss        1.27464299e-01
        3000    train loss        1.16090935e-01
        3000    train loss        1.20233656e-01
        4000    train loss        9.19736300e-04
        4742    train loss        3.42562671e-04
        4908    train loss        2.89415282e-04
        5121    train loss        2.42318954e-04
        5156    train loss        2.39137075e-04
        5417    train loss        2.05243078e-04
        5438    train loss        2.03387288e-04
        5499    train loss        1.96105916e-04
        5557    train loss        1.91339093e-04
        5573    train loss        1.90666148e-04
        5588    train loss        1.89948336e-04
        5708    train loss        1.79079754e-04
--------------------------------------------------
