Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        1.61735576e+01
         200  $\mathcal{L}_{res}$        2.09728764e-01
         400  $\mathcal{L}_{res}$        1.94997977e-01
         600  $\mathcal{L}_{res}$        1.81192979e-01
         800  $\mathcal{L}_{res}$        1.72064859e-01
        1000  $\mathcal{L}_{res}$        1.45453525e-01
        1200  $\mathcal{L}_{res}$        1.30576398e-01
        1400  $\mathcal{L}_{res}$        1.19174044e-01
        1600  $\mathcal{L}_{res}$        9.87995850e-02
        1800  $\mathcal{L}_{res}$        1.34865350e-01
        2000  $\mathcal{L}_{res}$        7.76276100e-02
        2200  $\mathcal{L}_{res}$        7.31600776e-02
        2400  $\mathcal{L}_{res}$        6.77860738e-02
        2600  $\mathcal{L}_{res}$        6.19548558e-02
        2800  $\mathcal{L}_{res}$        5.84438555e-02
        3000  $\mathcal{L}_{res}$        5.78141184e-02
        3000  $\mathcal{L}_{res}$        5.26550428e-02
        4000  $\mathcal{L}_{res}$        3.64465866e-03
        5000  $\mathcal{L}_{res}$        1.22649105e-03
        6000  $\mathcal{L}_{res}$        4.20110718e-04
        6554  $\mathcal{L}_{res}$        2.25542282e-04
        6670  $\mathcal{L}_{res}$        2.01751840e-04
        7034  $\mathcal{L}_{res}$        1.69684644e-04
        7057  $\mathcal{L}_{res}$        1.68110199e-04
        7167  $\mathcal{L}_{res}$        1.60637021e-04
        7275  $\mathcal{L}_{res}$        1.53349907e-04
        7562  $\mathcal{L}_{res}$        1.34079419e-04
        7580  $\mathcal{L}_{res}$        1.33253393e-04
        7661  $\mathcal{L}_{res}$        1.29181305e-04
        7678  $\mathcal{L}_{res}$        1.28836302e-04
        7681  $\mathcal{L}_{res}$        1.28742858e-04
        7713  $\mathcal{L}_{res}$        1.27116334e-04
        7768  $\mathcal{L}_{res}$        1.24608603e-04
        7790  $\mathcal{L}_{res}$        1.23572258e-04
        7855  $\mathcal{L}_{res}$        1.20824414e-04
        7972  $\mathcal{L}_{res}$        1.15425336e-04
        7991  $\mathcal{L}_{res}$        1.14923896e-04
        8008  $\mathcal{L}_{res}$        1.14175624e-04
        8155  $\mathcal{L}_{res}$        1.06188256e-04
        8254  $\mathcal{L}_{res}$        1.01458254e-04
        8296  $\mathcal{L}_{res}$        9.98317724e-05
        8336  $\mathcal{L}_{res}$        9.84202481e-05
        8387  $\mathcal{L}_{res}$        9.53387570e-05
        8451  $\mathcal{L}_{res}$        9.18938248e-05
        8454  $\mathcal{L}_{res}$        9.17703051e-05
        8469  $\mathcal{L}_{res}$        9.08730732e-05
        8490  $\mathcal{L}_{res}$        9.00964500e-05
        8498  $\mathcal{L}_{res}$        8.99050287e-05
        8508  $\mathcal{L}_{res}$        8.96344555e-05
