Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        7.85430837e+03
         200  $\mathcal{L}_{res}$        1.35840603e+02
         400  $\mathcal{L}_{res}$        4.73155993e+01
         600  $\mathcal{L}_{res}$        3.44557460e+01
         800  $\mathcal{L}_{res}$        2.77366468e+01
        1000  $\mathcal{L}_{res}$        2.52861597e+01
        1200  $\mathcal{L}_{res}$        2.27036449e+01
        1400  $\mathcal{L}_{res}$        2.26216671e+01
        1600  $\mathcal{L}_{res}$        1.89506471e+01
        1800  $\mathcal{L}_{res}$        2.01523822e+01
        2000  $\mathcal{L}_{res}$        3.13069061e+01
        2200  $\mathcal{L}_{res}$        1.59003800e+01
        2400  $\mathcal{L}_{res}$        1.46071791e+01
        2600  $\mathcal{L}_{res}$        1.35751753e+01
        2800  $\mathcal{L}_{res}$        1.30792418e+01
        3000  $\mathcal{L}_{res}$        1.21713305e+01
        3000  $\mathcal{L}_{res}$        1.28317161e+01
        4000  $\mathcal{L}_{res}$        1.32707578e-01
        5000  $\mathcal{L}_{res}$        4.32791876e-02
        6000  $\mathcal{L}_{res}$        2.32496198e-02
        7000  $\mathcal{L}_{res}$        1.36760098e-02
        8000  $\mathcal{L}_{res}$        1.06690952e-02
        9000  $\mathcal{L}_{res}$        1.08417375e-02
       10000  $\mathcal{L}_{res}$        8.67827969e-03
       11000  $\mathcal{L}_{res}$        7.16847124e-03
       12000  $\mathcal{L}_{res}$        6.02502197e-03
       13000  $\mathcal{L}_{res}$        5.18119529e-03
       14000  $\mathcal{L}_{res}$        4.48513770e-03
       15000  $\mathcal{L}_{res}$        4.10382745e-03
       16000  $\mathcal{L}_{res}$        3.33987231e-03
       17000  $\mathcal{L}_{res}$        2.77484999e-03
       18000  $\mathcal{L}_{res}$        2.38580528e-03
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        4.73477596e-01
         200  $\mathcal{L}_{bc0}$        1.42781799e+00
         400  $\mathcal{L}_{bc0}$        1.34289622e+00
         600  $\mathcal{L}_{bc0}$        1.43599462e+00
         800  $\mathcal{L}_{bc0}$        1.50751042e+00
        1000  $\mathcal{L}_{bc0}$        1.58987200e+00
        1200  $\mathcal{L}_{bc0}$        1.68128146e+00
        1400  $\mathcal{L}_{bc0}$        1.95907170e+00
        1600  $\mathcal{L}_{bc0}$        1.87121284e+00
        1800  $\mathcal{L}_{bc0}$        2.09998564e+00
        2000  $\mathcal{L}_{bc0}$        2.50561534e+00
        2200  $\mathcal{L}_{bc0}$        1.98354952e+00
        2400  $\mathcal{L}_{bc0}$        1.96211494e+00
        2600  $\mathcal{L}_{bc0}$        1.94308621e+00
        2800  $\mathcal{L}_{bc0}$        1.87528672e+00
        3000  $\mathcal{L}_{bc0}$        1.78580293e+00
        3000  $\mathcal{L}_{bc0}$        1.78580293e+00
        4000  $\mathcal{L}_{bc0}$        4.39720299e-02
        5000  $\mathcal{L}_{bc0}$        3.74619390e-02
        6000  $\mathcal{L}_{bc0}$        3.04101944e-02
        7000  $\mathcal{L}_{bc0}$        2.69897811e-02
        8000  $\mathcal{L}_{bc0}$        2.20227285e-02
        9000  $\mathcal{L}_{bc0}$        1.56344372e-02
       10000  $\mathcal{L}_{bc0}$        1.19906442e-02
       11000  $\mathcal{L}_{bc0}$        1.09841290e-02
       12000  $\mathcal{L}_{bc0}$        9.65410750e-03
       13000  $\mathcal{L}_{bc0}$        8.39177455e-03
       14000  $\mathcal{L}_{bc0}$        7.10781650e-03
       15000  $\mathcal{L}_{bc0}$        5.33552288e-03
