Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        2.65892706e+02
         200  $\mathcal{L}_{res}$        2.67688169e+00
         400  $\mathcal{L}_{res}$        1.80378884e+00
         600  $\mathcal{L}_{res}$        1.54821582e+00
         800  $\mathcal{L}_{res}$        1.31131576e+00
        1000  $\mathcal{L}_{res}$        1.14818691e+00
        1200  $\mathcal{L}_{res}$        8.98061958e-01
        1400  $\mathcal{L}_{res}$        6.21729970e-01
        1600  $\mathcal{L}_{res}$        5.13138424e-01
        1800  $\mathcal{L}_{res}$        3.69003566e-01
        2000  $\mathcal{L}_{res}$        3.17021947e-01
        2200  $\mathcal{L}_{res}$        2.31612144e-01
        2400  $\mathcal{L}_{res}$        2.10234204e-01
        2600  $\mathcal{L}_{res}$        2.07640594e-01
        2800  $\mathcal{L}_{res}$        1.71874391e-01
        3000  $\mathcal{L}_{res}$        1.59813006e-01
        3000  $\mathcal{L}_{res}$        1.56512113e-01
        4000  $\mathcal{L}_{res}$        1.54352146e-02
        5000  $\mathcal{L}_{res}$        2.17505249e-03
        6000  $\mathcal{L}_{res}$        9.92104983e-04
        7000  $\mathcal{L}_{res}$        6.50939641e-04
        8000  $\mathcal{L}_{res}$        5.24702901e-04
        9000  $\mathcal{L}_{res}$        3.24948225e-04
        9009  $\mathcal{L}_{res}$        3.23564250e-04
        9461  $\mathcal{L}_{res}$        2.46758224e-04
        9466  $\mathcal{L}_{res}$        2.46371341e-04
        9590  $\mathcal{L}_{res}$        2.30920808e-04
        9991  $\mathcal{L}_{res}$        1.85351061e-04
       10005  $\mathcal{L}_{res}$        1.84088100e-04
       10030  $\mathcal{L}_{res}$        1.82123408e-04
       10050  $\mathcal{L}_{res}$        1.80046349e-04
       10089  $\mathcal{L}_{res}$        1.77508328e-04
       10142  $\mathcal{L}_{res}$        1.74042898e-04
       10155  $\mathcal{L}_{res}$        1.73440223e-04
       10164  $\mathcal{L}_{res}$        1.73170762e-04
       10184  $\mathcal{L}_{res}$        1.71628790e-04
       10235  $\mathcal{L}_{res}$        1.68638387e-04
       10304  $\mathcal{L}_{res}$        1.65668207e-04
       10313  $\mathcal{L}_{res}$        1.65674230e-04
       10323  $\mathcal{L}_{res}$        1.65239554e-04
       10337  $\mathcal{L}_{res}$        1.64813943e-04
       10374  $\mathcal{L}_{res}$        1.63626516e-04
       10431  $\mathcal{L}_{res}$        1.60182626e-04
       10469  $\mathcal{L}_{res}$        1.59436969e-04
       10500  $\mathcal{L}_{res}$        1.57670397e-04
       10512  $\mathcal{L}_{res}$        1.57120903e-04
       10632  $\mathcal{L}_{res}$        1.52149363e-04
       10637  $\mathcal{L}_{res}$        1.52052158e-04
       10656  $\mathcal{L}_{res}$        1.51630758e-04
       10675  $\mathcal{L}_{res}$        1.51449867e-04
       10723  $\mathcal{L}_{res}$        1.48877606e-04
       10754  $\mathcal{L}_{res}$        1.48265465e-04
       10774  $\mathcal{L}_{res}$        1.46792665e-04
       10837  $\mathcal{L}_{res}$        1.41508708e-04
       10856  $\mathcal{L}_{res}$        1.40353804e-04
       10869  $\mathcal{L}_{res}$        1.39665229e-04
       10937  $\mathcal{L}_{res}$        1.34532919e-04
       10939  $\mathcal{L}_{res}$        1.34443117e-04
       10960  $\mathcal{L}_{res}$        1.33918124e-04
       10988  $\mathcal{L}_{res}$        1.33534020e-04
       11003  $\mathcal{L}_{res}$        1.33570380e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.37762567e+00
         200  $\mathcal{L}_{bc0}$        4.92110903e-01
         400  $\mathcal{L}_{bc0}$        4.78547382e-01
         600  $\mathcal{L}_{bc0}$        5.07537697e-01
         800  $\mathcal{L}_{bc0}$        5.25697359e-01
        1000  $\mathcal{L}_{bc0}$        5.26159330e-01
        1200  $\mathcal{L}_{bc0}$        4.85097577e-01
        1400  $\mathcal{L}_{bc0}$        3.11759033e-01
        1600  $\mathcal{L}_{bc0}$        2.38059858e-01
        1800  $\mathcal{L}_{bc0}$        2.00575653e-01
        2000  $\mathcal{L}_{bc0}$        1.86832748e-01
        2200  $\mathcal{L}_{bc0}$        1.72913767e-01
        2400  $\mathcal{L}_{bc0}$        1.66109676e-01
        2600  $\mathcal{L}_{bc0}$        1.61341022e-01
        2800  $\mathcal{L}_{bc0}$        1.61934903e-01
        3000  $\mathcal{L}_{bc0}$        1.59185620e-01
        3000  $\mathcal{L}_{bc0}$        1.59185620e-01
        4000  $\mathcal{L}_{bc0}$        1.61098987e-02
        5000  $\mathcal{L}_{bc0}$        1.58051507e-03
        6000  $\mathcal{L}_{bc0}$        1.07638236e-03
        7000  $\mathcal{L}_{bc0}$        7.64332563e-04
        8000  $\mathcal{L}_{bc0}$        3.43538420e-04
        9000  $\mathcal{L}_{bc0}$        4.87525240e-05
        9009  $\mathcal{L}_{bc0}$        4.84484253e-05
        9461  $\mathcal{L}_{bc0}$        3.74198843e-05
        9466  $\mathcal{L}_{bc0}$        3.74529503e-05
        9590  $\mathcal{L}_{bc0}$        3.89557336e-05
        9991  $\mathcal{L}_{bc0}$        4.05624641e-05
       10005  $\mathcal{L}_{bc0}$        4.06773952e-05
       10030  $\mathcal{L}_{bc0}$        4.04693120e-05
       10050  $\mathcal{L}_{bc0}$        4.06457548e-05
       10089  $\mathcal{L}_{bc0}$        4.01648287e-05
       10142  $\mathcal{L}_{bc0}$        4.03010811e-05
       10155  $\mathcal{L}_{bc0}$        4.02336148e-05
       10164  $\mathcal{L}_{bc0}$        4.00665775e-05
       10184  $\mathcal{L}_{bc0}$        3.97413068e-05
       10235  $\mathcal{L}_{bc0}$        3.80525978e-05
       10304  $\mathcal{L}_{bc0}$        3.68146019e-05
       10313  $\mathcal{L}_{bc0}$        3.65809436e-05
       10323  $\mathcal{L}_{bc0}$        3.67491478e-05
       10337  $\mathcal{L}_{bc0}$        3.61062035e-05
       10374  $\mathcal{L}_{bc0}$        3.50011421e-05
       10431  $\mathcal{L}_{bc0}$        3.43382280e-05
