Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        1.51767154e+02
         200  $\mathcal{L}_{res}$        1.79089661e+00
         400  $\mathcal{L}_{res}$        1.45770305e+00
         600  $\mathcal{L}_{res}$        1.28424490e+00
         800  $\mathcal{L}_{res}$        1.09138013e+00
        1000  $\mathcal{L}_{res}$        8.53146742e-01
        1200  $\mathcal{L}_{res}$        5.20886939e-01
        1400  $\mathcal{L}_{res}$        4.30802756e-01
        1600  $\mathcal{L}_{res}$        2.97178668e-01
        1800  $\mathcal{L}_{res}$        2.50426710e-01
        2000  $\mathcal{L}_{res}$        2.20571255e-01
        2200  $\mathcal{L}_{res}$        2.15297050e-01
        2400  $\mathcal{L}_{res}$        2.02025442e-01
        2600  $\mathcal{L}_{res}$        1.51038015e-01
        2800  $\mathcal{L}_{res}$        1.36468094e-01
        3000  $\mathcal{L}_{res}$        1.85444235e-01
        3000  $\mathcal{L}_{res}$        1.47675682e-01
        4000  $\mathcal{L}_{res}$        9.62970587e-03
        5000  $\mathcal{L}_{res}$        1.19384217e-03
        6000  $\mathcal{L}_{res}$        4.02100959e-04
        6298  $\mathcal{L}_{res}$        3.22062492e-04
        6950  $\mathcal{L}_{res}$        2.22627082e-04
        7038  $\mathcal{L}_{res}$        2.15037052e-04
        7187  $\mathcal{L}_{res}$        1.97955635e-04
        7270  $\mathcal{L}_{res}$        1.91046975e-04
        7828  $\mathcal{L}_{res}$        1.45719691e-04
        7869  $\mathcal{L}_{res}$        1.43844603e-04
        8005  $\mathcal{L}_{res}$        1.36324806e-04
        8037  $\mathcal{L}_{res}$        1.33842235e-04
        8158  $\mathcal{L}_{res}$        1.26948172e-04
        8189  $\mathcal{L}_{res}$        1.24957538e-04
        8256  $\mathcal{L}_{res}$        1.22119717e-04
        8325  $\mathcal{L}_{res}$        1.18051288e-04
        8339  $\mathcal{L}_{res}$        1.17349164e-04
        8354  $\mathcal{L}_{res}$        1.16705195e-04
        8468  $\mathcal{L}_{res}$        1.09469653e-04
        8505  $\mathcal{L}_{res}$        1.08300811e-04
        8523  $\mathcal{L}_{res}$        1.07773016e-04
        8534  $\mathcal{L}_{res}$        1.07172272e-04
        8536  $\mathcal{L}_{res}$        1.07098134e-04
        8552  $\mathcal{L}_{res}$        1.06137909e-04
        8642  $\mathcal{L}_{res}$        1.00540700e-04
        8749  $\mathcal{L}_{res}$        9.62184912e-05
        8771  $\mathcal{L}_{res}$        9.54095018e-05
        8861  $\mathcal{L}_{res}$        9.20192548e-05
        8964  $\mathcal{L}_{res}$        8.83701312e-05
        8968  $\mathcal{L}_{res}$        8.84473027e-05
        8979  $\mathcal{L}_{res}$        8.81494980e-05
        9012  $\mathcal{L}_{res}$        8.72456336e-05
        9028  $\mathcal{L}_{res}$        8.67245583e-05
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        7.11320053e-01
         200  $\mathcal{L}_{bc0}$        5.25714198e-01
         400  $\mathcal{L}_{bc0}$        4.93351689e-01
         600  $\mathcal{L}_{bc0}$        5.02858269e-01
         800  $\mathcal{L}_{bc0}$        5.07364766e-01
        1000  $\mathcal{L}_{bc0}$        4.70820424e-01
        1200  $\mathcal{L}_{bc0}$        2.45715732e-01
        1400  $\mathcal{L}_{bc0}$        1.82578356e-01
        1600  $\mathcal{L}_{bc0}$        1.61750836e-01
        1800  $\mathcal{L}_{bc0}$        1.52527694e-01
        2000  $\mathcal{L}_{bc0}$        1.46665156e-01
        2200  $\mathcal{L}_{bc0}$        1.41275722e-01
        2400  $\mathcal{L}_{bc0}$        1.42104134e-01
        2600  $\mathcal{L}_{bc0}$        1.40951474e-01
        2800  $\mathcal{L}_{bc0}$        1.38671511e-01
        3000  $\mathcal{L}_{bc0}$        1.34997449e-01
        3000  $\mathcal{L}_{bc0}$        1.34997449e-01
        4000  $\mathcal{L}_{bc0}$        2.73431217e-03
        5000  $\mathcal{L}_{bc0}$        3.15481100e-04
        6000  $\mathcal{L}_{bc0}$        8.20078368e-05
        6298  $\mathcal{L}_{bc0}$        8.25102304e-05
        6950  $\mathcal{L}_{bc0}$        5.23449011e-05
        7038  $\mathcal{L}_{bc0}$        4.91451439e-05
        7187  $\mathcal{L}_{bc0}$        4.90892609e-05
        7270  $\mathcal{L}_{bc0}$        4.76904365e-05
        7828  $\mathcal{L}_{bc0}$        3.37060950e-05
        7869  $\mathcal{L}_{bc0}$        3.27149577e-05
        8005  $\mathcal{L}_{bc0}$        2.90197883e-05
        8037  $\mathcal{L}_{bc0}$        2.88539851e-05
        8158  $\mathcal{L}_{bc0}$        2.75943130e-05
        8189  $\mathcal{L}_{bc0}$        2.74836627e-05
        8256  $\mathcal{L}_{bc0}$        2.63984294e-05
        8325  $\mathcal{L}_{bc0}$        2.59749397e-05
        8339  $\mathcal{L}_{bc0}$        2.58236333e-05
        8354  $\mathcal{L}_{bc0}$        2.58370913e-05
        8468  $\mathcal{L}_{bc0}$        2.52829809e-05
