Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        4.07818262e+02
         200  $\mathcal{L}_{res}$        7.64139391e+00
         400  $\mathcal{L}_{res}$        4.93790500e+00
         600  $\mathcal{L}_{res}$        2.79358319e+00
         800  $\mathcal{L}_{res}$        2.16704628e+00
        1000  $\mathcal{L}_{res}$        1.75695273e+00
        1200  $\mathcal{L}_{res}$        1.41840637e+00
        1400  $\mathcal{L}_{res}$        1.18263645e+00
        1600  $\mathcal{L}_{res}$        9.95921681e-01
        1800  $\mathcal{L}_{res}$        8.36446650e-01
        2000  $\mathcal{L}_{res}$        7.69879574e-01
        2200  $\mathcal{L}_{res}$        7.50184938e-01
        2400  $\mathcal{L}_{res}$        5.80464532e-01
        2600  $\mathcal{L}_{res}$        4.76064628e-01
        2800  $\mathcal{L}_{res}$        5.55780104e-01
        3000  $\mathcal{L}_{res}$        4.15817778e-01
        3000  $\mathcal{L}_{res}$        6.57629496e-01
        4000  $\mathcal{L}_{res}$        2.00727046e-02
        5000  $\mathcal{L}_{res}$        7.32418561e-03
        6000  $\mathcal{L}_{res}$        2.71875224e-03
        7000  $\mathcal{L}_{res}$        1.41239320e-03
        8000  $\mathcal{L}_{res}$        8.13884125e-04
        9000  $\mathcal{L}_{res}$        4.73145072e-04
       10000  $\mathcal{L}_{res}$        3.43844013e-04
       10126  $\mathcal{L}_{res}$        3.29231627e-04
       10187  $\mathcal{L}_{res}$        3.20110279e-04
       10642  $\mathcal{L}_{res}$        2.69359014e-04
       10868  $\mathcal{L}_{res}$        2.49389898e-04
       10877  $\mathcal{L}_{res}$        2.49063977e-04
       11211  $\mathcal{L}_{res}$        2.24434130e-04
       11390  $\mathcal{L}_{res}$        2.11749528e-04
       11464  $\mathcal{L}_{res}$        2.08030513e-04
       11488  $\mathcal{L}_{res}$        2.06965412e-04
       11492  $\mathcal{L}_{res}$        2.06811587e-04
       11536  $\mathcal{L}_{res}$        2.04957776e-04
       11576  $\mathcal{L}_{res}$        2.03135063e-04
       11644  $\mathcal{L}_{res}$        1.99840906e-04
       11668  $\mathcal{L}_{res}$        1.99177181e-04
       11674  $\mathcal{L}_{res}$        1.98950025e-04
       11694  $\mathcal{L}_{res}$        1.98348669e-04
       11803  $\mathcal{L}_{res}$        1.92841787e-04
       11924  $\mathcal{L}_{res}$        1.87195902e-04
       12126  $\mathcal{L}_{res}$        1.76260389e-04
       12139  $\mathcal{L}_{res}$        1.75550336e-04
       12177  $\mathcal{L}_{res}$        1.73114335e-04
       12218  $\mathcal{L}_{res}$        1.71654187e-04
       12258  $\mathcal{L}_{res}$        1.69933315e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.65283058e+01
         200  $\mathcal{L}_{bc0}$        5.87355761e+00
         400  $\mathcal{L}_{bc0}$        3.25357880e+00
         600  $\mathcal{L}_{bc0}$        2.31860933e+00
         800  $\mathcal{L}_{bc0}$        1.80284366e+00
        1000  $\mathcal{L}_{bc0}$        1.49637033e+00
        1200  $\mathcal{L}_{bc0}$        1.12906163e+00
        1400  $\mathcal{L}_{bc0}$        1.04590326e+00
        1600  $\mathcal{L}_{bc0}$        8.83453939e-01
        1800  $\mathcal{L}_{bc0}$        7.29908987e-01
        2000  $\mathcal{L}_{bc0}$        6.53791264e-01
        2200  $\mathcal{L}_{bc0}$        6.88046639e-01
        2400  $\mathcal{L}_{bc0}$        4.89722634e-01
        2600  $\mathcal{L}_{bc0}$        3.74621645e-01
        2800  $\mathcal{L}_{bc0}$        4.18614783e-01
        3000  $\mathcal{L}_{bc0}$        2.81772925e-01
        3000  $\mathcal{L}_{bc0}$        2.81772925e-01
        4000  $\mathcal{L}_{bc0}$        3.47357588e-02
        5000  $\mathcal{L}_{bc0}$        8.93784429e-04
        6000  $\mathcal{L}_{bc0}$        3.68786004e-04
        7000  $\mathcal{L}_{bc0}$        1.02043040e-04
        8000  $\mathcal{L}_{bc0}$        4.76476801e-05
        9000  $\mathcal{L}_{bc0}$        3.75545706e-05
       10000  $\mathcal{L}_{bc0}$        2.36370131e-05
       10126  $\mathcal{L}_{bc0}$        2.22243552e-05
       10187  $\mathcal{L}_{bc0}$        2.22491096e-05
       10642  $\mathcal{L}_{bc0}$        2.15174323e-05
       10868  $\mathcal{L}_{bc0}$        2.19527760e-05
       10877  $\mathcal{L}_{bc0}$        2.19597018e-05
       11211  $\mathcal{L}_{bc0}$        2.02405263e-05
       11390  $\mathcal{L}_{bc0}$        1.87932169e-05
       11464  $\mathcal{L}_{bc0}$        1.84809049e-05
       11488  $\mathcal{L}_{bc0}$        1.80899303e-05
       11492  $\mathcal{L}_{bc0}$        1.80516327e-05
       11536  $\mathcal{L}_{bc0}$        1.75769707e-05
       11576  $\mathcal{L}_{bc0}$        1.74915897e-05
       11644  $\mathcal{L}_{bc0}$        1.67223278e-05
