Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        2.47462471e+02
         200  $\mathcal{L}_{res}$        6.15655866e+00
         400  $\mathcal{L}_{res}$        4.42906705e+00
         600  $\mathcal{L}_{res}$        2.73370267e+00
         800  $\mathcal{L}_{res}$        2.17178291e+00
        1000  $\mathcal{L}_{res}$        1.74661763e+00
        1200  $\mathcal{L}_{res}$        1.38842227e+00
        1400  $\mathcal{L}_{res}$        1.18791140e+00
        1600  $\mathcal{L}_{res}$        1.00007054e+00
        1800  $\mathcal{L}_{res}$        8.10420216e-01
        2000  $\mathcal{L}_{res}$        7.33589785e-01
        2200  $\mathcal{L}_{res}$        5.19378871e-01
        2400  $\mathcal{L}_{res}$        5.34034806e-01
        2600  $\mathcal{L}_{res}$        1.02111512e+00
        2800  $\mathcal{L}_{res}$        4.53743902e-01
        3000  $\mathcal{L}_{res}$        4.37054179e-01
        3000  $\mathcal{L}_{res}$        9.29978265e-01
        4000  $\mathcal{L}_{res}$        3.13422610e-02
        5000  $\mathcal{L}_{res}$        6.38060872e-03
        6000  $\mathcal{L}_{res}$        2.92054631e-03
        7000  $\mathcal{L}_{res}$        1.76393630e-03
        8000  $\mathcal{L}_{res}$        1.18023771e-03
        9000  $\mathcal{L}_{res}$        8.23878215e-04
       10000  $\mathcal{L}_{res}$        6.06458469e-04
       11000  $\mathcal{L}_{res}$        4.61833558e-04
       11418  $\mathcal{L}_{res}$        4.18434399e-04
       11485  $\mathcal{L}_{res}$        4.13284115e-04
       11512  $\mathcal{L}_{res}$        4.10746177e-04
       11894  $\mathcal{L}_{res}$        3.77717691e-04
       11978  $\mathcal{L}_{res}$        3.72745960e-04
       12090  $\mathcal{L}_{res}$        3.63318300e-04
       12251  $\mathcal{L}_{res}$        3.50932797e-04
       12273  $\mathcal{L}_{res}$        3.50157578e-04
       12340  $\mathcal{L}_{res}$        3.46233826e-04
       12417  $\mathcal{L}_{res}$        3.42220399e-04
       12494  $\mathcal{L}_{res}$        3.36728112e-04
       12531  $\mathcal{L}_{res}$        3.34170822e-04
       12550  $\mathcal{L}_{res}$        3.33187365e-04
       12554  $\mathcal{L}_{res}$        3.33089220e-04
       12661  $\mathcal{L}_{res}$        3.26191548e-04
       12686  $\mathcal{L}_{res}$        3.25114745e-04
       12749  $\mathcal{L}_{res}$        3.20954938e-04
       12820  $\mathcal{L}_{res}$        3.15891562e-04
       13055  $\mathcal{L}_{res}$        3.00091467e-04
       13123  $\mathcal{L}_{res}$        2.96069457e-04
       13210  $\mathcal{L}_{res}$        2.92695262e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        3.92513448e+01
         200  $\mathcal{L}_{bc0}$        5.32925031e+00
         400  $\mathcal{L}_{bc0}$        3.46564085e+00
         600  $\mathcal{L}_{bc0}$        2.95935601e+00
         800  $\mathcal{L}_{bc0}$        2.45478510e+00
        1000  $\mathcal{L}_{bc0}$        1.94488914e+00
        1200  $\mathcal{L}_{bc0}$        1.70286577e+00
        1400  $\mathcal{L}_{bc0}$        1.58534338e+00
        1600  $\mathcal{L}_{bc0}$        1.29444515e+00
        1800  $\mathcal{L}_{bc0}$        1.19249327e+00
        2000  $\mathcal{L}_{bc0}$        1.23562660e+00
        2200  $\mathcal{L}_{bc0}$        1.05772320e+00
        2400  $\mathcal{L}_{bc0}$        1.00824858e+00
        2600  $\mathcal{L}_{bc0}$        1.44112919e+00
        2800  $\mathcal{L}_{bc0}$        8.31949106e-01
        3000  $\mathcal{L}_{bc0}$        7.92914829e-01
        3000  $\mathcal{L}_{bc0}$        7.92914829e-01
        4000  $\mathcal{L}_{bc0}$        4.61538083e-03
        5000  $\mathcal{L}_{bc0}$        4.03757655e-04
        6000  $\mathcal{L}_{bc0}$        1.76872704e-04
        7000  $\mathcal{L}_{bc0}$        1.31947906e-04
        8000  $\mathcal{L}_{bc0}$        6.68362692e-05
        9000  $\mathcal{L}_{bc0}$        4.26944593e-05
       10000  $\mathcal{L}_{bc0}$        3.60590397e-05
       11000  $\mathcal{L}_{bc0}$        3.11696160e-05
       11418  $\mathcal{L}_{bc0}$        2.63842693e-05
       11485  $\mathcal{L}_{bc0}$        2.62743502e-05
       11512  $\mathcal{L}_{bc0}$        2.62350647e-05
       11894  $\mathcal{L}_{bc0}$        2.72915127e-05
       11978  $\mathcal{L}_{bc0}$        2.64457016e-05
       12090  $\mathcal{L}_{bc0}$        2.61470647e-05
       12251  $\mathcal{L}_{bc0}$        2.55907574e-05
       12273  $\mathcal{L}_{bc0}$        2.55902190e-05
       12340  $\mathcal{L}_{bc0}$        2.57049836e-05
       12417  $\mathcal{L}_{bc0}$        2.58275488e-05
       12494  $\mathcal{L}_{bc0}$        2.64778908e-05
       12531  $\mathcal{L}_{bc0}$        2.70263821e-05
