Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        3.27280834e+01
         200  $\mathcal{L}_{res}$        6.79246059e-01
         400  $\mathcal{L}_{res}$        4.07225515e-01
         600  $\mathcal{L}_{res}$        2.62885670e-01
         800  $\mathcal{L}_{res}$        2.08468149e-01
        1000  $\mathcal{L}_{res}$        1.91413113e-01
        1200  $\mathcal{L}_{res}$        1.93336315e-01
        1400  $\mathcal{L}_{res}$        1.47386595e-01
        1600  $\mathcal{L}_{res}$        1.51829136e-01
        1800  $\mathcal{L}_{res}$        1.22427427e-01
        2000  $\mathcal{L}_{res}$        1.16328341e-01
        2200  $\mathcal{L}_{res}$        1.00331316e-01
        2400  $\mathcal{L}_{res}$        9.16468039e-02
        2600  $\mathcal{L}_{res}$        3.13279206e-01
        2800  $\mathcal{L}_{res}$        1.00977992e-01
        3000  $\mathcal{L}_{res}$        6.98167068e-02
        3000  $\mathcal{L}_{res}$        8.12839858e-02
        4000  $\mathcal{L}_{res}$        3.96976590e-03
        5000  $\mathcal{L}_{res}$        3.75459044e-04
        6000  $\mathcal{L}_{res}$        1.59374294e-04
        6007  $\mathcal{L}_{res}$        1.59363204e-04
        6130  $\mathcal{L}_{res}$        1.49922170e-04
        6275  $\mathcal{L}_{res}$        1.40557658e-04
        6639  $\mathcal{L}_{res}$        1.16229157e-04
        6784  $\mathcal{L}_{res}$        1.05964055e-04
        6834  $\mathcal{L}_{res}$        1.04077364e-04
        6975  $\mathcal{L}_{res}$        9.76220695e-05
        7114  $\mathcal{L}_{res}$        9.11233058e-05
        7138  $\mathcal{L}_{res}$        9.01610761e-05
        7363  $\mathcal{L}_{res}$        7.90130054e-05
        7371  $\mathcal{L}_{res}$        7.88306127e-05
        7393  $\mathcal{L}_{res}$        7.80998782e-05
        7501  $\mathcal{L}_{res}$        7.36037357e-05
        7567  $\mathcal{L}_{res}$        7.12670061e-05
        7606  $\mathcal{L}_{res}$        7.00210236e-05
        7621  $\mathcal{L}_{res}$        6.94581769e-05
        7631  $\mathcal{L}_{res}$        6.91777723e-05
        7779  $\mathcal{L}_{res}$        6.26203289e-05
        7830  $\mathcal{L}_{res}$        6.18477602e-05
        7840  $\mathcal{L}_{res}$        6.16050007e-05
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.34509432e+00
         200  $\mathcal{L}_{bc0}$        4.54983628e-01
         400  $\mathcal{L}_{bc0}$        4.36123963e-01
         600  $\mathcal{L}_{bc0}$        3.25858413e-01
         800  $\mathcal{L}_{bc0}$        2.49075735e-01
        1000  $\mathcal{L}_{bc0}$        2.20095581e-01
        1200  $\mathcal{L}_{bc0}$        2.07104077e-01
        1400  $\mathcal{L}_{bc0}$        1.94126392e-01
        1600  $\mathcal{L}_{bc0}$        1.76606206e-01
        1800  $\mathcal{L}_{bc0}$        1.68371305e-01
        2000  $\mathcal{L}_{bc0}$        1.62915538e-01
        2200  $\mathcal{L}_{bc0}$        1.56981305e-01
        2400  $\mathcal{L}_{bc0}$        1.53276680e-01
        2600  $\mathcal{L}_{bc0}$        1.62880145e-01
        2800  $\mathcal{L}_{bc0}$        1.47644884e-01
        3000  $\mathcal{L}_{bc0}$        1.40273246e-01
        3000  $\mathcal{L}_{bc0}$        1.40273246e-01
        4000  $\mathcal{L}_{bc0}$        1.14492010e-03
        5000  $\mathcal{L}_{bc0}$        7.46196872e-05
        6000  $\mathcal{L}_{bc0}$        3.36590118e-05
        6007  $\mathcal{L}_{bc0}$        3.33692549e-05
        6130  $\mathcal{L}_{bc0}$        3.09793354e-05
        6275  $\mathcal{L}_{bc0}$        2.90914695e-05
        6639  $\mathcal{L}_{bc0}$        2.15787738e-05
        6784  $\mathcal{L}_{bc0}$        1.89823517e-05
        6834  $\mathcal{L}_{bc0}$        1.86285790e-05
        6975  $\mathcal{L}_{bc0}$        1.62032896e-05
        7114  $\mathcal{L}_{bc0}$        1.36714145e-05
        7138  $\mathcal{L}_{bc0}$        1.36013945e-05
        7363  $\mathcal{L}_{bc0}$        1.14879208e-05
        7371  $\mathcal{L}_{bc0}$        1.14811073e-05
        7393  $\mathcal{L}_{bc0}$        1.14140033e-05
        7501  $\mathcal{L}_{bc0}$        8.99793140e-06
        7567  $\mathcal{L}_{bc0}$        8.09066916e-06
        7606  $\mathcal{L}_{bc0}$        7.92175031e-06
        7621  $\mathcal{L}_{bc0}$        7.92551334e-06
        7631  $\mathcal{L}_{bc0}$        7.85397587e-06
        7779  $\mathcal{L}_{bc0}$        6.67123135e-06
        7830  $\mathcal{L}_{bc0}$        5.82455199e-06
        7840  $\mathcal{L}_{bc0}$        5.90810123e-06
--------------------------------------------------
           0     test loss        3.17368900e+01
         200     test loss        6.73684052e-01
         400     test loss        5.31059072e-01
         600     test loss        3.71055650e-01
         800     test loss        2.95063596e-01
        1000     test loss        2.64669274e-01
        1200     test loss        2.70575268e-01
        1400     test loss        2.30403392e-01
        1600     test loss        2.04213345e-01
        1800     test loss        1.94498101e-01
        2000     test loss        1.87627860e-01
        2200     test loss        1.77907698e-01
        2400     test loss        1.73216466e-01
        2600     test loss        3.76743949e-01
        2800     test loss        1.64998956e-01
        3000     test loss        1.55421189e-01
        3000     test loss        1.55421189e-01
        4000     test loss        2.31261929e-03
        5000     test loss        1.78507613e-04
        6000     test loss        8.67670576e-05
        6007     test loss        8.61746883e-05
        6130     test loss        7.86160518e-05
        6275     test loss        7.06743277e-05
        6639     test loss        6.37740580e-05
        6784     test loss        5.41465983e-05
        6834     test loss        5.21975594e-05
        6975     test loss        5.23750347e-05
        7114     test loss        5.16765934e-05
        7138     test loss        5.18211722e-05
        7363     test loss        4.85010552e-05
        7371     test loss        4.76908238e-05
        7393     test loss        4.82840756e-05
        7501     test loss        4.53902595e-05
        7567     test loss        4.59298047e-05
        7606     test loss        4.33657986e-05
        7621     test loss        4.20574759e-05
        7631     test loss        4.15643701e-05
        7779     test loss        3.45056609e-05
        7830     test loss        3.52794131e-05
        7840     test loss        3.56198476e-05
--------------------------------------------------
           0    train loss        3.40731777e+01
         200    train loss        1.13422969e+00
         400    train loss        8.43349477e-01
         600    train loss        5.88744083e-01
         800    train loss        4.57543883e-01
        1000    train loss        4.11508694e-01
        1200    train loss        4.00440392e-01
        1400    train loss        3.41512987e-01
        1600    train loss        3.28435342e-01
        1800    train loss        2.90798732e-01
        2000    train loss        2.79243879e-01
        2200    train loss        2.57312620e-01
        2400    train loss        2.44923484e-01
        2600    train loss        4.76159351e-01
        2800    train loss        2.48622876e-01
        3000    train loss        2.10089952e-01
        3000    train loss        2.21557231e-01
        4000    train loss        5.11468600e-03
        5000    train loss        4.50078731e-04
        6000    train loss        1.93033306e-04
        6007    train loss        1.92732459e-04
        6130    train loss        1.80901506e-04
        6275    train loss        1.69649127e-04
        6639    train loss        1.37807931e-04
        6784    train loss        1.24946407e-04
        6834    train loss        1.22705943e-04
        6975    train loss        1.13825359e-04
        7114    train loss        1.04794720e-04
        7138    train loss        1.03762471e-04
        7363    train loss        9.05009262e-05
        7371    train loss        9.03117199e-05
        7393    train loss        8.95138815e-05
        7501    train loss        8.26016671e-05
        7567    train loss        7.93576752e-05
        7606    train loss        7.79427739e-05
