Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        1.78961963e+02
         200  $\mathcal{L}_{res}$        1.08815724e+00
         400  $\mathcal{L}_{res}$        8.86689390e-01
         600  $\mathcal{L}_{res}$        8.31661264e-01
         800  $\mathcal{L}_{res}$        7.57055771e-01
        1000  $\mathcal{L}_{res}$        6.53176995e-01
        1200  $\mathcal{L}_{res}$        4.98594251e-01
        1400  $\mathcal{L}_{res}$        4.02262566e-01
        1600  $\mathcal{L}_{res}$        3.17971146e-01
        1800  $\mathcal{L}_{res}$        2.71610456e-01
        2000  $\mathcal{L}_{res}$        2.21729289e-01
        2200  $\mathcal{L}_{res}$        2.15087059e-01
        2400  $\mathcal{L}_{res}$        1.63869284e-01
        2600  $\mathcal{L}_{res}$        1.45883287e-01
        2800  $\mathcal{L}_{res}$        1.47476265e-01
        3000  $\mathcal{L}_{res}$        1.26769389e-01
        3000  $\mathcal{L}_{res}$        1.48484303e-01
        4000  $\mathcal{L}_{res}$        1.12869639e-02
        5000  $\mathcal{L}_{res}$        5.79190410e-03
        6000  $\mathcal{L}_{res}$        2.75224566e-03
        7000  $\mathcal{L}_{res}$        1.63270338e-03
        8000  $\mathcal{L}_{res}$        1.16793214e-03
        8382  $\mathcal{L}_{res}$        1.04034903e-03
        8401  $\mathcal{L}_{res}$        1.03469555e-03
        8924  $\mathcal{L}_{res}$        9.08065486e-04
        9117  $\mathcal{L}_{res}$        8.45505212e-04
        9513  $\mathcal{L}_{res}$        7.74742972e-04
        9771  $\mathcal{L}_{res}$        7.40853424e-04
        9833  $\mathcal{L}_{res}$        7.32222451e-04
        9885  $\mathcal{L}_{res}$        7.15760351e-04
        9926  $\mathcal{L}_{res}$        7.08518155e-04
       10139  $\mathcal{L}_{res}$        6.85046224e-04
       10401  $\mathcal{L}_{res}$        6.63122705e-04
       10440  $\mathcal{L}_{res}$        6.60570339e-04
       10720  $\mathcal{L}_{res}$        6.00814202e-04
       10744  $\mathcal{L}_{res}$        5.97383423e-04
       10823  $\mathcal{L}_{res}$        5.81800132e-04
       11006  $\mathcal{L}_{res}$        5.37935025e-04
