Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        5.68303315e+02
         200  $\mathcal{L}_{res}$        6.83969413e+00
         400  $\mathcal{L}_{res}$        4.78106143e+00
         600  $\mathcal{L}_{res}$        3.82681529e+00
         800  $\mathcal{L}_{res}$        3.25624848e+00
        1000  $\mathcal{L}_{res}$        2.70639019e+00
        1200  $\mathcal{L}_{res}$        2.05931389e+00
        1400  $\mathcal{L}_{res}$        1.66807329e+00
        1600  $\mathcal{L}_{res}$        1.32012234e+00
        1800  $\mathcal{L}_{res}$        1.41650290e+00
        2000  $\mathcal{L}_{res}$        2.87400489e+00
        2200  $\mathcal{L}_{res}$        8.50475068e-01
        2400  $\mathcal{L}_{res}$        7.19246060e-01
        2600  $\mathcal{L}_{res}$        6.27723254e-01
        2800  $\mathcal{L}_{res}$        5.08701150e-01
        3000  $\mathcal{L}_{res}$        6.79600219e-01
        3000  $\mathcal{L}_{res}$        7.05431367e-01
        4000  $\mathcal{L}_{res}$        2.60099194e-02
        5000  $\mathcal{L}_{res}$        1.84387052e-02
        6000  $\mathcal{L}_{res}$        1.09245372e-02
        7000  $\mathcal{L}_{res}$        7.40819587e-03
        8000  $\mathcal{L}_{res}$        6.01526851e-03
        9000  $\mathcal{L}_{res}$        4.24385828e-03
       10000  $\mathcal{L}_{res}$        2.59272181e-03
       11000  $\mathcal{L}_{res}$        1.58211333e-03
       12000  $\mathcal{L}_{res}$        1.07112439e-03
       12583  $\mathcal{L}_{res}$        8.88745165e-04
       12762  $\mathcal{L}_{res}$        8.58591090e-04
       12971  $\mathcal{L}_{res}$        8.11783578e-04
       13128  $\mathcal{L}_{res}$        7.81661333e-04
       13262  $\mathcal{L}_{res}$        7.66489095e-04
       13436  $\mathcal{L}_{res}$        7.28847139e-04
       13502  $\mathcal{L}_{res}$        7.15559403e-04
       13602  $\mathcal{L}_{res}$        6.95267010e-04
       13716  $\mathcal{L}_{res}$        6.75189361e-04
       13946  $\mathcal{L}_{res}$        6.26238670e-04
       14080  $\mathcal{L}_{res}$        6.07588994e-04
       14277  $\mathcal{L}_{res}$        5.74885481e-04
       14394  $\mathcal{L}_{res}$        5.60249060e-04
       14458  $\mathcal{L}_{res}$        5.53877923e-04
       14505  $\mathcal{L}_{res}$        5.48551097e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.62389437e+00
         200  $\mathcal{L}_{bc0}$        7.67879272e-01
         400  $\mathcal{L}_{bc0}$        8.47699340e-01
         600  $\mathcal{L}_{bc0}$        9.43043957e-01
         800  $\mathcal{L}_{bc0}$        9.67775517e-01
        1000  $\mathcal{L}_{bc0}$        9.06284848e-01
