Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        3.17885273e+02
         200  $\mathcal{L}_{res}$        3.49447265e+00
         400  $\mathcal{L}_{res}$        2.29894215e+00
         600  $\mathcal{L}_{res}$        1.82624400e+00
         800  $\mathcal{L}_{res}$        1.57685535e+00
        1000  $\mathcal{L}_{res}$        1.26865352e+00
        1200  $\mathcal{L}_{res}$        8.64820086e-01
        1400  $\mathcal{L}_{res}$        6.85998185e-01
        1600  $\mathcal{L}_{res}$        5.24297194e-01
        1800  $\mathcal{L}_{res}$        4.28049487e-01
        2000  $\mathcal{L}_{res}$        3.78352459e-01
        2200  $\mathcal{L}_{res}$        4.91740190e-01
        2400  $\mathcal{L}_{res}$        2.53818665e-01
        2600  $\mathcal{L}_{res}$        3.15147128e-01
        2800  $\mathcal{L}_{res}$        2.66864230e-01
        3000  $\mathcal{L}_{res}$        2.18442184e-01
        3000  $\mathcal{L}_{res}$        2.39083522e-01
        4000  $\mathcal{L}_{res}$        1.57486724e-02
        5000  $\mathcal{L}_{res}$        8.54459343e-03
        6000  $\mathcal{L}_{res}$        2.45990121e-03
        7000  $\mathcal{L}_{res}$        1.26938069e-03
        8000  $\mathcal{L}_{res}$        8.40903885e-04
        8534  $\mathcal{L}_{res}$        6.78068588e-04
        9534  $\mathcal{L}_{res}$        5.78097034e-04
       10534  $\mathcal{L}_{res}$        4.53430848e-04
       11534  $\mathcal{L}_{res}$        5.09140293e-04
       12534  $\mathcal{L}_{res}$        3.16208658e-04
       13136  $\mathcal{L}_{res}$        2.36119051e-04
       13200  $\mathcal{L}_{res}$        2.30263782e-04
       13254  $\mathcal{L}_{res}$        2.24996462e-04
       13629  $\mathcal{L}_{res}$        2.01542296e-04
       13675  $\mathcal{L}_{res}$        1.97235433e-04
       13699  $\mathcal{L}_{res}$        1.95216045e-04
       13849  $\mathcal{L}_{res}$        1.82707590e-04
       13874  $\mathcal{L}_{res}$        1.81285477e-04
       13996  $\mathcal{L}_{res}$        1.76146696e-04
       14015  $\mathcal{L}_{res}$        1.75690085e-04
       14189  $\mathcal{L}_{res}$        1.66721616e-04
       14318  $\mathcal{L}_{res}$        1.59842606e-04
       14324  $\mathcal{L}_{res}$        1.59452940e-04
       14334  $\mathcal{L}_{res}$        1.59048826e-04
       14344  $\mathcal{L}_{res}$        1.58600697e-04
       14391  $\mathcal{L}_{res}$        1.56028212e-04
       14474  $\mathcal{L}_{res}$        1.52578486e-04
       14478  $\mathcal{L}_{res}$        1.52618141e-04
       14485  $\mathcal{L}_{res}$        1.52550585e-04
       14688  $\mathcal{L}_{res}$        1.43609134e-04
       14690  $\mathcal{L}_{res}$        1.43648035e-04
       14694  $\mathcal{L}_{res}$        1.43524874e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        5.88535534e-01
         200  $\mathcal{L}_{bc0}$        6.63036969e-01
         400  $\mathcal{L}_{bc0}$        6.39920347e-01
         600  $\mathcal{L}_{bc0}$        6.64714728e-01
         800  $\mathcal{L}_{bc0}$        6.49666133e-01
        1000  $\mathcal{L}_{bc0}$        5.68725952e-01
        1200  $\mathcal{L}_{bc0}$        3.64045484e-01
        1400  $\mathcal{L}_{bc0}$        2.59147279e-01
        1600  $\mathcal{L}_{bc0}$        2.16067727e-01
        1800  $\mathcal{L}_{bc0}$        2.04248929e-01
        2000  $\mathcal{L}_{bc0}$        1.95117104e-01
        2200  $\mathcal{L}_{bc0}$        1.98263444e-01
        2400  $\mathcal{L}_{bc0}$        1.91811715e-01
        2600  $\mathcal{L}_{bc0}$        1.94107396e-01
        2800  $\mathcal{L}_{bc0}$        1.90695932e-01
        3000  $\mathcal{L}_{bc0}$        1.85500472e-01
        3000  $\mathcal{L}_{bc0}$        1.85500472e-01
        4000  $\mathcal{L}_{bc0}$        4.17882219e-02
        5000  $\mathcal{L}_{bc0}$        6.77873037e-03
        6000  $\mathcal{L}_{bc0}$        3.25200146e-03
        7000  $\mathcal{L}_{bc0}$        2.45856065e-03
        8000  $\mathcal{L}_{bc0}$        2.02469884e-03
        8534  $\mathcal{L}_{bc0}$        1.89581861e-03
        9534  $\mathcal{L}_{bc0}$        1.46510703e-03
       10534  $\mathcal{L}_{bc0}$        1.01113367e-03
       11534  $\mathcal{L}_{bc0}$        3.64123237e-04
       12534  $\mathcal{L}_{bc0}$        1.05940593e-04
       13136  $\mathcal{L}_{bc0}$        7.61561766e-05
       13200  $\mathcal{L}_{bc0}$        7.35759034e-05
       13254  $\mathcal{L}_{bc0}$        7.41647600e-05
       13629  $\mathcal{L}_{bc0}$        5.87127523e-05
