Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        3.00990394e+02
         200  $\mathcal{L}_{res}$        2.42829092e+00
         400  $\mathcal{L}_{res}$        1.70749661e+00
         600  $\mathcal{L}_{res}$        1.50324351e+00
         800  $\mathcal{L}_{res}$        1.32526112e+00
        1000  $\mathcal{L}_{res}$        1.14620268e+00
        1200  $\mathcal{L}_{res}$        9.55521364e-01
        1400  $\mathcal{L}_{res}$        6.43094320e-01
        1600  $\mathcal{L}_{res}$        3.63269552e-01
        1800  $\mathcal{L}_{res}$        2.34620794e-01
        2000  $\mathcal{L}_{res}$        1.83628093e-01
        2200  $\mathcal{L}_{res}$        1.87131184e-01
        2400  $\mathcal{L}_{res}$        2.41012699e-01
        2600  $\mathcal{L}_{res}$        1.97553753e-01
        2800  $\mathcal{L}_{res}$        1.44047744e-01
        3000  $\mathcal{L}_{res}$        1.37354688e-01
        3000  $\mathcal{L}_{res}$        1.21395432e-01
        4000  $\mathcal{L}_{res}$        1.50428113e-02
        5000  $\mathcal{L}_{res}$        3.51726661e-03
        6000  $\mathcal{L}_{res}$        1.48419007e-03
        7000  $\mathcal{L}_{res}$        7.79394109e-04
        7722  $\mathcal{L}_{res}$        5.14143336e-04
        8646  $\mathcal{L}_{res}$        3.47994614e-04
        8835  $\mathcal{L}_{res}$        3.23582964e-04
        9203  $\mathcal{L}_{res}$        2.77234257e-04
        9376  $\mathcal{L}_{res}$        2.53768906e-04
        9453  $\mathcal{L}_{res}$        2.45334235e-04
        9879  $\mathcal{L}_{res}$        2.02967131e-04
        9910  $\mathcal{L}_{res}$        2.00553719e-04
       10080  $\mathcal{L}_{res}$        1.88346394e-04
       10133  $\mathcal{L}_{res}$        1.85506805e-04
       10135  $\mathcal{L}_{res}$        1.85491420e-04
       10153  $\mathcal{L}_{res}$        1.85064470e-04
       10158  $\mathcal{L}_{res}$        1.84832299e-04
       10213  $\mathcal{L}_{res}$        1.82032572e-04
       10234  $\mathcal{L}_{res}$        1.80924699e-04
       10264  $\mathcal{L}_{res}$        1.79289207e-04
       10304  $\mathcal{L}_{res}$        1.76525625e-04
       10325  $\mathcal{L}_{res}$        1.75686612e-04
       10391  $\mathcal{L}_{res}$        1.71687988e-04
       10508  $\mathcal{L}_{res}$        1.65394940e-04
       10558  $\mathcal{L}_{res}$        1.61595473e-04
       10607  $\mathcal{L}_{res}$        1.58862022e-04
       10617  $\mathcal{L}_{res}$        1.58617570e-04
       10682  $\mathcal{L}_{res}$        1.54716955e-04
       10697  $\mathcal{L}_{res}$        1.54027975e-04
       10708  $\mathcal{L}_{res}$        1.53638089e-04
       10789  $\mathcal{L}_{res}$        1.48993044e-04
       10803  $\mathcal{L}_{res}$        1.48189686e-04
       10828  $\mathcal{L}_{res}$        1.46922004e-04
       10864  $\mathcal{L}_{res}$        1.46259521e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.56589167e+00
         200  $\mathcal{L}_{bc0}$        5.58310464e-01
         400  $\mathcal{L}_{bc0}$        5.42304192e-01
         600  $\mathcal{L}_{bc0}$        5.40548683e-01
         800  $\mathcal{L}_{bc0}$        5.59025842e-01
        1000  $\mathcal{L}_{bc0}$        5.62232037e-01
        1200  $\mathcal{L}_{bc0}$        5.47938986e-01
        1400  $\mathcal{L}_{bc0}$        4.20979672e-01
        1600  $\mathcal{L}_{bc0}$        2.40354184e-01
        1800  $\mathcal{L}_{bc0}$        1.74367661e-01
        2000  $\mathcal{L}_{bc0}$        1.57028036e-01
        2200  $\mathcal{L}_{bc0}$        1.50697919e-01
        2400  $\mathcal{L}_{bc0}$        1.55593620e-01
        2600  $\mathcal{L}_{bc0}$        1.49231588e-01
        2800  $\mathcal{L}_{bc0}$        1.42789366e-01
        3000  $\mathcal{L}_{bc0}$        1.38876831e-01
        3000  $\mathcal{L}_{bc0}$        1.38876831e-01
        4000  $\mathcal{L}_{bc0}$        1.11639730e-02
        5000  $\mathcal{L}_{bc0}$        7.04456444e-04
        6000  $\mathcal{L}_{bc0}$        2.87541411e-04
        7000  $\mathcal{L}_{bc0}$        1.63384653e-04
        7722  $\mathcal{L}_{bc0}$        6.74521970e-05
        8646  $\mathcal{L}_{bc0}$        3.01492360e-05
        8835  $\mathcal{L}_{bc0}$        2.78647911e-05
        9203  $\mathcal{L}_{bc0}$        2.97984020e-05
        9376  $\mathcal{L}_{bc0}$        2.93961323e-05
        9453  $\mathcal{L}_{bc0}$        2.92355054e-05
        9879  $\mathcal{L}_{bc0}$        2.52680511e-05
        9910  $\mathcal{L}_{bc0}$        2.44967505e-05
       10080  $\mathcal{L}_{bc0}$        2.06392000e-05
       10133  $\mathcal{L}_{bc0}$        2.00496610e-05
       10135  $\mathcal{L}_{bc0}$        2.00117605e-05
       10153  $\mathcal{L}_{bc0}$        1.97935933e-05
       10158  $\mathcal{L}_{bc0}$        1.97976676e-05
       10213  $\mathcal{L}_{bc0}$        1.95408088e-05
       10234  $\mathcal{L}_{bc0}$        1.92646014e-05
       10264  $\mathcal{L}_{bc0}$        1.89684770e-05
       10304  $\mathcal{L}_{bc0}$        1.77799599e-05
       10325  $\mathcal{L}_{bc0}$        1.74347008e-05
       10391  $\mathcal{L}_{bc0}$        1.75079898e-05
       10508  $\mathcal{L}_{bc0}$        1.63896839e-05
       10558  $\mathcal{L}_{bc0}$        1.65265839e-05
       10607  $\mathcal{L}_{bc0}$        1.52823018e-05
       10617  $\mathcal{L}_{bc0}$        1.49660344e-05
       10682  $\mathcal{L}_{bc0}$        1.47225128e-05
       10697  $\mathcal{L}_{bc0}$        1.46374202e-05
       10708  $\mathcal{L}_{bc0}$        1.43515459e-05
       10789  $\mathcal{L}_{bc0}$        1.34389515e-05
       10803  $\mathcal{L}_{bc0}$        1.35276633e-05
       10828  $\mathcal{L}_{bc0}$        1.33317405e-05
       10864  $\mathcal{L}_{bc0}$        1.30218226e-05
--------------------------------------------------
           0     test loss        3.12622384e+02
         200     test loss        1.54125860e+00
         400     test loss        9.85236617e-01
         600     test loss        8.82801204e-01
         800     test loss        8.24906523e-01
        1000     test loss        7.64057088e-01
        1200     test loss        7.02417148e-01
        1400     test loss        4.95959556e-01
        1600     test loss        2.89643607e-01
        1800     test loss        2.19261171e-01
        2000     test loss        1.90224369e-01
        2200     test loss        1.87136299e-01
        2400     test loss        2.67405271e-01
        2600     test loss        3.05715708e-01
        2800     test loss        1.84913706e-01
        3000     test loss        1.72688270e-01
        3000     test loss        1.72688270e-01
        4000     test loss        1.53437374e-02
        5000     test loss        2.06126598e-03
        6000     test loss        8.26586464e-04
        7000     test loss        4.50407368e-04
        7722     test loss        2.60278769e-04
        8646     test loss        1.71825071e-04
        8835     test loss        1.70833186e-04
        9203     test loss        1.62319105e-04
        9376     test loss        1.39100100e-04
        9453     test loss        1.35684963e-04
        9879     test loss        1.21925516e-04
        9910     test loss        1.22305602e-04
       10080     test loss        1.20171679e-04
       10133     test loss        1.16754251e-04
       10135     test loss        1.17423354e-04
       10153     test loss        1.15618236e-04
       10158     test loss        1.16089183e-04
       10213     test loss        1.13068742e-04
       10234     test loss        1.12582810e-04
       10264     test loss        1.12934717e-04
       10304     test loss        1.13281574e-04
       10325     test loss        1.10720193e-04
       10391     test loss        1.12044750e-04
       10508     test loss        1.13098704e-04
       10558     test loss        1.12530580e-04
       10607     test loss        1.11088496e-04
       10617     test loss        1.11080807e-04
       10682     test loss        1.03680892e-04
       10697     test loss        1.02759955e-04
       10708     test loss        1.00421539e-04
       10789     test loss        1.00422394e-04
       10803     test loss        9.95418375e-05
       10828     test loss        1.02952248e-04
       10864     test loss        1.04113433e-04
--------------------------------------------------
           0    train loss        3.02556285e+02
         200    train loss        2.98660138e+00
         400    train loss        2.24980080e+00
         600    train loss        2.04379219e+00
         800    train loss        1.88428697e+00
        1000    train loss        1.70843471e+00
        1200    train loss        1.50346035e+00
        1400    train loss        1.06407399e+00
        1600    train loss        6.03623736e-01
        1800    train loss        4.08988455e-01
        2000    train loss        3.40656128e-01
        2200    train loss        3.37829104e-01
        2400    train loss        3.96606319e-01
        2600    train loss        3.46785342e-01
        2800    train loss        2.86837110e-01
        3000    train loss        2.76231519e-01
        3000    train loss        2.60272264e-01
        4000    train loss        2.62067843e-02
        5000    train loss        4.22172305e-03
        6000    train loss        1.77173148e-03
        7000    train loss        9.42778762e-04
        7722    train loss        5.81595533e-04
        8646    train loss        3.78143850e-04
        8835    train loss        3.51447755e-04
        9203    train loss        3.07032659e-04
        9376    train loss        2.83165038e-04
        9453    train loss        2.74569741e-04
        9879    train loss        2.28235182e-04
        9910    train loss        2.25050470e-04
       10080    train loss        2.08985594e-04
       10133    train loss        2.05556466e-04
       10135    train loss        2.05503181e-04
       10153    train loss        2.04858064e-04
       10158    train loss        2.04629966e-04
       10213    train loss        2.01573381e-04
       10234    train loss        2.00189300e-04
       10264    train loss        1.98257684e-04
       10304    train loss        1.94305585e-04
       10325    train loss        1.93121313e-04
       10391    train loss        1.89195978e-04
       10508    train loss        1.81784624e-04
       10558    train loss        1.78122057e-04
       10607    train loss        1.74144324e-04
       10617    train loss        1.73583604e-04
       10682    train loss        1.69439468e-04
       10697    train loss        1.68665395e-04
       10708    train loss        1.67989635e-04
       10789    train loss        1.62431995e-04
       10803    train loss        1.61717349e-04
       10828    train loss        1.60253745e-04
       10864    train loss        1.59281343e-04
--------------------------------------------------
