Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        1.64245225e+03
         200  $\mathcal{L}_{res}$        1.98457859e+01
         400  $\mathcal{L}_{res}$        7.90544726e+00
         600  $\mathcal{L}_{res}$        6.26202115e+00
         800  $\mathcal{L}_{res}$        5.13099704e+00
        1000  $\mathcal{L}_{res}$        4.52352571e+00
        1200  $\mathcal{L}_{res}$        3.99530993e+00
        1400  $\mathcal{L}_{res}$        3.39728837e+00
        1600  $\mathcal{L}_{res}$        3.01466160e+00
        1800  $\mathcal{L}_{res}$        2.69933402e+00
        2000  $\mathcal{L}_{res}$        2.00044273e+00
        2200  $\mathcal{L}_{res}$        1.87839839e+00
        2400  $\mathcal{L}_{res}$        1.55520427e+00
        2600  $\mathcal{L}_{res}$        1.32570866e+00
        2800  $\mathcal{L}_{res}$        1.19925177e+00
        3000  $\mathcal{L}_{res}$        1.03365106e+00
        3000  $\mathcal{L}_{res}$        1.11370144e+00
        4000  $\mathcal{L}_{res}$        2.26248068e-02
        5000  $\mathcal{L}_{res}$        1.72520141e-02
        6000  $\mathcal{L}_{res}$        1.23397810e-02
        7000  $\mathcal{L}_{res}$        1.26347230e-02
        8000  $\mathcal{L}_{res}$        9.83301252e-03
        9000  $\mathcal{L}_{res}$        6.84801476e-03
       10000  $\mathcal{L}_{res}$        4.47880867e-03
       11000  $\mathcal{L}_{res}$        2.83132624e-03
       12000  $\mathcal{L}_{res}$        1.91949393e-03
       12378  $\mathcal{L}_{res}$        1.66731631e-03
       12579  $\mathcal{L}_{res}$        1.54496912e-03
       12769  $\mathcal{L}_{res}$        1.45232510e-03
       13297  $\mathcal{L}_{res}$        1.26789890e-03
       13941  $\mathcal{L}_{res}$        1.07852901e-03
       14366  $\mathcal{L}_{res}$        9.83596250e-04
       14630  $\mathcal{L}_{res}$        9.13484747e-04
       14660  $\mathcal{L}_{res}$        9.09308548e-04
       14698  $\mathcal{L}_{res}$        9.05827918e-04
       14780  $\mathcal{L}_{res}$        8.95219914e-04
       14941  $\mathcal{L}_{res}$        8.74957912e-04
       15166  $\mathcal{L}_{res}$        8.30186962e-04
       15329  $\mathcal{L}_{res}$        8.15492900e-04
       15684  $\mathcal{L}_{res}$        7.64715807e-04
       15908  $\mathcal{L}_{res}$        7.33429377e-04
       16054  $\mathcal{L}_{res}$        7.16940089e-04
       16056  $\mathcal{L}_{res}$        7.17014554e-04
       16096  $\mathcal{L}_{res}$        7.12024107e-04
       16151  $\mathcal{L}_{res}$        7.08771806e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        2.71879785e+00
         200  $\mathcal{L}_{bc0}$        1.16672778e+00
         400  $\mathcal{L}_{bc0}$        1.04566312e+00
         600  $\mathcal{L}_{bc0}$        1.15190675e+00
         800  $\mathcal{L}_{bc0}$        1.22466077e+00
        1000  $\mathcal{L}_{bc0}$        1.25886055e+00
        1200  $\mathcal{L}_{bc0}$        1.27389298e+00
        1400  $\mathcal{L}_{bc0}$        1.24854296e+00
        1600  $\mathcal{L}_{bc0}$        1.07022250e+00
        1800  $\mathcal{L}_{bc0}$        6.31370335e-01
        2000  $\mathcal{L}_{bc0}$        3.32943747e-01
        2200  $\mathcal{L}_{bc0}$        2.13508118e-01
        2400  $\mathcal{L}_{bc0}$        1.67547536e-01
        2600  $\mathcal{L}_{bc0}$        1.47767566e-01
        2800  $\mathcal{L}_{bc0}$        1.32157408e-01
        3000  $\mathcal{L}_{bc0}$        1.22640953e-01
        3000  $\mathcal{L}_{bc0}$        1.22640953e-01
        4000  $\mathcal{L}_{bc0}$        7.53168418e-02
        5000  $\mathcal{L}_{bc0}$        5.39481466e-02
        6000  $\mathcal{L}_{bc0}$        4.20983817e-02
        7000  $\mathcal{L}_{bc0}$        2.68004807e-02
        8000  $\mathcal{L}_{bc0}$        9.90677577e-03
        9000  $\mathcal{L}_{bc0}$        2.87060654e-03
       10000  $\mathcal{L}_{bc0}$        1.15048608e-03
       11000  $\mathcal{L}_{bc0}$        5.65542867e-04
       12000  $\mathcal{L}_{bc0}$        4.43032550e-04
       12378  $\mathcal{L}_{bc0}$        4.15201044e-04
       12579  $\mathcal{L}_{bc0}$        4.32520513e-04
       12769  $\mathcal{L}_{bc0}$        4.31620433e-04
       13297  $\mathcal{L}_{bc0}$        3.62560013e-04
       13941  $\mathcal{L}_{bc0}$        3.28861434e-04
       14366  $\mathcal{L}_{bc0}$        3.01209204e-04
       14630  $\mathcal{L}_{bc0}$        2.77755155e-04
       14660  $\mathcal{L}_{bc0}$        2.74962927e-04
       14698  $\mathcal{L}_{bc0}$        2.66885321e-04
       14780  $\mathcal{L}_{bc0}$        2.65831673e-04
       14941  $\mathcal{L}_{bc0}$        2.56521050e-04
       15166  $\mathcal{L}_{bc0}$        2.44971090e-04
       15329  $\mathcal{L}_{bc0}$        2.40590267e-04
       15684  $\mathcal{L}_{bc0}$        2.28304344e-04
       15908  $\mathcal{L}_{bc0}$        2.14111840e-04
