Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        5.92292043e+01
         200  $\mathcal{L}_{res}$        9.07671519e-01
         400  $\mathcal{L}_{res}$        7.86184940e-01
         600  $\mathcal{L}_{res}$        6.91952455e-01
         800  $\mathcal{L}_{res}$        6.07355315e-01
        1000  $\mathcal{L}_{res}$        4.01557259e-01
        1200  $\mathcal{L}_{res}$        3.15004183e-01
        1400  $\mathcal{L}_{res}$        2.64587462e-01
        1600  $\mathcal{L}_{res}$        2.24328541e-01
        1800  $\mathcal{L}_{res}$        2.05901650e-01
        2000  $\mathcal{L}_{res}$        8.19585226e-01
        2200  $\mathcal{L}_{res}$        1.31184014e-01
        2400  $\mathcal{L}_{res}$        1.04166382e-01
        2600  $\mathcal{L}_{res}$        9.93342588e-02
        2800  $\mathcal{L}_{res}$        9.14201236e-02
        3000  $\mathcal{L}_{res}$        3.40597813e-01
        3000  $\mathcal{L}_{res}$        3.29723656e-01
        4000  $\mathcal{L}_{res}$        9.06671397e-03
        5000  $\mathcal{L}_{res}$        1.12230920e-03
        6000  $\mathcal{L}_{res}$        4.33391225e-04
        7000  $\mathcal{L}_{res}$        2.15120183e-04
        7539  $\mathcal{L}_{res}$        1.62337480e-04
        7821  $\mathcal{L}_{res}$        1.44236922e-04
        7831  $\mathcal{L}_{res}$        1.43590574e-04
        7971  $\mathcal{L}_{res}$        1.31060702e-04
        8158  $\mathcal{L}_{res}$        1.22493508e-04
        8164  $\mathcal{L}_{res}$        1.22402007e-04
        8176  $\mathcal{L}_{res}$        1.21731485e-04
        8182  $\mathcal{L}_{res}$        1.21567533e-04
        8207  $\mathcal{L}_{res}$        1.20959103e-04
        8209  $\mathcal{L}_{res}$        1.20960801e-04
        8247  $\mathcal{L}_{res}$        1.19084276e-04
        8307  $\mathcal{L}_{res}$        1.17273705e-04
        8328  $\mathcal{L}_{res}$        1.15981389e-04
        8371  $\mathcal{L}_{res}$        1.14062923e-04
        8466  $\mathcal{L}_{res}$        1.08961737e-04
        8481  $\mathcal{L}_{res}$        1.08488906e-04
        8496  $\mathcal{L}_{res}$        1.07863772e-04
        8528  $\mathcal{L}_{res}$        1.06659558e-04
        8565  $\mathcal{L}_{res}$        1.05203614e-04
        8629  $\mathcal{L}_{res}$        1.02982698e-04
        8693  $\mathcal{L}_{res}$        1.00623128e-04
        8715  $\mathcal{L}_{res}$        1.00096735e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        6.62214580e-01
         200  $\mathcal{L}_{bc0}$        4.56270723e-01
         400  $\mathcal{L}_{bc0}$        4.33621421e-01
         600  $\mathcal{L}_{bc0}$        4.37391341e-01
         800  $\mathcal{L}_{bc0}$        4.42194792e-01
        1000  $\mathcal{L}_{bc0}$        3.49984821e-01
        1200  $\mathcal{L}_{bc0}$        2.38022337e-01
        1400  $\mathcal{L}_{bc0}$        1.89374564e-01
        1600  $\mathcal{L}_{bc0}$        1.66211490e-01
        1800  $\mathcal{L}_{bc0}$        1.53209009e-01
        2000  $\mathcal{L}_{bc0}$        1.87973121e-01
        2200  $\mathcal{L}_{bc0}$        1.41009492e-01
        2400  $\mathcal{L}_{bc0}$        1.35649567e-01
        2600  $\mathcal{L}_{bc0}$        1.30415085e-01
        2800  $\mathcal{L}_{bc0}$        1.26138846e-01
