Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        9.70706124e+02
         200  $\mathcal{L}_{res}$        1.42513795e+01
         400  $\mathcal{L}_{res}$        6.43224526e+00
         600  $\mathcal{L}_{res}$        4.84228494e+00
         800  $\mathcal{L}_{res}$        3.92188409e+00
        1000  $\mathcal{L}_{res}$        3.58268155e+00
        1200  $\mathcal{L}_{res}$        3.16888445e+00
        1400  $\mathcal{L}_{res}$        2.65924273e+00
        1600  $\mathcal{L}_{res}$        2.24714130e+00
        1800  $\mathcal{L}_{res}$        1.90236449e+00
        2000  $\mathcal{L}_{res}$        2.13219539e+00
        2200  $\mathcal{L}_{res}$        3.16328929e+00
        2400  $\mathcal{L}_{res}$        1.14128473e+00
        2600  $\mathcal{L}_{res}$        9.76133330e-01
        2800  $\mathcal{L}_{res}$        9.59966034e-01
        3000  $\mathcal{L}_{res}$        8.75402349e-01
        3000  $\mathcal{L}_{res}$        8.73295331e-01
        4000  $\mathcal{L}_{res}$        2.68359498e-02
        5000  $\mathcal{L}_{res}$        1.45014742e-02
        6000  $\mathcal{L}_{res}$        1.02785367e-02
        7000  $\mathcal{L}_{res}$        8.14655522e-03
        8000  $\mathcal{L}_{res}$        6.57631031e-03
        9000  $\mathcal{L}_{res}$        4.83593789e-03
       10000  $\mathcal{L}_{res}$        4.37830823e-03
       11000  $\mathcal{L}_{res}$        3.38376779e-03
       12000  $\mathcal{L}_{res}$        2.57068338e-03
       13000  $\mathcal{L}_{res}$        1.92983101e-03
       14000  $\mathcal{L}_{res}$        1.56478702e-03
       15000  $\mathcal{L}_{res}$        1.22908675e-03
       16000  $\mathcal{L}_{res}$        1.03999097e-03
       16148  $\mathcal{L}_{res}$        1.02067943e-03
       16619  $\mathcal{L}_{res}$        9.38490348e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        7.15871796e-01
         200  $\mathcal{L}_{bc0}$        1.04862543e+00
         400  $\mathcal{L}_{bc0}$        9.29842160e-01
         600  $\mathcal{L}_{bc0}$        9.82122816e-01
         800  $\mathcal{L}_{bc0}$        1.03964424e+00
        1000  $\mathcal{L}_{bc0}$        1.04877103e+00
        1200  $\mathcal{L}_{bc0}$        1.06281580e+00
        1400  $\mathcal{L}_{bc0}$        1.02813851e+00
