Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        6.28128754e+01
         200  $\mathcal{L}_{res}$        9.05645039e-01
         400  $\mathcal{L}_{res}$        7.18004121e-01
         600  $\mathcal{L}_{res}$        5.48394683e-01
         800  $\mathcal{L}_{res}$        3.56388531e-01
        1000  $\mathcal{L}_{res}$        2.64393028e-01
        1200  $\mathcal{L}_{res}$        2.56384799e-01
        1400  $\mathcal{L}_{res}$        2.11691812e-01
        1600  $\mathcal{L}_{res}$        2.17921770e-01
        1800  $\mathcal{L}_{res}$        2.86088447e-01
        2000  $\mathcal{L}_{res}$        1.65593373e-01
        2200  $\mathcal{L}_{res}$        1.47526191e-01
        2400  $\mathcal{L}_{res}$        1.38512041e-01
        2600  $\mathcal{L}_{res}$        1.38327696e-01
        2800  $\mathcal{L}_{res}$        1.48828622e-01
        3000  $\mathcal{L}_{res}$        1.09781841e-01
        3000  $\mathcal{L}_{res}$        1.25073530e-01
        4000  $\mathcal{L}_{res}$        8.38715605e-03
        5000  $\mathcal{L}_{res}$        2.73082409e-03
        6000  $\mathcal{L}_{res}$        6.22857227e-04
        7000  $\mathcal{L}_{res}$        2.56414179e-04
        7806  $\mathcal{L}_{res}$        1.58780374e-04
        7903  $\mathcal{L}_{res}$        1.46758968e-04
        7921  $\mathcal{L}_{res}$        1.45922128e-04
        7931  $\mathcal{L}_{res}$        1.45439605e-04
        8027  $\mathcal{L}_{res}$        1.40519982e-04
        8140  $\mathcal{L}_{res}$        1.33796964e-04
        8189  $\mathcal{L}_{res}$        1.30597233e-04
        8329  $\mathcal{L}_{res}$        1.23687800e-04
        8399  $\mathcal{L}_{res}$        1.19390821e-04
        8553  $\mathcal{L}_{res}$        1.12140510e-04
        8692  $\mathcal{L}_{res}$        1.04391820e-04
        8743  $\mathcal{L}_{res}$        1.01130281e-04
        8854  $\mathcal{L}_{res}$        9.15603480e-05
        8895  $\mathcal{L}_{res}$        9.02768682e-05
        8903  $\mathcal{L}_{res}$        8.99957080e-05
        8913  $\mathcal{L}_{res}$        8.98472652e-05
        8945  $\mathcal{L}_{res}$        8.87190160e-05
        9040  $\mathcal{L}_{res}$        8.50975350e-05
        9131  $\mathcal{L}_{res}$        8.10736735e-05
        9187  $\mathcal{L}_{res}$        7.91791378e-05
        9219  $\mathcal{L}_{res}$        7.82294810e-05
        9236  $\mathcal{L}_{res}$        7.77647336e-05
        9247  $\mathcal{L}_{res}$        7.75197666e-05
        9327  $\mathcal{L}_{res}$        7.53075170e-05
        9378  $\mathcal{L}_{res}$        7.29665781e-05
        9399  $\mathcal{L}_{res}$        7.22065615e-05
        9402  $\mathcal{L}_{res}$        7.20997244e-05
        9411  $\mathcal{L}_{res}$        7.18885178e-05
        9474  $\mathcal{L}_{res}$        6.98594230e-05
        9592  $\mathcal{L}_{res}$        6.35771988e-05
        9627  $\mathcal{L}_{res}$        6.25321826e-05
        9630  $\mathcal{L}_{res}$        6.24930304e-05
        9654  $\mathcal{L}_{res}$        6.18226979e-05
        9681  $\mathcal{L}_{res}$        6.03130180e-05
        9740  $\mathcal{L}_{res}$        5.82198990e-05
        9744  $\mathcal{L}_{res}$        5.81357443e-05
        9748  $\mathcal{L}_{res}$        5.80760415e-05
        9751  $\mathcal{L}_{res}$        5.80660535e-05
        9753  $\mathcal{L}_{res}$        5.80605822e-05
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.34509432e+00
         200  $\mathcal{L}_{bc0}$        4.58009151e-01
         400  $\mathcal{L}_{bc0}$        4.59634686e-01
         600  $\mathcal{L}_{bc0}$        4.51603089e-01
         800  $\mathcal{L}_{bc0}$        3.36729602e-01
        1000  $\mathcal{L}_{bc0}$        2.69128764e-01
        1200  $\mathcal{L}_{bc0}$        2.35010689e-01
        1400  $\mathcal{L}_{bc0}$        2.18208518e-01
        1600  $\mathcal{L}_{bc0}$        2.03691821e-01
        1800  $\mathcal{L}_{bc0}$        1.98919289e-01
        2000  $\mathcal{L}_{bc0}$        1.78895418e-01
        2200  $\mathcal{L}_{bc0}$        1.71885942e-01
        2400  $\mathcal{L}_{bc0}$        1.69671049e-01
        2600  $\mathcal{L}_{bc0}$        1.67630491e-01
        2800  $\mathcal{L}_{bc0}$        1.64037745e-01
        3000  $\mathcal{L}_{bc0}$        1.58623392e-01
        3000  $\mathcal{L}_{bc0}$        1.58623392e-01
        4000  $\mathcal{L}_{bc0}$        1.62293759e-02
        5000  $\mathcal{L}_{bc0}$        3.04475043e-04
        6000  $\mathcal{L}_{bc0}$        5.27414070e-05
        7000  $\mathcal{L}_{bc0}$        3.86859381e-05
        7806  $\mathcal{L}_{bc0}$        2.76898262e-05
        7903  $\mathcal{L}_{bc0}$        2.78169540e-05
        7921  $\mathcal{L}_{bc0}$        2.75030966e-05
        7931  $\mathcal{L}_{bc0}$        2.76824913e-05
        8027  $\mathcal{L}_{bc0}$        2.64906100e-05
        8140  $\mathcal{L}_{bc0}$        2.53218825e-05
        8189  $\mathcal{L}_{bc0}$        2.50038030e-05
        8329  $\mathcal{L}_{bc0}$        2.34277119e-05
        8399  $\mathcal{L}_{bc0}$        2.22219016e-05
        8553  $\mathcal{L}_{bc0}$        2.16479643e-05
        8692  $\mathcal{L}_{bc0}$        2.10697443e-05
        8743  $\mathcal{L}_{bc0}$        2.06921829e-05
        8854  $\mathcal{L}_{bc0}$        2.04903045e-05
