Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        2.85834757e+02
         200  $\mathcal{L}_{res}$        4.98124629e+00
         400  $\mathcal{L}_{res}$        3.40478520e+00
         600  $\mathcal{L}_{res}$        2.71396571e+00
         800  $\mathcal{L}_{res}$        2.25542439e+00
        1000  $\mathcal{L}_{res}$        1.59650346e+00
        1200  $\mathcal{L}_{res}$        1.40296042e+00
        1400  $\mathcal{L}_{res}$        8.91856780e-01
        1600  $\mathcal{L}_{res}$        7.79801576e-01
        1800  $\mathcal{L}_{res}$        7.52269964e-01
        2000  $\mathcal{L}_{res}$        5.72717589e-01
        2200  $\mathcal{L}_{res}$        6.32850533e-01
        2400  $\mathcal{L}_{res}$        4.40331234e-01
        2600  $\mathcal{L}_{res}$        4.89485172e-01
        2800  $\mathcal{L}_{res}$        4.11682516e-01
        3000  $\mathcal{L}_{res}$        3.67676436e-01
        3000  $\mathcal{L}_{res}$        4.00433678e-01
        4000  $\mathcal{L}_{res}$        3.77415351e-02
        5000  $\mathcal{L}_{res}$        1.99630012e-02
        6000  $\mathcal{L}_{res}$        9.33960930e-03
        7000  $\mathcal{L}_{res}$        4.04348522e-03
        8000  $\mathcal{L}_{res}$        2.52694819e-03
        9000  $\mathcal{L}_{res}$        1.61411643e-03
       10000  $\mathcal{L}_{res}$        1.01526819e-03
       11000  $\mathcal{L}_{res}$        6.38001134e-04
       11388  $\mathcal{L}_{res}$        5.51022348e-04
       11573  $\mathcal{L}_{res}$        5.18687116e-04
       11682  $\mathcal{L}_{res}$        5.04016787e-04
       11691  $\mathcal{L}_{res}$        5.02035260e-04
       11912  $\mathcal{L}_{res}$        4.69902706e-04
       11971  $\mathcal{L}_{res}$        4.62776469e-04
       12086  $\mathcal{L}_{res}$        4.49079234e-04
       12185  $\mathcal{L}_{res}$        4.33677016e-04
       12258  $\mathcal{L}_{res}$        4.25315754e-04
       12310  $\mathcal{L}_{res}$        4.19082657e-04
       12340  $\mathcal{L}_{res}$        4.15444750e-04
       12367  $\mathcal{L}_{res}$        4.11742125e-04
       12408  $\mathcal{L}_{res}$        4.08971650e-04
       12413  $\mathcal{L}_{res}$        4.08636237e-04
       12415  $\mathcal{L}_{res}$        4.08619853e-04
       12537  $\mathcal{L}_{res}$        3.95682268e-04
       12700  $\mathcal{L}_{res}$        3.70424896e-04
       12747  $\mathcal{L}_{res}$        3.65411264e-04
       12756  $\mathcal{L}_{res}$        3.64921187e-04
       12758  $\mathcal{L}_{res}$        3.64936410e-04
       12907  $\mathcal{L}_{res}$        3.53243318e-04
       13090  $\mathcal{L}_{res}$        3.35468314e-04
       13100  $\mathcal{L}_{res}$        3.34446387e-04
       13124  $\mathcal{L}_{res}$        3.33461978e-04
       13136  $\mathcal{L}_{res}$        3.33054859e-04
       13153  $\mathcal{L}_{res}$        3.31901174e-04
       13163  $\mathcal{L}_{res}$        3.30662467e-04
       13204  $\mathcal{L}_{res}$        3.28639051e-04
       13219  $\mathcal{L}_{res}$        3.27438197e-04
       13250  $\mathcal{L}_{res}$        3.25552274e-04
       13288  $\mathcal{L}_{res}$        3.22990122e-04
       13293  $\mathcal{L}_{res}$        3.22672694e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        2.00912573e+00
         200  $\mathcal{L}_{bc0}$        9.95360894e-01
         400  $\mathcal{L}_{bc0}$        9.93520751e-01
         600  $\mathcal{L}_{bc0}$        9.96116188e-01
         800  $\mathcal{L}_{bc0}$        8.90377474e-01
        1000  $\mathcal{L}_{bc0}$        6.60008229e-01
        1200  $\mathcal{L}_{bc0}$        3.03415630e-01
        1400  $\mathcal{L}_{bc0}$        1.99643419e-01
        1600  $\mathcal{L}_{bc0}$        1.68993452e-01
        1800  $\mathcal{L}_{bc0}$        1.56536574e-01
        2000  $\mathcal{L}_{bc0}$        1.49866114e-01
        2200  $\mathcal{L}_{bc0}$        1.40602344e-01
        2400  $\mathcal{L}_{bc0}$        1.35351986e-01
        2600  $\mathcal{L}_{bc0}$        1.36308439e-01
        2800  $\mathcal{L}_{bc0}$        1.32640263e-01
        3000  $\mathcal{L}_{bc0}$        1.30649886e-01
        3000  $\mathcal{L}_{bc0}$        1.30649886e-01
        4000  $\mathcal{L}_{bc0}$        5.86079720e-02
        5000  $\mathcal{L}_{bc0}$        2.02881050e-02
        6000  $\mathcal{L}_{bc0}$        8.68066523e-03
        7000  $\mathcal{L}_{bc0}$        4.06507436e-03
        8000  $\mathcal{L}_{bc0}$        1.29755753e-03
        9000  $\mathcal{L}_{bc0}$        4.15573118e-04
       10000  $\mathcal{L}_{bc0}$        1.67270540e-04
       11000  $\mathcal{L}_{bc0}$        1.13406184e-04
