Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        5.17898124e+02
         200  $\mathcal{L}_{res}$        4.48936163e+00
         400  $\mathcal{L}_{res}$        3.03316611e+00
         600  $\mathcal{L}_{res}$        2.40089099e+00
         800  $\mathcal{L}_{res}$        1.87923402e+00
        1000  $\mathcal{L}_{res}$        1.30888511e+00
        1200  $\mathcal{L}_{res}$        1.01611849e+00
        1400  $\mathcal{L}_{res}$        7.82235987e-01
        1600  $\mathcal{L}_{res}$        9.06938827e-01
        1800  $\mathcal{L}_{res}$        6.14329362e-01
        2000  $\mathcal{L}_{res}$        5.39861691e-01
        2200  $\mathcal{L}_{res}$        4.27687570e-01
        2400  $\mathcal{L}_{res}$        4.41243150e-01
        2600  $\mathcal{L}_{res}$        3.07449860e-01
        2800  $\mathcal{L}_{res}$        3.10406100e-01
        3000  $\mathcal{L}_{res}$        5.94119638e-01
        3000  $\mathcal{L}_{res}$        4.71352021e-01
        4000  $\mathcal{L}_{res}$        1.30050694e-02
        5000  $\mathcal{L}_{res}$        5.44602395e-03
        6000  $\mathcal{L}_{res}$        3.27413930e-03
        7000  $\mathcal{L}_{res}$        1.43537246e-03
        8000  $\mathcal{L}_{res}$        6.23150650e-04
        9000  $\mathcal{L}_{res}$        3.62580474e-04
        9602  $\mathcal{L}_{res}$        2.69860581e-04
        9770  $\mathcal{L}_{res}$        2.45338407e-04
        9772  $\mathcal{L}_{res}$        2.45292876e-04
        9784  $\mathcal{L}_{res}$        2.43669236e-04
       10064  $\mathcal{L}_{res}$        2.11864508e-04
       10141  $\mathcal{L}_{res}$        2.03806913e-04
       10164  $\mathcal{L}_{res}$        2.01221455e-04
       10231  $\mathcal{L}_{res}$        1.96159307e-04
       10390  $\mathcal{L}_{res}$        1.83390199e-04
       10520  $\mathcal{L}_{res}$        1.77337265e-04
       10577  $\mathcal{L}_{res}$        1.75357703e-04
       10672  $\mathcal{L}_{res}$        1.70398454e-04
       10740  $\mathcal{L}_{res}$        1.66411169e-04
       10752  $\mathcal{L}_{res}$        1.65622900e-04
       10794  $\mathcal{L}_{res}$        1.62844874e-04
       10830  $\mathcal{L}_{res}$        1.61074333e-04
       10905  $\mathcal{L}_{res}$        1.57309593e-04
       11118  $\mathcal{L}_{res}$        1.45462461e-04
       11125  $\mathcal{L}_{res}$        1.45219507e-04
       11133  $\mathcal{L}_{res}$        1.44807536e-04
       11175  $\mathcal{L}_{res}$        1.42259780e-04
       11274  $\mathcal{L}_{res}$        1.37791534e-04
       11350  $\mathcal{L}_{res}$        1.33386937e-04
       11359  $\mathcal{L}_{res}$        1.32992866e-04
       11389  $\mathcal{L}_{res}$        1.32052787e-04
       11392  $\mathcal{L}_{res}$        1.31927603e-04
       11399  $\mathcal{L}_{res}$        1.31791777e-04
       11417  $\mathcal{L}_{res}$        1.31564934e-04
       11422  $\mathcal{L}_{res}$        1.31500088e-04
       11447  $\mathcal{L}_{res}$        1.30288627e-04
       11461  $\mathcal{L}_{res}$        1.29896986e-04
       11470  $\mathcal{L}_{res}$        1.29652885e-04
       11504  $\mathcal{L}_{res}$        1.28494198e-04
       11514  $\mathcal{L}_{res}$        1.28286847e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        5.74852299e-01
         200  $\mathcal{L}_{bc0}$        8.03562224e-01
         400  $\mathcal{L}_{bc0}$        7.11665198e-01
         600  $\mathcal{L}_{bc0}$        6.64619134e-01
         800  $\mathcal{L}_{bc0}$        4.65077394e-01
        1000  $\mathcal{L}_{bc0}$        1.50683110e-01
        1200  $\mathcal{L}_{bc0}$        1.04302750e-01
        1400  $\mathcal{L}_{bc0}$        9.00878973e-02
        1600  $\mathcal{L}_{bc0}$        9.31947030e-02
        1800  $\mathcal{L}_{bc0}$        8.24844089e-02
        2000  $\mathcal{L}_{bc0}$        8.03719194e-02
        2200  $\mathcal{L}_{bc0}$        7.57951224e-02
        2400  $\mathcal{L}_{bc0}$        8.08090451e-02
        2600  $\mathcal{L}_{bc0}$        7.58168110e-02
        2800  $\mathcal{L}_{bc0}$        7.56194515e-02
        3000  $\mathcal{L}_{bc0}$        7.27057457e-02
        3000  $\mathcal{L}_{bc0}$        7.27057457e-02
        4000  $\mathcal{L}_{bc0}$        1.22205378e-02
        5000  $\mathcal{L}_{bc0}$        5.67031379e-03
        6000  $\mathcal{L}_{bc0}$        2.13864459e-03
        7000  $\mathcal{L}_{bc0}$        3.80696611e-04
        8000  $\mathcal{L}_{bc0}$        1.69583289e-04
        9000  $\mathcal{L}_{bc0}$        1.06698981e-04
        9602  $\mathcal{L}_{bc0}$        6.69065912e-05
        9770  $\mathcal{L}_{bc0}$        5.91863167e-05
        9772  $\mathcal{L}_{bc0}$        5.91374207e-05
        9784  $\mathcal{L}_{bc0}$        5.97084308e-05
       10064  $\mathcal{L}_{bc0}$        5.20081048e-05
       10141  $\mathcal{L}_{bc0}$        4.91344718e-05
       10164  $\mathcal{L}_{bc0}$        4.81405188e-05
       10231  $\mathcal{L}_{bc0}$        4.56579748e-05
       10390  $\mathcal{L}_{bc0}$        3.98079298e-05
