Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        1.42119741e+03
         200  $\mathcal{L}_{res}$        1.21380239e+01
         400  $\mathcal{L}_{res}$        7.21801215e+00
         600  $\mathcal{L}_{res}$        5.63381101e+00
         800  $\mathcal{L}_{res}$        4.71614728e+00
        1000  $\mathcal{L}_{res}$        4.20213276e+00
        1200  $\mathcal{L}_{res}$        3.48951670e+00
        1400  $\mathcal{L}_{res}$        2.94803845e+00
        1600  $\mathcal{L}_{res}$        2.45522041e+00
        1800  $\mathcal{L}_{res}$        2.09202877e+00
        2000  $\mathcal{L}_{res}$        2.31473778e+00
        2200  $\mathcal{L}_{res}$        1.64320302e+00
        2400  $\mathcal{L}_{res}$        1.84452480e+00
        2600  $\mathcal{L}_{res}$        1.22154173e+00
        2800  $\mathcal{L}_{res}$        1.16225849e+00
        3000  $\mathcal{L}_{res}$        1.04629262e+00
        3000  $\mathcal{L}_{res}$        1.11201633e+00
        4000  $\mathcal{L}_{res}$        3.51272187e-02
        5000  $\mathcal{L}_{res}$        2.81712917e-02
        6000  $\mathcal{L}_{res}$        2.22963380e-02
        7000  $\mathcal{L}_{res}$        1.85716797e-02
        8000  $\mathcal{L}_{res}$        1.15711965e-02
        9000  $\mathcal{L}_{res}$        8.25322900e-03
       10000  $\mathcal{L}_{res}$        5.99360146e-03
       11000  $\mathcal{L}_{res}$        4.70869874e-03
       12000  $\mathcal{L}_{res}$        3.72755733e-03
       13000  $\mathcal{L}_{res}$        2.94736140e-03
       14000  $\mathcal{L}_{res}$        2.97052066e-03
       15000  $\mathcal{L}_{res}$        2.84821599e-03
       16000  $\mathcal{L}_{res}$        2.41226739e-03
       17000  $\mathcal{L}_{res}$        1.55888542e-03
       17590  $\mathcal{L}_{res}$        1.31057221e-03
       17973  $\mathcal{L}_{res}$        1.16516478e-03
       18360  $\mathcal{L}_{res}$        1.06631226e-03
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        2.26590916e+00
         200  $\mathcal{L}_{bc0}$        1.20543962e+00
         400  $\mathcal{L}_{bc0}$        1.29163215e+00
         600  $\mathcal{L}_{bc0}$        1.36960780e+00
         800  $\mathcal{L}_{bc0}$        1.40557224e+00
        1000  $\mathcal{L}_{bc0}$        1.37891430e+00
        1200  $\mathcal{L}_{bc0}$        1.30021059e+00
        1400  $\mathcal{L}_{bc0}$        1.06050110e+00
        1600  $\mathcal{L}_{bc0}$        6.18521735e-01
        1800  $\mathcal{L}_{bc0}$        3.26557187e-01
        2000  $\mathcal{L}_{bc0}$        2.28427196e-01
        2200  $\mathcal{L}_{bc0}$        1.91735280e-01
        2400  $\mathcal{L}_{bc0}$        1.80779623e-01
        2600  $\mathcal{L}_{bc0}$        1.58852612e-01
        2800  $\mathcal{L}_{bc0}$        1.56287747e-01
        3000  $\mathcal{L}_{bc0}$        1.48112712e-01
        3000  $\mathcal{L}_{bc0}$        1.48112712e-01
        4000  $\mathcal{L}_{bc0}$        8.91100965e-02
        5000  $\mathcal{L}_{bc0}$        5.88389466e-02
        6000  $\mathcal{L}_{bc0}$        4.14382139e-02
