Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        1.59940062e+01
         200  $\mathcal{L}_{res}$        4.61977731e-01
         400  $\mathcal{L}_{res}$        2.89084025e-01
         600  $\mathcal{L}_{res}$        1.78304009e-01
         800  $\mathcal{L}_{res}$        1.29993466e-01
        1000  $\mathcal{L}_{res}$        1.21659730e-01
        1200  $\mathcal{L}_{res}$        1.04962495e-01
        1400  $\mathcal{L}_{res}$        8.59394967e-02
        1600  $\mathcal{L}_{res}$        7.59126698e-02
        1800  $\mathcal{L}_{res}$        6.99172758e-02
        2000  $\mathcal{L}_{res}$        6.83933931e-02
        2200  $\mathcal{L}_{res}$        5.66209761e-02
        2400  $\mathcal{L}_{res}$        5.18481272e-02
        2600  $\mathcal{L}_{res}$        4.26063625e-02
        2800  $\mathcal{L}_{res}$        3.83624919e-02
        3000  $\mathcal{L}_{res}$        3.81446573e-02
        3000  $\mathcal{L}_{res}$        4.38887773e-02
        4000  $\mathcal{L}_{res}$        5.92292789e-04
        4887  $\mathcal{L}_{res}$        1.83553368e-04
        5134  $\mathcal{L}_{res}$        1.52899047e-04
        5159  $\mathcal{L}_{res}$        1.50882856e-04
        5168  $\mathcal{L}_{res}$        1.50176931e-04
        5394  $\mathcal{L}_{res}$        1.26168700e-04
        5403  $\mathcal{L}_{res}$        1.25791023e-04
        5422  $\mathcal{L}_{res}$        1.24759631e-04
        5464  $\mathcal{L}_{res}$        1.21843447e-04
        5538  $\mathcal{L}_{res}$        1.14323061e-04
        5547  $\mathcal{L}_{res}$        1.13986527e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        3.96574062e-01
         200  $\mathcal{L}_{bc0}$        4.44246856e-01
         400  $\mathcal{L}_{bc0}$        3.16247995e-01
         600  $\mathcal{L}_{bc0}$        1.95515384e-01
         800  $\mathcal{L}_{bc0}$        1.65944537e-01
        1000  $\mathcal{L}_{bc0}$        1.49112179e-01
        1200  $\mathcal{L}_{bc0}$        1.37054660e-01
        1400  $\mathcal{L}_{bc0}$        1.34352155e-01
        1600  $\mathcal{L}_{bc0}$        1.25426774e-01
        1800  $\mathcal{L}_{bc0}$        1.22309196e-01
        2000  $\mathcal{L}_{bc0}$        1.20913291e-01
        2200  $\mathcal{L}_{bc0}$        1.15243210e-01
        2400  $\mathcal{L}_{bc0}$        1.08794491e-01
        2600  $\mathcal{L}_{bc0}$        1.03615425e-01
        2800  $\mathcal{L}_{bc0}$        9.88250933e-02
        3000  $\mathcal{L}_{bc0}$        8.73611401e-02
        3000  $\mathcal{L}_{bc0}$        8.73611401e-02
        4000  $\mathcal{L}_{bc0}$        9.52674436e-05
        4887  $\mathcal{L}_{bc0}$        1.90770218e-05
        5134  $\mathcal{L}_{bc0}$        1.39423143e-05
        5159  $\mathcal{L}_{bc0}$        1.41686448e-05
        5168  $\mathcal{L}_{bc0}$        1.41377690e-05
        5394  $\mathcal{L}_{bc0}$        1.14334641e-05
        5403  $\mathcal{L}_{bc0}$        1.13328312e-05
        5422  $\mathcal{L}_{bc0}$        1.13659036e-05
        5464  $\mathcal{L}_{bc0}$        1.07946755e-05
        5538  $\mathcal{L}_{bc0}$        1.00724794e-05
        5547  $\mathcal{L}_{bc0}$        9.99704055e-06
--------------------------------------------------
           0     test loss        1.50883268e+01
         200     test loss        5.97880564e-01
         400     test loss        3.79741228e-01
         600     test loss        2.34425359e-01
         800     test loss        2.00392305e-01
        1000     test loss        1.79856957e-01
        1200     test loss        1.61052084e-01
        1400     test loss        1.57782723e-01
        1600     test loss        1.44075954e-01
        1800     test loss        1.39586188e-01
        2000     test loss        1.38161537e-01
        2200     test loss        1.29667057e-01
        2400     test loss        1.22138872e-01
        2600     test loss        1.15110860e-01
        2800     test loss        1.08686018e-01
        3000     test loss        9.53850454e-02
        3000     test loss        9.53850454e-02
        4000     test loss        2.92390298e-04
        4887     test loss        6.15052710e-05
        5134     test loss        6.63756299e-05
        5159     test loss        6.56632141e-05
        5168     test loss        6.49234931e-05
        5394     test loss        5.82337204e-05
        5403     test loss        5.94171997e-05
        5422     test loss        5.66641849e-05
        5464     test loss        5.50062125e-05
        5538     test loss        5.64032964e-05
        5547     test loss        5.62709959e-05
--------------------------------------------------
           0    train loss        1.63905803e+01
         200    train loss        9.06224587e-01
         400    train loss        6.05332020e-01
         600    train loss        3.73819393e-01
         800    train loss        2.95938003e-01
        1000    train loss        2.70771909e-01
        1200    train loss        2.42017155e-01
        1400    train loss        2.20291652e-01
        1600    train loss        2.01339444e-01
        1800    train loss        1.92226472e-01
        2000    train loss        1.89306684e-01
        2200    train loss        1.71864186e-01
        2400    train loss        1.60642618e-01
        2600    train loss        1.46221787e-01
        2800    train loss        1.37187585e-01
        3000    train loss        1.25505797e-01
        3000    train loss        1.31249917e-01
        4000    train loss        6.87560233e-04
        4887    train loss        2.02630390e-04
        5134    train loss        1.66841361e-04
        5159    train loss        1.65051501e-04
        5168    train loss        1.64314700e-04
        5394    train loss        1.37602165e-04
        5403    train loss        1.37123855e-04
        5422    train loss        1.36125535e-04
        5464    train loss        1.32638122e-04
        5538    train loss        1.24395540e-04
        5547    train loss        1.23983568e-04
--------------------------------------------------
