Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        5.51105894e+02
         200  $\mathcal{L}_{res}$        4.88935192e+00
         400  $\mathcal{L}_{res}$        2.90994343e+00
         600  $\mathcal{L}_{res}$        2.47432079e+00
         800  $\mathcal{L}_{res}$        2.04397938e+00
        1000  $\mathcal{L}_{res}$        1.78051951e+00
        1200  $\mathcal{L}_{res}$        1.55678841e+00
        1400  $\mathcal{L}_{res}$        1.30762260e+00
        1600  $\mathcal{L}_{res}$        1.05481325e+00
        1800  $\mathcal{L}_{res}$        9.34552459e-01
        2000  $\mathcal{L}_{res}$        5.91961390e-01
        2200  $\mathcal{L}_{res}$        4.63736271e-01
        2400  $\mathcal{L}_{res}$        4.23687394e-01
        2600  $\mathcal{L}_{res}$        3.62215684e-01
        2800  $\mathcal{L}_{res}$        3.03052423e-01
        3000  $\mathcal{L}_{res}$        3.71921852e-01
        3000  $\mathcal{L}_{res}$        3.16333200e-01
        4000  $\mathcal{L}_{res}$        1.59182129e-02
        5000  $\mathcal{L}_{res}$        1.29086730e-02
        6000  $\mathcal{L}_{res}$        6.16756000e-03
        7000  $\mathcal{L}_{res}$        2.85316616e-03
        8000  $\mathcal{L}_{res}$        1.64996790e-03
        9000  $\mathcal{L}_{res}$        1.03664875e-03
        9162  $\mathcal{L}_{res}$        9.51582549e-04
        9477  $\mathcal{L}_{res}$        8.43084966e-04
       10026  $\mathcal{L}_{res}$        7.22558339e-04
       10272  $\mathcal{L}_{res}$        6.91285202e-04
       10279  $\mathcal{L}_{res}$        6.91650391e-04
       10565  $\mathcal{L}_{res}$        6.41563986e-04
       10712  $\mathcal{L}_{res}$        6.16469393e-04
       10803  $\mathcal{L}_{res}$        6.09088136e-04
       10981  $\mathcal{L}_{res}$        5.84570885e-04
       11051  $\mathcal{L}_{res}$        5.74367281e-04
       11067  $\mathcal{L}_{res}$        5.71722833e-04
       11103  $\mathcal{L}_{res}$        5.69581208e-04
       11162  $\mathcal{L}_{res}$        5.63917407e-04
       11414  $\mathcal{L}_{res}$        5.35403669e-04
       11511  $\mathcal{L}_{res}$        5.28222795e-04
       11565  $\mathcal{L}_{res}$        5.23708251e-04
       11604  $\mathcal{L}_{res}$        5.20622565e-04
       11653  $\mathcal{L}_{res}$        5.16972409e-04
       11775  $\mathcal{L}_{res}$        5.05813198e-04
       11778  $\mathcal{L}_{res}$        5.05507385e-04
       11817  $\mathcal{L}_{res}$        5.01577949e-04
       11834  $\mathcal{L}_{res}$        5.00078964e-04
       11873  $\mathcal{L}_{res}$        4.95037811e-04
       11909  $\mathcal{L}_{res}$        4.91855798e-04
       11952  $\mathcal{L}_{res}$        4.85133120e-04
       11991  $\mathcal{L}_{res}$        4.80730595e-04
       12029  $\mathcal{L}_{res}$        4.75969937e-04
       12220  $\mathcal{L}_{res}$        4.56663110e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        4.24854886e-01
         200  $\mathcal{L}_{bc0}$        7.29761794e-01
         400  $\mathcal{L}_{bc0}$        6.39350379e-01
         600  $\mathcal{L}_{bc0}$        6.64130406e-01
         800  $\mathcal{L}_{bc0}$        6.96691749e-01
        1000  $\mathcal{L}_{bc0}$        7.24164954e-01
        1200  $\mathcal{L}_{bc0}$        7.33501309e-01
        1400  $\mathcal{L}_{bc0}$        6.97983147e-01
        1600  $\mathcal{L}_{bc0}$        5.32427302e-01
        1800  $\mathcal{L}_{bc0}$        2.63010454e-01
        2000  $\mathcal{L}_{bc0}$        1.85729091e-01
        2200  $\mathcal{L}_{bc0}$        1.48606857e-01
        2400  $\mathcal{L}_{bc0}$        1.31195117e-01
        2600  $\mathcal{L}_{bc0}$        1.26573562e-01
        2800  $\mathcal{L}_{bc0}$        1.20360697e-01
        3000  $\mathcal{L}_{bc0}$        1.12460361e-01
        3000  $\mathcal{L}_{bc0}$        1.12460361e-01
        4000  $\mathcal{L}_{bc0}$        3.81332984e-02
        5000  $\mathcal{L}_{bc0}$        1.40804487e-02
        6000  $\mathcal{L}_{bc0}$        2.76320119e-03
        7000  $\mathcal{L}_{bc0}$        5.68622376e-04
