Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        1.08407079e+03
         200  $\mathcal{L}_{res}$        9.14191393e+00
         400  $\mathcal{L}_{res}$        5.37083754e+00
         600  $\mathcal{L}_{res}$        4.30783317e+00
         800  $\mathcal{L}_{res}$        3.58802909e+00
        1000  $\mathcal{L}_{res}$        3.08504225e+00
        1200  $\mathcal{L}_{res}$        2.37037851e+00
        1400  $\mathcal{L}_{res}$        1.72557645e+00
        1600  $\mathcal{L}_{res}$        1.45465477e+00
        1800  $\mathcal{L}_{res}$        1.04679746e+00
        2000  $\mathcal{L}_{res}$        7.73841979e-01
        2200  $\mathcal{L}_{res}$        5.63031108e-01
        2400  $\mathcal{L}_{res}$        5.54788991e-01
        2600  $\mathcal{L}_{res}$        5.08507165e-01
        2800  $\mathcal{L}_{res}$        5.32756735e-01
        3000  $\mathcal{L}_{res}$        5.27780054e-01
        3000  $\mathcal{L}_{res}$        4.92751228e-01
        4000  $\mathcal{L}_{res}$        2.23169541e-02
        5000  $\mathcal{L}_{res}$        1.24812419e-02
        6000  $\mathcal{L}_{res}$        9.45574477e-03
        7000  $\mathcal{L}_{res}$        8.81322204e-03
        8000  $\mathcal{L}_{res}$        6.17668525e-03
        9000  $\mathcal{L}_{res}$        4.19076373e-03
       10000  $\mathcal{L}_{res}$        2.96596184e-03
       11000  $\mathcal{L}_{res}$        2.44762202e-03
       12000  $\mathcal{L}_{res}$        2.54609669e-03
       13000  $\mathcal{L}_{res}$        1.60827378e-03
       14000  $\mathcal{L}_{res}$        1.02532600e-03
       15000  $\mathcal{L}_{res}$        7.70685161e-04
       15673  $\mathcal{L}_{res}$        6.25631676e-04
       16226  $\mathcal{L}_{res}$        5.65346768e-04
       16525  $\mathcal{L}_{res}$        5.28467698e-04
       16583  $\mathcal{L}_{res}$        5.17674513e-04
       16594  $\mathcal{L}_{res}$        5.17119871e-04
       16788  $\mathcal{L}_{res}$        4.95406319e-04
       16901  $\mathcal{L}_{res}$        4.80310607e-04
       16910  $\mathcal{L}_{res}$        4.79636869e-04
       16965  $\mathcal{L}_{res}$        4.76495240e-04
       17040  $\mathcal{L}_{res}$        4.65394000e-04
       17344  $\mathcal{L}_{res}$        4.28909778e-04
       17423  $\mathcal{L}_{res}$        4.19179001e-04
       17462  $\mathcal{L}_{res}$        4.15547386e-04
       17521  $\mathcal{L}_{res}$        4.11933095e-04
       17536  $\mathcal{L}_{res}$        4.10051827e-04
       17643  $\mathcal{L}_{res}$        4.04346842e-04
       17685  $\mathcal{L}_{res}$        3.99739238e-04
       17894  $\mathcal{L}_{res}$        3.84073141e-04
