Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        7.96791397e+02
         200  $\mathcal{L}_{res}$        5.58716685e+00
         400  $\mathcal{L}_{res}$        3.99573688e+00
         600  $\mathcal{L}_{res}$        3.16977702e+00
         800  $\mathcal{L}_{res}$        2.73039775e+00
        1000  $\mathcal{L}_{res}$        2.26885327e+00
        1200  $\mathcal{L}_{res}$        1.75724300e+00
        1400  $\mathcal{L}_{res}$        1.33583837e+00
        1600  $\mathcal{L}_{res}$        9.38795093e-01
        1800  $\mathcal{L}_{res}$        8.99808578e-01
        2000  $\mathcal{L}_{res}$        6.80493411e-01
        2200  $\mathcal{L}_{res}$        6.21474979e-01
        2400  $\mathcal{L}_{res}$        6.21268474e-01
        2600  $\mathcal{L}_{res}$        4.25549659e-01
        2800  $\mathcal{L}_{res}$        4.03486280e-01
        3000  $\mathcal{L}_{res}$        4.29709048e-01
        3000  $\mathcal{L}_{res}$        4.23491458e-01
        4000  $\mathcal{L}_{res}$        1.62943227e-02
        5000  $\mathcal{L}_{res}$        1.02386027e-02
        6000  $\mathcal{L}_{res}$        8.78506481e-03
        7000  $\mathcal{L}_{res}$        1.10053270e-02
        8000  $\mathcal{L}_{res}$        5.97047059e-03
        9000  $\mathcal{L}_{res}$        2.99690808e-03
       10000  $\mathcal{L}_{res}$        1.88806726e-03
       10717  $\mathcal{L}_{res}$        1.39156985e-03
       10734  $\mathcal{L}_{res}$        1.38805786e-03
       11184  $\mathcal{L}_{res}$        1.15583372e-03
       11535  $\mathcal{L}_{res}$        1.00962104e-03
       12464  $\mathcal{L}_{res}$        7.65436181e-04
       12898  $\mathcal{L}_{res}$        6.84726360e-04
       13268  $\mathcal{L}_{res}$        6.22033541e-04
       13288  $\mathcal{L}_{res}$        6.18581139e-04
       13662  $\mathcal{L}_{res}$        5.51694160e-04
       13780  $\mathcal{L}_{res}$        5.32352752e-04
       13869  $\mathcal{L}_{res}$        5.19549783e-04
       13889  $\mathcal{L}_{res}$        5.17991004e-04
       14006  $\mathcal{L}_{res}$        5.05382571e-04
       14034  $\mathcal{L}_{res}$        5.02441702e-04
       14047  $\mathcal{L}_{res}$        5.01042703e-04
       14065  $\mathcal{L}_{res}$        4.99339668e-04
       14140  $\mathcal{L}_{res}$        4.89084537e-04
       14367  $\mathcal{L}_{res}$        4.57424205e-04
       14474  $\mathcal{L}_{res}$        4.44245966e-04
       14478  $\mathcal{L}_{res}$        4.43847749e-04
       14480  $\mathcal{L}_{res}$        4.43723728e-04
       14486  $\mathcal{L}_{res}$        4.43307027e-04
       14535  $\mathcal{L}_{res}$        4.36868014e-04
       14683  $\mathcal{L}_{res}$        4.23117997e-04
       14692  $\mathcal{L}_{res}$        4.22476987e-04
       14818  $\mathcal{L}_{res}$        4.08805123e-04
       14929  $\mathcal{L}_{res}$        3.97836882e-04
       14936  $\mathcal{L}_{res}$        3.97478900e-04
       14938  $\mathcal{L}_{res}$        3.97448358e-04
       14985  $\mathcal{L}_{res}$        3.94199123e-04
       15066  $\mathcal{L}_{res}$        3.86872003e-04
       15185  $\mathcal{L}_{res}$        3.73136061e-04
       15268  $\mathcal{L}_{res}$        3.67900196e-04
       15273  $\mathcal{L}_{res}$        3.67830579e-04
       15275  $\mathcal{L}_{res}$        3.67756556e-04
       15289  $\mathcal{L}_{res}$        3.66902797e-04
       15330  $\mathcal{L}_{res}$        3.64405315e-04
       15356  $\mathcal{L}_{res}$        3.62270613e-04
       15425  $\mathcal{L}_{res}$        3.55651406e-04
       15438  $\mathcal{L}_{res}$        3.54575891e-04
       15547  $\mathcal{L}_{res}$        3.45512731e-04
       15661  $\mathcal{L}_{res}$        3.35993405e-04
       15688  $\mathcal{L}_{res}$        3.34951653e-04
       15694  $\mathcal{L}_{res}$        3.35078890e-04
       15701  $\mathcal{L}_{res}$        3.34636171e-04
       15719  $\mathcal{L}_{res}$        3.32950178e-04
       15752  $\mathcal{L}_{res}$        3.30500165e-04
       15785  $\mathcal{L}_{res}$        3.28740968e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        8.80539808e-01
         200  $\mathcal{L}_{bc0}$        9.64394706e-01
         400  $\mathcal{L}_{bc0}$        9.05592843e-01
         600  $\mathcal{L}_{bc0}$        8.84977800e-01
         800  $\mathcal{L}_{bc0}$        8.53121903e-01
        1000  $\mathcal{L}_{bc0}$        8.06575203e-01
        1200  $\mathcal{L}_{bc0}$        6.18432150e-01
        1400  $\mathcal{L}_{bc0}$        3.19186046e-01
        1600  $\mathcal{L}_{bc0}$        1.80935325e-01
        1800  $\mathcal{L}_{bc0}$        1.37217218e-01
        2000  $\mathcal{L}_{bc0}$        1.21621014e-01
        2200  $\mathcal{L}_{bc0}$        1.10498574e-01
        2400  $\mathcal{L}_{bc0}$        1.07209806e-01
        2600  $\mathcal{L}_{bc0}$        1.05298843e-01
        2800  $\mathcal{L}_{bc0}$        1.03563581e-01
        3000  $\mathcal{L}_{bc0}$        9.87481801e-02
        3000  $\mathcal{L}_{bc0}$        9.87481801e-02
        4000  $\mathcal{L}_{bc0}$        5.30192658e-02
        5000  $\mathcal{L}_{bc0}$        3.74232500e-02
        6000  $\mathcal{L}_{bc0}$        2.84946274e-02
        7000  $\mathcal{L}_{bc0}$        1.57276158e-02
        8000  $\mathcal{L}_{bc0}$        2.05183578e-03
        9000  $\mathcal{L}_{bc0}$        8.20596176e-04
       10000  $\mathcal{L}_{bc0}$        4.19661085e-04
       10717  $\mathcal{L}_{bc0}$        3.13827096e-04
       10734  $\mathcal{L}_{bc0}$        3.12966007e-04
       11184  $\mathcal{L}_{bc0}$        2.85308075e-04
       11535  $\mathcal{L}_{bc0}$        2.83209556e-04
       12464  $\mathcal{L}_{bc0}$        1.94258547e-04
       12898  $\mathcal{L}_{bc0}$        1.64082141e-04
       13268  $\mathcal{L}_{bc0}$        1.38145234e-04
       13288  $\mathcal{L}_{bc0}$        1.37569331e-04
       13662  $\mathcal{L}_{bc0}$        1.18238628e-04
       13780  $\mathcal{L}_{bc0}$        1.17103305e-04
       13869  $\mathcal{L}_{bc0}$        1.14683937e-04
       13889  $\mathcal{L}_{bc0}$        1.13773365e-04
       14006  $\mathcal{L}_{bc0}$        1.12790343e-04
       14034  $\mathcal{L}_{bc0}$        1.12178762e-04
       14047  $\mathcal{L}_{bc0}$        1.12411484e-04
       14065  $\mathcal{L}_{bc0}$        1.12350823e-04
       14140  $\mathcal{L}_{bc0}$        1.11216619e-04
       14367  $\mathcal{L}_{bc0}$        1.03905883e-04
       14474  $\mathcal{L}_{bc0}$        9.94851034e-05
       14478  $\mathcal{L}_{bc0}$        9.96003443e-05
       14480  $\mathcal{L}_{bc0}$        9.94440766e-05
       14486  $\mathcal{L}_{bc0}$        9.88261354e-05
       14535  $\mathcal{L}_{bc0}$        9.82850333e-05
       14683  $\mathcal{L}_{bc0}$        9.30891349e-05
       14692  $\mathcal{L}_{bc0}$        9.28723755e-05
       14818  $\mathcal{L}_{bc0}$        9.18936002e-05
