Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        2.17361881e+02
         200  $\mathcal{L}_{res}$        4.38799750e+00
         400  $\mathcal{L}_{res}$        3.12339973e+00
         600  $\mathcal{L}_{res}$        2.58009993e+00
         800  $\mathcal{L}_{res}$        2.01856171e+00
        1000  $\mathcal{L}_{res}$        1.54210350e+00
        1200  $\mathcal{L}_{res}$        1.03969686e+00
        1400  $\mathcal{L}_{res}$        8.54726657e-01
        1600  $\mathcal{L}_{res}$        6.65080733e-01
        1800  $\mathcal{L}_{res}$        6.04832805e-01
        2000  $\mathcal{L}_{res}$        4.82961600e-01
        2200  $\mathcal{L}_{res}$        5.91611545e-01
        2400  $\mathcal{L}_{res}$        3.96199630e-01
        2600  $\mathcal{L}_{res}$        4.17012793e-01
        2800  $\mathcal{L}_{res}$        5.98106096e-01
        3000  $\mathcal{L}_{res}$        3.32412775e-01
        3000  $\mathcal{L}_{res}$        2.97434166e-01
        4000  $\mathcal{L}_{res}$        1.43330191e-02
        5000  $\mathcal{L}_{res}$        5.67192336e-03
        6000  $\mathcal{L}_{res}$        4.31198511e-03
        7000  $\mathcal{L}_{res}$        5.97746395e-03
        8000  $\mathcal{L}_{res}$        7.29573608e-03
        9000  $\mathcal{L}_{res}$        2.74071730e-03
       10000  $\mathcal{L}_{res}$        1.32163071e-03
       11000  $\mathcal{L}_{res}$        8.05975953e-04
       11636  $\mathcal{L}_{res}$        5.88465858e-04
       12072  $\mathcal{L}_{res}$        4.92745605e-04
       12508  $\mathcal{L}_{res}$        4.15175898e-04
       12519  $\mathcal{L}_{res}$        4.14188125e-04
       12526  $\mathcal{L}_{res}$        4.13499041e-04
       12552  $\mathcal{L}_{res}$        4.11652402e-04
       12583  $\mathcal{L}_{res}$        4.08611176e-04
       12721  $\mathcal{L}_{res}$        3.90447544e-04
       12731  $\mathcal{L}_{res}$        3.89282125e-04
       12811  $\mathcal{L}_{res}$        3.78156403e-04
       12972  $\mathcal{L}_{res}$        3.59032423e-04
       13028  $\mathcal{L}_{res}$        3.51242828e-04
       13312  $\mathcal{L}_{res}$        3.15126230e-04
       13366  $\mathcal{L}_{res}$        3.09780143e-04
       13409  $\mathcal{L}_{res}$        3.07364344e-04
       13449  $\mathcal{L}_{res}$        3.05012050e-04
       13456  $\mathcal{L}_{res}$        3.04215824e-04
       13478  $\mathcal{L}_{res}$        3.02375487e-04
       13606  $\mathcal{L}_{res}$        2.92017827e-04
       13643  $\mathcal{L}_{res}$        2.87826383e-04
       13677  $\mathcal{L}_{res}$        2.86765126e-04
       13725  $\mathcal{L}_{res}$        2.83461956e-04
       13744  $\mathcal{L}_{res}$        2.82197147e-04
       13813  $\mathcal{L}_{res}$        2.77321456e-04
       13965  $\mathcal{L}_{res}$        2.70796594e-04
       13977  $\mathcal{L}_{res}$        2.70693549e-04
       13984  $\mathcal{L}_{res}$        2.70281438e-04
       13999  $\mathcal{L}_{res}$        2.69407357e-04
       14012  $\mathcal{L}_{res}$        2.68875362e-04
       14016  $\mathcal{L}_{res}$        2.68752340e-04
       14096  $\mathcal{L}_{res}$        2.64105574e-04
       14144  $\mathcal{L}_{res}$        2.59493533e-04
       14152  $\mathcal{L}_{res}$        2.59305123e-04
       14176  $\mathcal{L}_{res}$        2.55159269e-04
       14183  $\mathcal{L}_{res}$        2.54679853e-04
       14214  $\mathcal{L}_{res}$        2.52889267e-04
       14240  $\mathcal{L}_{res}$        2.50695066e-04
       14269  $\mathcal{L}_{res}$        2.48315979e-04
       14279  $\mathcal{L}_{res}$        2.48048148e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        2.29443344e+00
         200  $\mathcal{L}_{bc0}$        1.01316476e+00
         400  $\mathcal{L}_{bc0}$        9.82090989e-01
         600  $\mathcal{L}_{bc0}$        9.86326705e-01
         800  $\mathcal{L}_{bc0}$        8.78645069e-01
        1000  $\mathcal{L}_{bc0}$        4.95702332e-01
        1200  $\mathcal{L}_{bc0}$        1.91869992e-01
        1400  $\mathcal{L}_{bc0}$        1.50548656e-01
        1600  $\mathcal{L}_{bc0}$        1.20549752e-01
        1800  $\mathcal{L}_{bc0}$        1.17285219e-01
        2000  $\mathcal{L}_{bc0}$        1.01909154e-01
        2200  $\mathcal{L}_{bc0}$        1.11890209e-01
        2400  $\mathcal{L}_{bc0}$        1.03444589e-01
        2600  $\mathcal{L}_{bc0}$        1.03510694e-01
        2800  $\mathcal{L}_{bc0}$        1.00991525e-01
        3000  $\mathcal{L}_{bc0}$        9.75097132e-02
        3000  $\mathcal{L}_{bc0}$        9.75097132e-02
        4000  $\mathcal{L}_{bc0}$        4.43870878e-02
        5000  $\mathcal{L}_{bc0}$        3.79986405e-02
        6000  $\mathcal{L}_{bc0}$        3.40008365e-02
        7000  $\mathcal{L}_{bc0}$        2.68911221e-02
        8000  $\mathcal{L}_{bc0}$        5.07965854e-03
        9000  $\mathcal{L}_{bc0}$        5.20695242e-04
       10000  $\mathcal{L}_{bc0}$        1.94734833e-04
       11000  $\mathcal{L}_{bc0}$        4.91546737e-05
       11636  $\mathcal{L}_{bc0}$        2.65656091e-05
       12072  $\mathcal{L}_{bc0}$        2.27224765e-05
       12508  $\mathcal{L}_{bc0}$        1.48883111e-05
       12519  $\mathcal{L}_{bc0}$        1.51583893e-05
       12526  $\mathcal{L}_{bc0}$        1.52191692e-05
       12552  $\mathcal{L}_{bc0}$        1.50564054e-05
       12583  $\mathcal{L}_{bc0}$        1.49259712e-05
       12721  $\mathcal{L}_{bc0}$        1.49966163e-05
       12731  $\mathcal{L}_{bc0}$        1.53607564e-05
       12811  $\mathcal{L}_{bc0}$        1.62025895e-05
       12972  $\mathcal{L}_{bc0}$        1.64893496e-05
       13028  $\mathcal{L}_{bc0}$        1.72370460e-05
       13312  $\mathcal{L}_{bc0}$        1.96211316e-05
       13366  $\mathcal{L}_{bc0}$        2.01508889e-05
       13409  $\mathcal{L}_{bc0}$        1.87596807e-05
       13449  $\mathcal{L}_{bc0}$        1.86754479e-05
       13456  $\mathcal{L}_{bc0}$        1.89398398e-05
       13478  $\mathcal{L}_{bc0}$        1.89779241e-05
       13606  $\mathcal{L}_{bc0}$        1.62528853e-05
       13643  $\mathcal{L}_{bc0}$        1.76277390e-05
       13677  $\mathcal{L}_{bc0}$        1.68025231e-05
       13725  $\mathcal{L}_{bc0}$        1.61127662e-05
       13744  $\mathcal{L}_{bc0}$        1.61612471e-05
       13813  $\mathcal{L}_{bc0}$        1.55934708e-05
       13965  $\mathcal{L}_{bc0}$        1.41768997e-05
       13977  $\mathcal{L}_{bc0}$        1.37298265e-05
       13984  $\mathcal{L}_{bc0}$        1.38317962e-05
       13999  $\mathcal{L}_{bc0}$        1.40089005e-05
       14012  $\mathcal{L}_{bc0}$        1.38136847e-05
       14016  $\mathcal{L}_{bc0}$        1.37984508e-05
       14096  $\mathcal{L}_{bc0}$        1.34822650e-05
       14144  $\mathcal{L}_{bc0}$        1.33601735e-05
       14152  $\mathcal{L}_{bc0}$        1.32188465e-05
       14176  $\mathcal{L}_{bc0}$        1.34288845e-05
       14183  $\mathcal{L}_{bc0}$        1.35648784e-05
       14214  $\mathcal{L}_{bc0}$        1.34921384e-05
