Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        9.44919662e+01
         200  $\mathcal{L}_{res}$        9.51408525e-04
         400  $\mathcal{L}_{res}$        1.07686827e-03
         600  $\mathcal{L}_{res}$        1.73856504e-03
         800  $\mathcal{L}_{res}$        1.93860510e-03
        1000  $\mathcal{L}_{res}$        1.97983300e-03
        1200  $\mathcal{L}_{res}$        2.00040708e-03
        1400  $\mathcal{L}_{res}$        2.03104666e-03
        1600  $\mathcal{L}_{res}$        2.06592563e-03
        1800  $\mathcal{L}_{res}$        1.57466705e-03
        2000  $\mathcal{L}_{res}$        2.07396387e-03
        2200  $\mathcal{L}_{res}$        5.40258214e-02
        2400  $\mathcal{L}_{res}$        2.09870934e-03
        2600  $\mathcal{L}_{res}$        2.18869047e-03
        2800  $\mathcal{L}_{res}$        2.08219723e-03
        3000  $\mathcal{L}_{res}$        2.17988994e-03
        3200  $\mathcal{L}_{res}$        7.48577863e-02
        3400  $\mathcal{L}_{res}$        2.21212325e-03
        3600  $\mathcal{L}_{res}$        2.27352418e-03
        3800  $\mathcal{L}_{res}$        2.14132015e-03
        4000  $\mathcal{L}_{res}$        2.33920407e-03
        4200  $\mathcal{L}_{res}$        2.42474442e-03
        4400  $\mathcal{L}_{res}$        2.41221883e-03
        4600  $\mathcal{L}_{res}$        2.52006506e-03
        4800  $\mathcal{L}_{res}$        2.69119255e-03
        5000  $\mathcal{L}_{res}$        2.73624575e-03
        5200  $\mathcal{L}_{res}$        2.98692309e-03
        5400  $\mathcal{L}_{res}$        3.06875980e-03
        5600  $\mathcal{L}_{res}$        1.06725574e+00
        5800  $\mathcal{L}_{res}$        3.38507909e-03
        6000  $\mathcal{L}_{res}$        3.96386255e-03
        6200  $\mathcal{L}_{res}$        3.85370548e-03
        6400  $\mathcal{L}_{res}$        5.07374108e-03
        6600  $\mathcal{L}_{res}$        5.11602545e-03
        6800  $\mathcal{L}_{res}$        7.73284212e-03
        7000  $\mathcal{L}_{res}$        8.47172458e-03
        7200  $\mathcal{L}_{res}$        1.10446978e-02
        7400  $\mathcal{L}_{res}$        1.23289255e-02
        7600  $\mathcal{L}_{res}$        1.15024587e-02
        7800  $\mathcal{L}_{res}$        1.26363095e-02
        8000  $\mathcal{L}_{res}$        1.33483326e-02
        8200  $\mathcal{L}_{res}$        1.30203217e-02
        8400  $\mathcal{L}_{res}$        1.34445392e-02
        8600  $\mathcal{L}_{res}$        1.30826980e-02
        8800  $\mathcal{L}_{res}$        1.20460261e-02
        9000  $\mathcal{L}_{res}$        1.11858780e-02
        9200  $\mathcal{L}_{res}$        1.30039239e-02
