Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        2.73244598e+02
         200  $\mathcal{L}_{res}$        3.65730748e-03
         400  $\mathcal{L}_{res}$        3.67885106e-04
         600  $\mathcal{L}_{res}$        4.12512367e-04
         800  $\mathcal{L}_{res}$        4.01441328e-04
        1000  $\mathcal{L}_{res}$        3.70851747e-04
        1200  $\mathcal{L}_{res}$        3.42809130e-04
        1400  $\mathcal{L}_{res}$        3.25540372e-04
        1600  $\mathcal{L}_{res}$        3.30254145e-04
        1800  $\mathcal{L}_{res}$        2.61003937e-04
        2000  $\mathcal{L}_{res}$        2.94965808e-04
        2200  $\mathcal{L}_{res}$        3.23027708e-02
        2400  $\mathcal{L}_{res}$        2.82409397e-04
        2600  $\mathcal{L}_{res}$        2.85247574e-04
        2800  $\mathcal{L}_{res}$        3.38451995e-04
        3000  $\mathcal{L}_{res}$        2.84815033e-04
        3200  $\mathcal{L}_{res}$        2.77381332e-04
        3400  $\mathcal{L}_{res}$        2.75230035e-04
        3600  $\mathcal{L}_{res}$        3.18734266e-04
        3800  $\mathcal{L}_{res}$        2.82301684e-04
        4000  $\mathcal{L}_{res}$        4.88465244e-04
        4200  $\mathcal{L}_{res}$        3.26291163e-04
        4400  $\mathcal{L}_{res}$        2.80827866e-04
        4600  $\mathcal{L}_{res}$        5.21063863e-04
        4800  $\mathcal{L}_{res}$        3.38372338e-04
        5000  $\mathcal{L}_{res}$        2.80004315e-04
        5200  $\mathcal{L}_{res}$        2.71123135e-04
        5400  $\mathcal{L}_{res}$        3.94287577e-04
        5600  $\mathcal{L}_{res}$        2.90001597e-04
        5800  $\mathcal{L}_{res}$        2.71261786e-04
        6000  $\mathcal{L}_{res}$        2.68677890e-04
        6200  $\mathcal{L}_{res}$        3.43325024e-04
        6400  $\mathcal{L}_{res}$        2.83098954e-04
        6600  $\mathcal{L}_{res}$        8.66238726e-04
        6800  $\mathcal{L}_{res}$        2.98831408e-04
        7000  $\mathcal{L}_{res}$        2.71334429e-04
        7200  $\mathcal{L}_{res}$        6.92678541e-02
        7400  $\mathcal{L}_{res}$        3.94971721e-04
        7600  $\mathcal{L}_{res}$        2.81495944e-04
        7800  $\mathcal{L}_{res}$        4.11057350e-04
        8000  $\mathcal{L}_{res}$        4.36078320e-04
        8200  $\mathcal{L}_{res}$        2.65712588e-04
        8400  $\mathcal{L}_{res}$        4.68559377e-02
        8600  $\mathcal{L}_{res}$        2.79950851e-04
        8800  $\mathcal{L}_{res}$        2.59160908e-04
        9000  $\mathcal{L}_{res}$        2.58352025e-04
        9200  $\mathcal{L}_{res}$        8.97087506e-04
        9400  $\mathcal{L}_{res}$        2.55224382e-04
        9600  $\mathcal{L}_{res}$        2.53486069e-04
        9800  $\mathcal{L}_{res}$        2.49799545e-04
       10000  $\mathcal{L}_{res}$        2.53644714e-04
       10000  $\mathcal{L}_{res}$        4.02460327e+01
       10048  $\mathcal{L}_{res}$        7.21271965e-04
       10049  $\mathcal{L}_{res}$        7.21271965e-04
       10050  $\mathcal{L}_{res}$        7.21271965e-04
       10051  $\mathcal{L}_{res}$        7.21271965e-04
       10052  $\mathcal{L}_{res}$        7.21271965e-04
       10053  $\mathcal{L}_{res}$        7.21271965e-04
       10054  $\mathcal{L}_{res}$        7.21271965e-04
       10055  $\mathcal{L}_{res}$        7.21271965e-04
       10056  $\mathcal{L}_{res}$        7.21271965e-04
       10057  $\mathcal{L}_{res}$        7.21271965e-04
       10058  $\mathcal{L}_{res}$        7.21271965e-04
       10059  $\mathcal{L}_{res}$        7.21271965e-04
       10060  $\mathcal{L}_{res}$        7.21271965e-04
       10061  $\mathcal{L}_{res}$        7.21271965e-04
       10062  $\mathcal{L}_{res}$        7.21271965e-04
       10063  $\mathcal{L}_{res}$        7.21271965e-04
       10064  $\mathcal{L}_{res}$        7.21271965e-04
       10065  $\mathcal{L}_{res}$        7.21271965e-04
       10066  $\mathcal{L}_{res}$        7.21271965e-04
       10067  $\mathcal{L}_{res}$        7.21271965e-04
       10068  $\mathcal{L}_{res}$        7.21271965e-04
       10069  $\mathcal{L}_{res}$        7.21271965e-04
       10070  $\mathcal{L}_{res}$        7.21271965e-04
       10071  $\mathcal{L}_{res}$        7.21271965e-04
       10072  $\mathcal{L}_{res}$        7.21271965e-04
       10073  $\mathcal{L}_{res}$        7.21271965e-04
       10074  $\mathcal{L}_{res}$        7.21271965e-04
       10075  $\mathcal{L}_{res}$        7.21271965e-04
       10076  $\mathcal{L}_{res}$        7.21271965e-04
       10077  $\mathcal{L}_{res}$        7.21271965e-04
       10078  $\mathcal{L}_{res}$        7.21271965e-04
       10079  $\mathcal{L}_{res}$        7.21271965e-04
       10080  $\mathcal{L}_{res}$        7.21271965e-04
       10081  $\mathcal{L}_{res}$        7.21271965e-04
       10082  $\mathcal{L}_{res}$        7.21271965e-04
       10083  $\mathcal{L}_{res}$        7.21271965e-04
       10084  $\mathcal{L}_{res}$        7.21271965e-04
       10085  $\mathcal{L}_{res}$        7.21271965e-04
       10086  $\mathcal{L}_{res}$        7.21271965e-04
       10087  $\mathcal{L}_{res}$        7.21271965e-04
       10088  $\mathcal{L}_{res}$        7.21271965e-04
       10089  $\mathcal{L}_{res}$        7.21271965e-04
       10090  $\mathcal{L}_{res}$        7.21271965e-04
       10091  $\mathcal{L}_{res}$        7.21271965e-04
       10092  $\mathcal{L}_{res}$        7.21271965e-04
       10093  $\mathcal{L}_{res}$        7.21271965e-04
       10094  $\mathcal{L}_{res}$        7.21271965e-04
       10095  $\mathcal{L}_{res}$        7.21271965e-04
       10096  $\mathcal{L}_{res}$        7.21271965e-04
       10097  $\mathcal{L}_{res}$        7.21271965e-04
       10098  $\mathcal{L}_{res}$        7.21271965e-04
       10099  $\mathcal{L}_{res}$        7.21271965e-04
       10100  $\mathcal{L}_{res}$        7.21271965e-04
       10101  $\mathcal{L}_{res}$        7.21271965e-04
       10102  $\mathcal{L}_{res}$        7.21271965e-04
       10103  $\mathcal{L}_{res}$        7.21271965e-04
       10104  $\mathcal{L}_{res}$        7.21271965e-04
       10105  $\mathcal{L}_{res}$        7.21271965e-04
       10106  $\mathcal{L}_{res}$        7.21271965e-04
       10107  $\mathcal{L}_{res}$        7.21271965e-04
       10108  $\mathcal{L}_{res}$        7.21271965e-04
       10109  $\mathcal{L}_{res}$        7.21271965e-04
       10110  $\mathcal{L}_{res}$        7.21271965e-04
       10111  $\mathcal{L}_{res}$        7.21271965e-04
       10112  $\mathcal{L}_{res}$        7.21271965e-04
       10113  $\mathcal{L}_{res}$        7.21271965e-04
       10114  $\mathcal{L}_{res}$        7.21271965e-04
       10115  $\mathcal{L}_{res}$        7.21271965e-04
       10116  $\mathcal{L}_{res}$        7.21271965e-04
       10117  $\mathcal{L}_{res}$        7.21271965e-04
       10118  $\mathcal{L}_{res}$        7.21271965e-04
       10119  $\mathcal{L}_{res}$        7.21271965e-04
       10120  $\mathcal{L}_{res}$        7.21271965e-04
       10121  $\mathcal{L}_{res}$        7.21271965e-04
       10122  $\mathcal{L}_{res}$        7.21271965e-04
       10123  $\mathcal{L}_{res}$        7.21271965e-04
       10124  $\mathcal{L}_{res}$        7.21271965e-04
       10125  $\mathcal{L}_{res}$        7.21271965e-04
       10126  $\mathcal{L}_{res}$        7.21271965e-04
       10127  $\mathcal{L}_{res}$        7.21271965e-04
       10128  $\mathcal{L}_{res}$        7.21271965e-04
       10129  $\mathcal{L}_{res}$        7.21271965e-04
       10130  $\mathcal{L}_{res}$        7.21271965e-04
       10131  $\mathcal{L}_{res}$        7.21271965e-04
       10132  $\mathcal{L}_{res}$        7.21271965e-04
       10133  $\mathcal{L}_{res}$        7.21271965e-04
       10134  $\mathcal{L}_{res}$        7.21271965e-04
       10135  $\mathcal{L}_{res}$        7.21271965e-04
       10136  $\mathcal{L}_{res}$        7.21271965e-04
       10137  $\mathcal{L}_{res}$        7.21271965e-04
       10138  $\mathcal{L}_{res}$        7.21271965e-04
       10139  $\mathcal{L}_{res}$        7.21271965e-04
       10140  $\mathcal{L}_{res}$        7.21271965e-04
       10141  $\mathcal{L}_{res}$        7.21271965e-04
       10142  $\mathcal{L}_{res}$        7.21271965e-04
       10143  $\mathcal{L}_{res}$        7.21271965e-04
       10144  $\mathcal{L}_{res}$        7.21271965e-04
       10145  $\mathcal{L}_{res}$        7.21271965e-04
       10146  $\mathcal{L}_{res}$        7.21271965e-04
       10147  $\mathcal{L}_{res}$        7.21271965e-04
       10181  $\mathcal{L}_{res}$        7.76455679e-04
       10182  $\mathcal{L}_{res}$        7.76455679e-04
       10183  $\mathcal{L}_{res}$        7.76455679e-04
       10184  $\mathcal{L}_{res}$        7.76455679e-04
       10185  $\mathcal{L}_{res}$        7.76455679e-04
       10186  $\mathcal{L}_{res}$        7.76455679e-04
       10187  $\mathcal{L}_{res}$        7.76455679e-04
       10188  $\mathcal{L}_{res}$        7.76455679e-04
       10189  $\mathcal{L}_{res}$        7.76455679e-04
       10190  $\mathcal{L}_{res}$        7.76455679e-04
       10191  $\mathcal{L}_{res}$        7.76455679e-04
       10192  $\mathcal{L}_{res}$        7.76455679e-04
       10193  $\mathcal{L}_{res}$        7.76455679e-04
       10194  $\mathcal{L}_{res}$        7.76455679e-04
       10195  $\mathcal{L}_{res}$        7.76455679e-04
       10196  $\mathcal{L}_{res}$        7.76455679e-04
       10197  $\mathcal{L}_{res}$        7.76455679e-04
       10198  $\mathcal{L}_{res}$        7.76455679e-04
       10199  $\mathcal{L}_{res}$        7.76455679e-04
       10200  $\mathcal{L}_{res}$        7.76455679e-04
       10201  $\mathcal{L}_{res}$        7.76455679e-04
       10202  $\mathcal{L}_{res}$        7.76455679e-04
       10203  $\mathcal{L}_{res}$        7.76455679e-04
       10204  $\mathcal{L}_{res}$        7.76455679e-04
       10205  $\mathcal{L}_{res}$        7.76455679e-04
       10206  $\mathcal{L}_{res}$        7.76455679e-04
       10207  $\mathcal{L}_{res}$        7.76455679e-04
       10208  $\mathcal{L}_{res}$        7.76455679e-04
       10209  $\mathcal{L}_{res}$        7.76455679e-04
       10210  $\mathcal{L}_{res}$        7.76455679e-04
       10211  $\mathcal{L}_{res}$        7.76455679e-04
       10212  $\mathcal{L}_{res}$        7.76455679e-04
       10213  $\mathcal{L}_{res}$        7.76455679e-04
       10214  $\mathcal{L}_{res}$        7.76455679e-04
       10215  $\mathcal{L}_{res}$        7.76455679e-04
       10216  $\mathcal{L}_{res}$        7.76455679e-04
       10217  $\mathcal{L}_{res}$        7.76455679e-04
       10218  $\mathcal{L}_{res}$        7.76455679e-04
       10219  $\mathcal{L}_{res}$        7.76455679e-04
       10220  $\mathcal{L}_{res}$        7.76455679e-04
       10221  $\mathcal{L}_{res}$        7.76455679e-04
       10222  $\mathcal{L}_{res}$        7.76455679e-04
       10223  $\mathcal{L}_{res}$        7.76455679e-04
       10224  $\mathcal{L}_{res}$        7.76455679e-04
       10225  $\mathcal{L}_{res}$        7.76455679e-04
       10226  $\mathcal{L}_{res}$        7.76455679e-04
       10227  $\mathcal{L}_{res}$        7.76455679e-04
       10228  $\mathcal{L}_{res}$        7.76455679e-04
       10229  $\mathcal{L}_{res}$        7.76455679e-04
       10230  $\mathcal{L}_{res}$        7.76455679e-04
       10231  $\mathcal{L}_{res}$        7.76455679e-04
       10232  $\mathcal{L}_{res}$        7.76455679e-04
       10233  $\mathcal{L}_{res}$        7.76455679e-04
       10234  $\mathcal{L}_{res}$        7.76455679e-04
       10235  $\mathcal{L}_{res}$        7.76455679e-04
       10236  $\mathcal{L}_{res}$        7.76455679e-04
       10237  $\mathcal{L}_{res}$        7.76455679e-04
       10238  $\mathcal{L}_{res}$        7.76455679e-04
       10239  $\mathcal{L}_{res}$        7.76455679e-04
       10240  $\mathcal{L}_{res}$        7.76455679e-04
       10241  $\mathcal{L}_{res}$        7.76455679e-04
       10242  $\mathcal{L}_{res}$        7.76455679e-04
       10243  $\mathcal{L}_{res}$        7.76455679e-04
       10244  $\mathcal{L}_{res}$        7.76455679e-04
       10245  $\mathcal{L}_{res}$        7.76455679e-04
       10246  $\mathcal{L}_{res}$        7.76455679e-04
       10247  $\mathcal{L}_{res}$        7.76455679e-04
       10248  $\mathcal{L}_{res}$        7.76455679e-04
       10249  $\mathcal{L}_{res}$        7.76455679e-04
       10250  $\mathcal{L}_{res}$        7.76455679e-04
       10251  $\mathcal{L}_{res}$        7.76455679e-04
       10252  $\mathcal{L}_{res}$        7.76455679e-04
       10253  $\mathcal{L}_{res}$        7.76455679e-04
       10254  $\mathcal{L}_{res}$        7.76455679e-04
       10255  $\mathcal{L}_{res}$        7.76455679e-04
       10256  $\mathcal{L}_{res}$        7.76455679e-04
       10257  $\mathcal{L}_{res}$        7.76455679e-04
       10258  $\mathcal{L}_{res}$        7.76455679e-04
       10259  $\mathcal{L}_{res}$        7.76455679e-04
       10260  $\mathcal{L}_{res}$        7.76455679e-04
       10261  $\mathcal{L}_{res}$        7.76455679e-04
       10262  $\mathcal{L}_{res}$        7.76455679e-04
       10263  $\mathcal{L}_{res}$        7.76455679e-04
       10264  $\mathcal{L}_{res}$        7.76455679e-04
       10265  $\mathcal{L}_{res}$        7.76455679e-04
       10266  $\mathcal{L}_{res}$        7.76455679e-04
       10267  $\mathcal{L}_{res}$        7.76455679e-04
       10268  $\mathcal{L}_{res}$        7.76455679e-04
       10269  $\mathcal{L}_{res}$        7.76455679e-04
       10270  $\mathcal{L}_{res}$        7.76455679e-04
       10271  $\mathcal{L}_{res}$        7.76455679e-04
       10272  $\mathcal{L}_{res}$        7.76455679e-04
       10273  $\mathcal{L}_{res}$        7.76455679e-04
       10274  $\mathcal{L}_{res}$        7.76455679e-04
       10275  $\mathcal{L}_{res}$        7.76455679e-04
       10276  $\mathcal{L}_{res}$        7.76455679e-04
       10277  $\mathcal{L}_{res}$        7.76455679e-04
       10278  $\mathcal{L}_{res}$        7.76455679e-04
       10279  $\mathcal{L}_{res}$        7.76455679e-04
       10280  $\mathcal{L}_{res}$        7.76455679e-04
       10281  $\mathcal{L}_{res}$        7.77526293e-04
       11281  $\mathcal{L}_{res}$        5.87806199e-03
       12281  $\mathcal{L}_{res}$        2.27177609e-03
       13088  $\mathcal{L}_{res}$        4.66068537e-04
       13141  $\mathcal{L}_{res}$        4.39844385e-04
       13142  $\mathcal{L}_{res}$        4.39844385e-04
       13143  $\mathcal{L}_{res}$        4.39844385e-04
       13144  $\mathcal{L}_{res}$        4.39844385e-04
       13145  $\mathcal{L}_{res}$        4.39844385e-04
       13146  $\mathcal{L}_{res}$        4.39844385e-04
       13147  $\mathcal{L}_{res}$        4.39844385e-04
       13148  $\mathcal{L}_{res}$        4.39844385e-04
