Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        7.11581879e+01
         200  $\mathcal{L}_{res}$        1.00025674e-03
         400  $\mathcal{L}_{res}$        2.18818989e-03
         600  $\mathcal{L}_{res}$        3.45011265e-03
         800  $\mathcal{L}_{res}$        3.84321180e-03
        1000  $\mathcal{L}_{res}$        3.94700235e-03
        1200  $\mathcal{L}_{res}$        4.01924644e-03
        1400  $\mathcal{L}_{res}$        4.12061764e-03
        1600  $\mathcal{L}_{res}$        4.24099201e-03
        1800  $\mathcal{L}_{res}$        4.01741546e-03
        2000  $\mathcal{L}_{res}$        4.43589501e-03
        2200  $\mathcal{L}_{res}$        3.43746669e-03
        2400  $\mathcal{L}_{res}$        4.61744424e-03
        2600  $\mathcal{L}_{res}$        4.90225106e-03
        2800  $\mathcal{L}_{res}$        4.97077033e-03
        3000  $\mathcal{L}_{res}$        5.39880106e-03
        3200  $\mathcal{L}_{res}$        5.56654064e-03
        3400  $\mathcal{L}_{res}$        6.10416010e-03
        3600  $\mathcal{L}_{res}$        6.21754816e-03
        3800  $\mathcal{L}_{res}$        6.85690437e-03
        4000  $\mathcal{L}_{res}$        1.57094281e-02
        4200  $\mathcal{L}_{res}$        8.22567847e-03
        4400  $\mathcal{L}_{res}$        1.07688457e-02
        4600  $\mathcal{L}_{res}$        1.13792559e-02
        4800  $\mathcal{L}_{res}$        1.91692803e-02
        5000  $\mathcal{L}_{res}$        1.46830902e-02
        5200  $\mathcal{L}_{res}$        1.78404134e-02
        5400  $\mathcal{L}_{res}$        1.45505350e-02
        5600  $\mathcal{L}_{res}$        2.05124593e+00
        5800  $\mathcal{L}_{res}$        9.66963451e-03
        6000  $\mathcal{L}_{res}$        7.97861814e-03
        6200  $\mathcal{L}_{res}$        8.68859980e-03
        6400  $\mathcal{L}_{res}$        7.55353598e-03
        6600  $\mathcal{L}_{res}$        7.64401956e-03
        6800  $\mathcal{L}_{res}$        7.14810565e-03
        7000  $\mathcal{L}_{res}$        9.96174850e-03
        7200  $\mathcal{L}_{res}$        1.38369221e-02
        7400  $\mathcal{L}_{res}$        7.77923107e-01
        7600  $\mathcal{L}_{res}$        1.17344623e-02
        7800  $\mathcal{L}_{res}$        8.21598545e-02
        8000  $\mathcal{L}_{res}$        1.09708393e-02
        8200  $\mathcal{L}_{res}$        1.09377773e-02
        8400  $\mathcal{L}_{res}$        1.08300783e-02
        8600  $\mathcal{L}_{res}$        1.39862821e-02
        8800  $\mathcal{L}_{res}$        1.12192230e-02
        9000  $\mathcal{L}_{res}$        1.08492421e-02
        9200  $\mathcal{L}_{res}$        8.43850151e-03
        9400  $\mathcal{L}_{res}$        9.58840456e-03
        9600  $\mathcal{L}_{res}$        1.22030927e-02
        9800  $\mathcal{L}_{res}$        7.10663013e-03
       10000  $\mathcal{L}_{res}$        6.20626658e-03
       10000  $\mathcal{L}_{res}$        7.20736980e+00
       11000  $\mathcal{L}_{res}$        1.52902910e-04
       12000  $\mathcal{L}_{res}$        2.21757407e-04
       12660  $\mathcal{L}_{res}$        1.36718561e-04
       12669  $\mathcal{L}_{res}$        1.36703035e-04
       12965  $\mathcal{L}_{res}$        1.52311623e-04
       13126  $\mathcal{L}_{res}$        1.44122663e-04
       13127  $\mathcal{L}_{res}$        1.44122663e-04
       13128  $\mathcal{L}_{res}$        1.44122663e-04
       13129  $\mathcal{L}_{res}$        1.44122663e-04
       13130  $\mathcal{L}_{res}$        1.44122663e-04
       13131  $\mathcal{L}_{res}$        1.44122663e-04
       13132  $\mathcal{L}_{res}$        1.44122663e-04
       13133  $\mathcal{L}_{res}$        1.44122663e-04
       13134  $\mathcal{L}_{res}$        1.44122663e-04
       13135  $\mathcal{L}_{res}$        1.44122663e-04
       13136  $\mathcal{L}_{res}$        1.44122663e-04
       13137  $\mathcal{L}_{res}$        1.44122663e-04
       13138  $\mathcal{L}_{res}$        1.44122663e-04
       13139  $\mathcal{L}_{res}$        1.44122663e-04
       13140  $\mathcal{L}_{res}$        1.44122663e-04
       13141  $\mathcal{L}_{res}$        1.44122663e-04
       13142  $\mathcal{L}_{res}$        1.44122663e-04
       13143  $\mathcal{L}_{res}$        1.44122663e-04
       13144  $\mathcal{L}_{res}$        1.44122663e-04
       13145  $\mathcal{L}_{res}$        1.44122663e-04
       13146  $\mathcal{L}_{res}$        1.44122663e-04
       13147  $\mathcal{L}_{res}$        1.44122663e-04
       13148  $\mathcal{L}_{res}$        1.44122663e-04
       13149  $\mathcal{L}_{res}$        1.44122663e-04
       13150  $\mathcal{L}_{res}$        1.44122663e-04
       13151  $\mathcal{L}_{res}$        1.44122663e-04
       13152  $\mathcal{L}_{res}$        1.44122663e-04
       13153  $\mathcal{L}_{res}$        1.44122663e-04
       13154  $\mathcal{L}_{res}$        1.44122663e-04
       13155  $\mathcal{L}_{res}$        1.44122663e-04
       13156  $\mathcal{L}_{res}$        1.44122663e-04
       13157  $\mathcal{L}_{res}$        1.44122663e-04
       13158  $\mathcal{L}_{res}$        1.44122663e-04
       13159  $\mathcal{L}_{res}$        1.44122663e-04
       13160  $\mathcal{L}_{res}$        1.44122663e-04
       13161  $\mathcal{L}_{res}$        1.44122663e-04
       13162  $\mathcal{L}_{res}$        1.44122663e-04
       13163  $\mathcal{L}_{res}$        1.44122663e-04
       13164  $\mathcal{L}_{res}$        1.44122663e-04
       13165  $\mathcal{L}_{res}$        1.44122663e-04
       13166  $\mathcal{L}_{res}$        1.44122663e-04
       13167  $\mathcal{L}_{res}$        1.44122663e-04
       13168  $\mathcal{L}_{res}$        1.44122663e-04
