Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        2.29188736e+02
         200  $\mathcal{L}_{res}$        2.85058725e-03
         400  $\mathcal{L}_{res}$        3.57667712e-04
         600  $\mathcal{L}_{res}$        4.50191379e-04
         800  $\mathcal{L}_{res}$        4.58308234e-04
        1000  $\mathcal{L}_{res}$        4.37056005e-04
        1200  $\mathcal{L}_{res}$        4.15319868e-04
        1400  $\mathcal{L}_{res}$        4.02891630e-04
        1600  $\mathcal{L}_{res}$        3.95574229e-04
        1800  $\mathcal{L}_{res}$        3.13113909e-04
        2000  $\mathcal{L}_{res}$        3.77748132e-04
        2200  $\mathcal{L}_{res}$        2.87272781e-02
        2400  $\mathcal{L}_{res}$        3.36400408e-04
        2600  $\mathcal{L}_{res}$        3.66643391e-04
        2800  $\mathcal{L}_{res}$        3.65245563e-04
        3000  $\mathcal{L}_{res}$        1.63248032e-02
        3200  $\mathcal{L}_{res}$        3.79247009e-04
        3400  $\mathcal{L}_{res}$        3.66119784e-04
        3600  $\mathcal{L}_{res}$        3.63362837e-04
        3800  $\mathcal{L}_{res}$        4.05431114e-04
        4000  $\mathcal{L}_{res}$        3.67935601e-04
        4200  $\mathcal{L}_{res}$        3.58530757e-04
        4400  $\mathcal{L}_{res}$        4.27106221e-04
        4600  $\mathcal{L}_{res}$        3.69474030e-04
        4800  $\mathcal{L}_{res}$        6.64068246e-03
        5000  $\mathcal{L}_{res}$        3.85024323e-04
        5200  $\mathcal{L}_{res}$        3.63401981e-04
        5400  $\mathcal{L}_{res}$        4.37517680e-04
        5600  $\mathcal{L}_{res}$        3.70969035e-04
        5800  $\mathcal{L}_{res}$        3.62286315e-04
        6000  $\mathcal{L}_{res}$        4.31017572e-04
        6200  $\mathcal{L}_{res}$        6.22758083e-03
        6400  $\mathcal{L}_{res}$        3.63654864e-04
        6600  $\mathcal{L}_{res}$        4.11995657e-04
        6800  $\mathcal{L}_{res}$        3.71211150e-04
        7000  $\mathcal{L}_{res}$        6.15405210e-04
        7200  $\mathcal{L}_{res}$        3.94579023e-04
        7400  $\mathcal{L}_{res}$        5.97493537e-02
        7600  $\mathcal{L}_{res}$        3.79829609e-04
        7800  $\mathcal{L}_{res}$        3.64014850e-04
        8000  $\mathcal{L}_{res}$        3.50581278e-04
        8200  $\mathcal{L}_{res}$        3.66711727e-04
        8400  $\mathcal{L}_{res}$        3.56953999e-04
        8600  $\mathcal{L}_{res}$        3.48866626e-04
        8800  $\mathcal{L}_{res}$        5.24611259e-03
        9000  $\mathcal{L}_{res}$        3.49051086e-04
        9200  $\mathcal{L}_{res}$        3.52771720e-04
        9400  $\mathcal{L}_{res}$        3.38180194e-04
        9600  $\mathcal{L}_{res}$        2.99292384e-03
        9800  $\mathcal{L}_{res}$        3.49420123e-04
       10000  $\mathcal{L}_{res}$        3.25156754e-04
       10000  $\mathcal{L}_{res}$        3.25648193e+01
       10095  $\mathcal{L}_{res}$        3.84788588e-03
       11078  $\mathcal{L}_{res}$        8.41133296e-03
       12067  $\mathcal{L}_{res}$        6.26738416e-04
       12388  $\mathcal{L}_{res}$        6.12639880e-04
       13189  $\mathcal{L}_{res}$        1.57498158e-04
       13193  $\mathcal{L}_{res}$        1.57840361e-04
       13195  $\mathcal{L}_{res}$        1.57595772e-04
       13197  $\mathcal{L}_{res}$        1.57301591e-04
       13287  $\mathcal{L}_{res}$        1.19910015e-04
       13414  $\mathcal{L}_{res}$        9.48975066e-05
       13485  $\mathcal{L}_{res}$        1.03646191e-04
       13488  $\mathcal{L}_{res}$        1.03638544e-04
       13532  $\mathcal{L}_{res}$        9.96234594e-05
       13533  $\mathcal{L}_{res}$        9.96234594e-05
       13534  $\mathcal{L}_{res}$        9.96234594e-05
       13535  $\mathcal{L}_{res}$        9.96234594e-05
       13536  $\mathcal{L}_{res}$        9.96234594e-05
       13537  $\mathcal{L}_{res}$        9.96234594e-05
       13538  $\mathcal{L}_{res}$        9.96234594e-05
       13539  $\mathcal{L}_{res}$        9.96234594e-05
       13540  $\mathcal{L}_{res}$        9.96234594e-05
       13541  $\mathcal{L}_{res}$        9.96234594e-05
       13542  $\mathcal{L}_{res}$        9.96234594e-05
       13543  $\mathcal{L}_{res}$        9.96234594e-05
       13544  $\mathcal{L}_{res}$        9.96234594e-05
       13545  $\mathcal{L}_{res}$        9.96234594e-05
       13546  $\mathcal{L}_{res}$        9.96234594e-05
       13547  $\mathcal{L}_{res}$        9.96234594e-05
       13548  $\mathcal{L}_{res}$        9.96234594e-05
       13549  $\mathcal{L}_{res}$        9.96234594e-05
       13550  $\mathcal{L}_{res}$        9.96234594e-05
       13551  $\mathcal{L}_{res}$        9.96234594e-05
       13552  $\mathcal{L}_{res}$        9.96234594e-05
       13553  $\mathcal{L}_{res}$        9.96234594e-05
       13554  $\mathcal{L}_{res}$        9.96234594e-05
       13555  $\mathcal{L}_{res}$        9.96234594e-05
       13556  $\mathcal{L}_{res}$        9.96234594e-05
       13557  $\mathcal{L}_{res}$        9.96234594e-05
       13558  $\mathcal{L}_{res}$        9.96234594e-05
       13559  $\mathcal{L}_{res}$        9.96234594e-05
       13560  $\mathcal{L}_{res}$        9.96234594e-05
