Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        1.89394760e+02
         200  $\mathcal{L}_{res}$        2.19207560e-03
         400  $\mathcal{L}_{res}$        3.84616927e-04
         600  $\mathcal{L}_{res}$        5.37339016e-04
         800  $\mathcal{L}_{res}$        5.68180345e-04
        1000  $\mathcal{L}_{res}$        5.55846142e-04
        1200  $\mathcal{L}_{res}$        5.39852248e-04
        1400  $\mathcal{L}_{res}$        5.32067206e-04
        1600  $\mathcal{L}_{res}$        5.28463279e-04
        1800  $\mathcal{L}_{res}$        4.41370532e-04
        2000  $\mathcal{L}_{res}$        5.16498112e-04
        2200  $\mathcal{L}_{res}$        4.17790434e-04
        2400  $\mathcal{L}_{res}$        5.06993907e-04
        2600  $\mathcal{L}_{res}$        1.73353720e-02
        2800  $\mathcal{L}_{res}$        5.02158247e-04
        3000  $\mathcal{L}_{res}$        5.06368524e-04
        3200  $\mathcal{L}_{res}$        4.99367772e-04
        3400  $\mathcal{L}_{res}$        5.04539232e-04
        3600  $\mathcal{L}_{res}$        2.54734256e-03
        3800  $\mathcal{L}_{res}$        5.11884340e-04
        4000  $\mathcal{L}_{res}$        5.01379021e-04
        4200  $\mathcal{L}_{res}$        5.97517239e-04
        4400  $\mathcal{L}_{res}$        5.15221560e-04
        4600  $\mathcal{L}_{res}$        4.99704620e-04
        4800  $\mathcal{L}_{res}$        5.55393249e-02
        5000  $\mathcal{L}_{res}$        5.34990919e-04
        5200  $\mathcal{L}_{res}$        5.08296012e-04
        5400  $\mathcal{L}_{res}$        6.55097712e-04
        5600  $\mathcal{L}_{res}$        5.22052404e-04
        5800  $\mathcal{L}_{res}$        5.10376296e-04
        6000  $\mathcal{L}_{res}$        6.72015245e-04
        6200  $\mathcal{L}_{res}$        5.38259046e-04
        6400  $\mathcal{L}_{res}$        5.21744660e-04
        6600  $\mathcal{L}_{res}$        5.10764017e-04
        6800  $\mathcal{L}_{res}$        9.63347591e-03
        7000  $\mathcal{L}_{res}$        5.33365004e-04
        7200  $\mathcal{L}_{res}$        1.28682132e-03
        7400  $\mathcal{L}_{res}$        5.11738122e-04
        7600  $\mathcal{L}_{res}$        5.25345327e-04
        7800  $\mathcal{L}_{res}$        5.17700857e-04
        8000  $\mathcal{L}_{res}$        4.97176254e-04
        8200  $\mathcal{L}_{res}$        4.94421227e-04
        8400  $\mathcal{L}_{res}$        5.08614234e-04
        8600  $\mathcal{L}_{res}$        1.80702074e-03
        8800  $\mathcal{L}_{res}$        5.02288516e-04
        9000  $\mathcal{L}_{res}$        5.13505889e-04
        9200  $\mathcal{L}_{res}$        4.86630277e-04
        9400  $\mathcal{L}_{res}$        7.35238835e-04
        9600  $\mathcal{L}_{res}$        1.44448867e-02
        9800  $\mathcal{L}_{res}$        5.01018541e-04
       10000  $\mathcal{L}_{res}$        5.22954331e-04
       10000  $\mathcal{L}_{res}$        2.57728462e+01
       11000  $\mathcal{L}_{res}$        1.59266661e-03
       12000  $\mathcal{L}_{res}$        9.30252718e-04
       12686  $\mathcal{L}_{res}$        2.18745161e-04
       12687  $\mathcal{L}_{res}$        2.18745161e-04
       12688  $\mathcal{L}_{res}$        2.18745161e-04
       12689  $\mathcal{L}_{res}$        2.18745161e-04
       12690  $\mathcal{L}_{res}$        2.18745161e-04
       12691  $\mathcal{L}_{res}$        2.18745161e-04
       12692  $\mathcal{L}_{res}$        2.18745161e-04
       12693  $\mathcal{L}_{res}$        2.18745161e-04
       12694  $\mathcal{L}_{res}$        2.18745161e-04
       12695  $\mathcal{L}_{res}$        2.18745161e-04
       12696  $\mathcal{L}_{res}$        2.18745161e-04
       12697  $\mathcal{L}_{res}$        2.18745161e-04
       12698  $\mathcal{L}_{res}$        2.18745161e-04
       12699  $\mathcal{L}_{res}$        2.18745161e-04
       12700  $\mathcal{L}_{res}$        2.18745161e-04
       12701  $\mathcal{L}_{res}$        2.18745161e-04
       12702  $\mathcal{L}_{res}$        2.18745161e-04
       12703  $\mathcal{L}_{res}$        2.18745161e-04
       12704  $\mathcal{L}_{res}$        2.18745161e-04
       12705  $\mathcal{L}_{res}$        2.18745161e-04
       12706  $\mathcal{L}_{res}$        2.18745161e-04
       12707  $\mathcal{L}_{res}$        2.18745161e-04
       12708  $\mathcal{L}_{res}$        2.18745161e-04
       12709  $\mathcal{L}_{res}$        2.18745161e-04
       12710  $\mathcal{L}_{res}$        2.18745161e-04
       12711  $\mathcal{L}_{res}$        2.18745161e-04
       12712  $\mathcal{L}_{res}$        2.18745161e-04
       12713  $\mathcal{L}_{res}$        2.18745161e-04
       12714  $\mathcal{L}_{res}$        2.18745161e-04
       12715  $\mathcal{L}_{res}$        2.18745161e-04
       12716  $\mathcal{L}_{res}$        2.18745161e-04
       12717  $\mathcal{L}_{res}$        2.18745161e-04
       12718  $\mathcal{L}_{res}$        2.18745161e-04
       12719  $\mathcal{L}_{res}$        2.18745161e-04
       12720  $\mathcal{L}_{res}$        2.18745161e-04
       12721  $\mathcal{L}_{res}$        2.18745161e-04
       12722  $\mathcal{L}_{res}$        2.18745161e-04
       12723  $\mathcal{L}_{res}$        2.18745161e-04
       12724  $\mathcal{L}_{res}$        2.18745161e-04
       12725  $\mathcal{L}_{res}$        2.18745161e-04
       12726  $\mathcal{L}_{res}$        2.18745161e-04
       12727  $\mathcal{L}_{res}$        2.18745161e-04
       12728  $\mathcal{L}_{res}$        2.18745161e-04
       12729  $\mathcal{L}_{res}$        2.18745161e-04
       12730  $\mathcal{L}_{res}$        2.18745161e-04
       12731  $\mathcal{L}_{res}$        2.18745161e-04
       12732  $\mathcal{L}_{res}$        2.18745161e-04
       12733  $\mathcal{L}_{res}$        2.18745161e-04
       12734  $\mathcal{L}_{res}$        2.18745161e-04
       12735  $\mathcal{L}_{res}$        2.18745161e-04
       12736  $\mathcal{L}_{res}$        2.18745161e-04
       12737  $\mathcal{L}_{res}$        2.18745161e-04
       12738  $\mathcal{L}_{res}$        2.18745161e-04
       12739  $\mathcal{L}_{res}$        2.18745161e-04
       12740  $\mathcal{L}_{res}$        2.18745161e-04
       12741  $\mathcal{L}_{res}$        2.18745161e-04
       12742  $\mathcal{L}_{res}$        2.18745161e-04
       12743  $\mathcal{L}_{res}$        2.18745161e-04
       12744  $\mathcal{L}_{res}$        2.18745161e-04
       12745  $\mathcal{L}_{res}$        2.18745161e-04
       12746  $\mathcal{L}_{res}$        2.18745161e-04
       12747  $\mathcal{L}_{res}$        2.18745161e-04
       12748  $\mathcal{L}_{res}$        2.18745161e-04
       12749  $\mathcal{L}_{res}$        2.18745161e-04
       12750  $\mathcal{L}_{res}$        2.18745161e-04
       12751  $\mathcal{L}_{res}$        2.18745161e-04
       12752  $\mathcal{L}_{res}$        2.18745161e-04
       12753  $\mathcal{L}_{res}$        2.18745161e-04
       12754  $\mathcal{L}_{res}$        2.18745161e-04
       12755  $\mathcal{L}_{res}$        2.18745161e-04
       12756  $\mathcal{L}_{res}$        2.18745161e-04
       12757  $\mathcal{L}_{res}$        2.18745161e-04
       12758  $\mathcal{L}_{res}$        2.18745161e-04
       12759  $\mathcal{L}_{res}$        2.18745161e-04
       12760  $\mathcal{L}_{res}$        2.18745161e-04
       12761  $\mathcal{L}_{res}$        2.18745161e-04
       12762  $\mathcal{L}_{res}$        2.18745161e-04
       12763  $\mathcal{L}_{res}$        2.18745161e-04
       12764  $\mathcal{L}_{res}$        2.18745161e-04
       12765  $\mathcal{L}_{res}$        2.18745161e-04
       12766  $\mathcal{L}_{res}$        2.18745161e-04
       12767  $\mathcal{L}_{res}$        2.18745161e-04
       12768  $\mathcal{L}_{res}$        2.18745161e-04
       12769  $\mathcal{L}_{res}$        2.18745161e-04
       12770  $\mathcal{L}_{res}$        2.18745161e-04
